
ModelBox: 512 models
-> 0.506949734712098*x - 9.97870809165538 + 9.98336364109847*exp(-0.0423043753534495*x**6), p = 3.623878656000001e-07, parse trees = 1, valid = True, error = 0.000342593595304444, time = 191.04989194869995
-> 0.229280816508019*sqrt(x) - 0.600605693288573*x**5 + 0.484295051787798*x**2 - 0.0154890807902624, p = 6.679533138739202e-10, parse trees = 1, valid = True, error = 0.0003614078408281307, time = 257.65069794654846
-> 0.50347954295725*x - 0.0123258058813637*exp(3.58036017605999*x**3), p = 0.00036408655872, parse trees = 3, valid = True, error = 0.00037392528184574617, time = 43.21104025840759
-> -1.72690710916018*x**2 + 1.12430480281223*x + 0.732630443490961 - 0.765443744365069*exp(-3.1076348198195*x**4), p = 4.3283374739030023e-10, parse trees = 1, valid = True, error = 0.00038569715970691827, time = 300.8488051891327
-> -0.547544546219779*x**5 + 0.251089968079675*x**2 + 0.379183159150739*x + 0.0163334864119906, p = 4.2268920643584013e-07, parse trees = 1, valid = True, error = 0.0003916515873144331, time = 71.49486589431763
-> 0.47330180447071*sqrt(x) - 0.0794410994130902*exp(1.58705142819524*x**5), p = 6.291456000000001e-06, parse trees = 1, valid = True, error = 0.00039427067497819937, time = 98.15424466133118
-> -0.890506662286473*x**4 + 0.394406763908648*x + 1.39746103235027 - 1.37908359648944*exp(-0.540826939837859*x**3), p = 4.3283374739030023e-10, parse trees = 1, valid = True, error = 0.0003994759753305605, time = 350.4663290977478
-> -0.506876153753198*x**5 + 0.135669542154726*x**2 + 0.472319251129039*x, p = 2.9353417113600007e-06, parse trees = 1, valid = True, error = 0.0004121585287680364, time = 30.214963912963867
-> -0.274494384673042*x**8 + 0.372606446710554 - 0.327608020932807*exp(-4.06426017185643*x**2), p = 1.0687253021982726e-10, parse trees = 1, valid = True, error = 0.00042681822639608876, time = 88.94060444831848
-> -0.438534582065668*x**5 + 0.548149170364564*sqrt(x**2) - 0.00314879465198783, p = 4.220861930274816e-07, parse trees = 3, valid = True, error = 0.0004452411708387165, time = 71.85577344894409
-> -0.438910705429542*x**5 + 0.548456969670094*x - 0.00321153109518173, p = 9.291987261849601e-05, parse trees = 10, valid = True, error = 0.0004452415708942362, time = 21.20130205154419
-> -0.43906203086022*x**5 + 2.20251643542309*x - 1.65406147591499*sqrt(x**2) - 0.00315801980682813, p = 9.436376851091032e-08, parse trees = 2, valid = True, error = 0.0004452451171034884, time = 253.4850902557373
-> -0.434639789579811*x**5 + 0.541621189936515*x, p = 0.000254803968, parse trees = 2, valid = True, error = 0.0004468800345088227, time = 6.114202499389648
-> 0.17185423421488*sqrt(x) - 0.812349264293113*x**4 + 0.748550677368175*x**2 - 0.00355204305759488, p = 1.0820843684757508e-09, parse trees = 1, valid = True, error = 0.00045078122095692434, time = 234.35192489624023
-> -0.43010196529684*x**5 + 8.036293088838 - 8.04070489348543*exp(-0.0697241097049018*x), p = 4.663931830272001e-06, parse trees = 2, valid = True, error = 0.00045375109571486254, time = 261.97472047805786
-> -1.08254586554837*x**4 + 0.720012763095274*x**3 + 0.465669205316866*x, p = 2.9353417113600003e-06, parse trees = 1, valid = True, error = 0.00045748110311542904, time = 27.96189785003662
-> 0.549891492201731*x - 9.99884503465109 + 9.99549032727239*exp(-0.0448762839020544*x**5), p = 8.153726976e-06, parse trees = 2, valid = True, error = 0.0004630378894445105, time = 197.71648383140564
-> -0.764550027503127*x**4 + 0.570840205715878*x**2 + 0.276946865488676*x + 0.0220023120627238, p = 1.0905381526044674e-06, parse trees = 2, valid = True, error = 0.0004820835389265702, time = 81.64539217948914
-> -0.662108358050842*x**4 + 0.0768843539749657*x + 0.66881061880303*sqrt(x**3) + 0.0240869277950369, p = 3.0057899124326406e-09, parse trees = 1, valid = True, error = 0.0005135318885411176, time = 238.70915627479553
-> -0.685742571311632*x**4 + 0.38145344421689*x**2 + 0.411984320116187*x, p = 1.4676708556800001e-05, parse trees = 2, valid = True, error = 0.0005153910330143337, time = 25.201685190200806
-> -0.686297654455972*x**4 + 0.762771970621225*sqrt(x**3) + 0.0298639104772241, p = 1.6382598699810817e-06, parse trees = 2, valid = True, error = 0.0005164898428147742, time = 83.81452822685242
-> -1.43027664707038*x**5 + 0.0533441677714188*exp(3.35149097296178*x), p = 2.8311552000000004e-05, parse trees = 1, valid = True, error = 0.0005316467612044657, time = 41.22483730316162
-> -3.70177708027659*x**2 + 0.257161842255841*x + 9.998528748438 - 9.97653514758069*exp(-0.436960348280004*x**2), p = 9.493077738022504e-07, parse trees = 7, valid = True, error = 0.000534163766547828, time = 825.5923428535461
