ModelBox: 320 models
-> -0.000844809488168609*exp(5.86846085421262*x**3) + 0.449053901813809 - 0.458382100647211*exp(-1.60983823607706*x), p = 1.2843831263232002e-06, parse trees = 2, valid = True, error = 7.771946610684688e-05, time = 801.0253574848175
-> -0.174866381084018*x**2 + 0.581674288856877*x - 1.49375914626493e-5*exp(9.99947976270835*x), p = 2.54803968e-05, parse trees = 1, valid = True, error = 0.0001558438602789299, time = 431.63019943237305
-> 0.456650929924767*x - 0.0938455286879561*exp(1.66709723195817*x**5) + 0.110281937786071, p = 4.076863488e-06, parse trees = 1, valid = True, error = 0.0001606428183462664, time = 154.9443666934967
-> 0.476112032371*x - 0.0231831318406079*exp(2.94270546113275*x**3) + 0.0365024328706806, p = 3.1142707200000005e-05, parse trees = 2, valid = True, error = 0.00016192029538898424, time = 237.4214608669281
-> 0.438873860598625*sqrt(x) - 0.000944343992784724*exp(5.79724326781884*x**3) - 0.0698729645458909, p = 8.547078871449602e-06, parse trees = 6, valid = True, error = 0.00018301366198802057, time = 803.9131202697754
-> 0.456181814812911*sqrt(x**2) - 5.41003359910697e-5*exp(8.89900800594016*x) + 0.016398287434034, p = 1.4336969932800004e-05, parse trees = 2, valid = True, error = 0.00020156351296986958, time = 1559.5124735832214
-> -0.353626568186369*x**8 - 0.0951582945711848*x**2 + 0.528396127968191*x + 0.00621897874003814, p = 6.011579824865282e-09, parse trees = 1, valid = True, error = 0.00022705356791987653, time = 86.74825954437256
-> 0.505347664967227*x - 0.000191329945692118*exp(7.70542685292741*x), p = 0.0022792101691391994, parse trees = 4, valid = True, error = 0.0002358668967569605, time = 124.62407302856445
-> -0.386542920368595*x**8 - 9.23324394356642*x + 9.68583393219278*sqrt(x**2) + 0.0162979691619208, p = 1.3679683868137888e-12, parse trees = 1, valid = True, error = 0.00024308283471749306, time = 270.20089769363403
-> -0.386428615714253*x**8 + 0.452581675534182*x + 0.0162630783069644, p = 2.609192632320001e-07, parse trees = 1, valid = True, error = 0.00024308286343163951, time = 19.03982138633728
-> 0.519019757153364*x - 0.00658634068452778*exp(4.21420277501843*x**2), p = 0.0009356967936, parse trees = 4, valid = True, error = 0.00024419467593846664, time = 53.47717475891113
-> -0.397694196049232*x**7 + 0.474107138610933*x + 0.0111089947042328*exp(0.121576307724274*x), p = 2.609192632320001e-07, parse trees = 1, valid = True, error = 0.0002698221305903569, time = 92.01021599769592
-> -0.378676663284843*x**7 + 2.29699812040966 - 2.29116050027633*exp(-0.226091178691789*x), p = 2.0873541058560008e-08, parse trees = 1, valid = True, error = 0.0002700982952269803, time = 174.1173539161682
-> -0.375221162116245*x**7 - 0.0727865529484064*x**2 + 0.538847194780237*x, p = 2.7052109211893763e-08, parse trees = 1, valid = True, error = 0.0002757831830205745, time = 38.09678888320923
-> 0.461175563843234*sqrt(x) - 0.0765133470171094*exp(1.61785040385683*x**6), p = 3.2212254720000014e-08, parse trees = 1, valid = True, error = 0.0002773725993828689, time = 98.87820935249329
-> -0.409731795914057*x**7 + 0.49667021343574*x, p = 1.1741366845440003e-06, parse trees = 1, valid = True, error = 0.00029263820902229027, time = 7.760688781738281
-> -0.446669349400657*x**6 + 0.0842302960160842*x**2 + 0.444070662912431*x + 0.0124691207392046, p = 3.895503726512702e-09, parse trees = 1, valid = True, error = 0.0003226127542192178, time = 96.13255667686462
-> -0.413683435998852*x**6 + 0.505673625011482*sqrt(x**2) + 0.00482872030283367, p = 1.3045963161600002e-06, parse trees = 2, valid = True, error = 0.0003307367520129316, time = 103.25527882575989
-> -0.413824718264812*x**6 + 0.505840553722462*x + 0.00478356943116943, p = 1.1506539508531204e-06, parse trees = 2, valid = True, error = 0.0003307368344563792, time = 26.99655055999756
-> -0.41950704016556*x**6 + 0.51535658551237*x, p = 5.389613531136001e-05, parse trees = 2, valid = True, error = 0.0003349152777461668, time = 7.6353232860565186
-> -0.404624545319661*x**6 + 5.71892353314547 - 5.71602185541811*exp(-0.0913998368945095*x), p = 3.6238786560000017e-07, parse trees = 1, valid = True, error = 0.0003358601565248923, time = 277.6943793296814
-> -2.73075739516161*x**2 + 1.16548463157518*x + 2.18089198684697 - 2.20812312304036*exp(-1.4420906302929*x**3), p = 6.180279783700563e-07, parse trees = 3, valid = True, error = 0.00034220269868136027, time = 379.0079097747803
-> 0.507127255953883*x - 9.99034676415974 + 9.99494035046443*exp(-0.0422702932613151*x**6), p = 3.623878656000001e-07, parse trees = 1, valid = True, error = 0.0003425754648144834, time = 199.41189575195312
-> 0.473435382272874*sqrt(x) - 0.0794705930865109*exp(1.58734366664007*x**5), p = 6.291456000000001e-06, parse trees = 1, valid = True, error = 0.0003942701629648527, time = 155.1655979156494
-> -0.50723051171279*x**5 + 0.136299865642977*x**2 + 0.47200445414844*x, p = 2.9353417113600007e-06, parse trees = 1, valid = True, error = 0.00041215922895823816, time = 33.940885066986084
-> -0.438643523308883*x**5 + 0.54817179036069*x - 0.0031159604409274, p = 8.969099673600001e-05, parse trees = 8, valid = True, error = 0.000445239603516634, time = 24.28402066230774
-> -0.438586285498626*x**5 + 0.548207179066682*sqrt(x**2) - 0.00316736746355008, p = 5.218385264640001e-08, parse trees = 1, valid = True, error = 0.00044524096552562425, time = 76.48513770103455
-> -0.438450955908647*x**5 - 2.922113401434*x + 3.46999872332825*sqrt(x**2) - 0.00299832342416611, p = 9.436376851091032e-08, parse trees = 2, valid = True, error = 0.0004452423752991252, time = 311.978467464447
-> -0.434694012764585*x**5 + 0.541660993978981*x, p = 0.000254803968, parse trees = 2, valid = True, error = 0.00044688025305124535, time = 8.589134693145752
