	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
5	125	25	137	0.3034587161221782	0.09508342660355437	-0.2*x1 - 86.482/(4.008 - x2)	x1 - 12.021 - 48.672/(7.541 - x2)	125	dso	all	bacres	30	3
7	149	24	157	0.31484749014550695	0.118494230507638	-0.155*x1 - 0.671 + 86.929/(x2 - 4.117)	x1 - 12.021 - 48.672/(7.541 - x2)	149	dso	all	bacres	30	3
3	101	19	115	0.3967794537113222	0.2719323031342955	-1.423 + 1494.378/x2**2	x1 - 12.021 - 48.672/(7.541 - x2)	101	dso	all	bacres	30	3
4	121	18	88	0.5563220830298898	0.499528143269623	-0.2*x1 - 86.482/(4.008 - x2)	141.897/x2	121	dso	all	bacres	30	3
6	145	17	108	0.5611551126820724	0.5049543646584409	-0.155*x1 - 0.671 + 86.929/(x2 - 4.117)	141.897/x2	145	dso	all	bacres	30	3
2	73	12	62	0.6421861981255135	0.5938819907170625	-4.298 + 153.773/x2	141.897/x2	73	dso	all	bacres	30	3
1	1	10	43	1.020515219609506	1.0177924438877919	14.532 - x1	141.897/x2	1	dso	all	bacres	30	3
0	0	8	44	1.5199107845105995	1.5383919906981218	14.532 - x1	0.321*x1	0	dso	all	bacres	30	3
