predprey_all_len100_snrinf_init0_obsxy,predprey_all_len100_snr30_init0_obsxy,predprey_all_len100_snr13_init0_obsxy,predprey_all_len100_snrinf_init1_obsxy,predprey_all_len100_snr30_init1_obsxy,predprey_all_len100_snr13_init1_obsxy,predprey_all_len100_snrinf_init2_obsxy,predprey_all_len100_snr30_init2_obsxy,predprey_all_len100_snr13_init2_obsxy,predprey_all_len100_snrinf_init3_obsxy,predprey_all_len100_snr30_init3_obsxy,predprey_all_len100_snr13_init3_obsxy,stl_all_len100_snrinf_init0_obsxy,stl_all_len100_snr30_init0_obsxy,stl_all_len100_snr13_init0_obsxy,stl_all_len100_snrinf_init1_obsxy,stl_all_len100_snr30_init1_obsxy,stl_all_len100_snr13_init1_obsxy,stl_all_len100_snrinf_init2_obsxy,stl_all_len100_snr30_init2_obsxy,stl_all_len100_snr13_init2_obsxy,stl_all_len100_snrinf_init3_obsxy,stl_all_len100_snr30_init3_obsxy,stl_all_len100_snr13_init3_obsxy
32.1127564907074,30.432376861572266,26.370784521102905,29.01779532432556,24.835395336151123,39.6314799785614,26.24459147453308,25.313227653503418,32.71171259880066,27.222346544265747,29.089484930038452,29.142409324645996,34.59341263771057,31.25486135482788,32.65212440490723,23.902873754501343,28.80232000350952,21.753305912017822,37.205400705337524,29.364593982696533,27.317208290100098,31.489415645599365,22.1001877784729,34.50195932388306
1.1696890648100282,3.3994104277104364,5.140995432266378,1.5846470562305255,2.535996350248479,4.368993666524389,1.0788027315090931,,,1.3551801489496018,,,2.8481017660023906,,,1.9800032837415604,,3.236990861752666,1.7796008301631188,,1.8501331127145764,,41.753326441025564,1.8395994648958696
(0.24687097975910273*x_1 - 1.1897333009419349)*(0.38334003068183653*x_1 + (0.02002050446903568*x_0 - 0.00016316978490513696)*(35.91397512208593*x_0 - 25.568780046478498*x_1 + 95.930957312981476) - 2.8179833865557996),-(0.0062560091085613885*x_1 - 0.033441738700433038)*(53.27039089612036*x_0 + 8.34134547808185*x_1 - 34.27791166029359) + 0.673*cos(23.40210814684075*x_1 - 122.13528180532357) + 0.00146,(-0.0001375354835372514 - 2.8055806573758487e-6/(88.01463909367024*sin(-8.319156459813406*x_0 + 15.74819824968394*x_1 + 19.164324178714754 + 1.414307051709797/(-0.0037157404430753458*x_1 - 0.026882842082380202)) + 15.736781448868262))*(162.45261440151432 - 3.8240422670340678*x_1)*(Abs(0.3567699479623743*x_1 + 6.8915820105020758) + 2.73161894539206),(-0.5259945965375717*x_0 - 0.1668859492108769)*(0.37693587231701525*x_1 - (0.051240878489018395 - 0.0090464609356083662*x_1)*(0.7969615099054116*x_0 - 8.751687955741096)*(-7.116866283455325*x_0 + 2.1862280594386884*x_1 - 5.509222190078129) - 2.2276199370424331),(-0.7681909740648422*x_0 - 0.06898358616385765)*(0.5545314171249965*x_1 - 2.9841523325071905) + 0.24500000000000002 - 0.35200000000000004/(-0.039 + 48.2/(0.0078464309361904284*x_1 + 66.4*sin(16.00066173958894*x_0 - 17.1009636457062) - 0.8270000000000001*cos(2.802835666148792*x_1 - 14.784055530971718) - 0.13620000579329903)),(8.3619135684395372e-7*x_0 - 0.0012134750892407896 - 1.3455264076280917e-6/(36.949908219055542 - 22.133970541593409*x_0))*(0.36447881058234927*x_1 - 0.2539967969632596*cos(49.15923017486304*x_0 - 84.12797721792019) + 473.76097573718911),-0.19300965609054517*x_1 + 0.0023*(1.7573121582590562 - 0.3121107365561743*x_1)*(78.33965478925411*x_0 - 11.49400093894086)*Abs(3.161533448574135*x_0 + 2.510853200976727*x_1 - 25.026378264219328) + 0.96554220948146763,-(109.2144203871666 - 20.2005383374287*x_1)*(-0.02006676872979303*x_0 - 0.0055218672445405629) - 0.616*sin(20.28487080959079*x_1 - 208.9845238241764) + 0.00558 - 0.017/(-1.1868703974253188*(1 - 0.88827652550948911*x_0)**2 + 0.2919056609255694*(0.008976368400822282*x_0 - 1)**2 - 0.1047),(0.056065688105722096 - 0.010494888505844502*x_1)*(arctan(188.6170473966305 - 35.507755780527051*x_1) + 0.12632313147344898)*(1.3963198395909973*sin(2.2265528175579217*x_0 + 28.399261235520642*x_1 - 158.19497692803476) - 5.506468560055136),-0.0096640073135367042*x_1 - (0.004569999999999999 - 0.308*Abs(1.6631082353528281*x_1 - 11.5845262748859))*(0.1396381089269919 - 0.003488189616009784*x_0)*(7.773119652367487 - 1.6031764070518253*x_1)*(0.82842842337558093*x_0 + 0.69596645416764567) + 0.025680355381093733,0.14762400669297475*x_0 + (109.51782605288007 - 20.29619302883023*x_1)*(0.01668067872237003*x_0 + 0.001171380114086069) + 6.18*(3.953165607590438*sqrt(1 - 0.001863430992303604*x_0) + 0.783)*sin(0.00857*sin(49842.96801307752*(0.8507265845885159*x_0 - 1)**2 - 0.058) - 0.0017699999999999999) - 0.14987828599033832,5.910421094643126e-6*x_1 - 3.7104887914269503e-6*cos(5.511175867087206*x_0 - 5.176219419072033) - 0.98944080242245685 + 3.918165522848654/(3872.8329211088275*(-0.0019842971173855694 + 1/(549248.81886501269*((1 - 0.29300121901102655*x_0)**2 + 0.0030921631643878879)**2 - 0.26002858379038135))**3 + 6.883928621144966),(0.080680679548016887*x_1 + 0.00010537083260010263)*(-0.90588 - 24.4921213063284*exp(-2.1304691588063266*(-x_1 - 0.024869912003997748)**3*(-(x_0 - 0.021236140645618883)**2 - 0.0036910072407527672)**3) + 1/(93.10000000000001*cos(37.844689102628845*x_0 + 1.730684859526854) - 8.93)),-3.1000094356009642*x_1 + 0.1685649748943217*(x_1 + 0.019844472862714686)**2 + (0.02156932341669632*sqrt(0.16898832810022497*x_1 + 1) - 0.0027199999999999998)*(-20.476907481600009*(-0.18630594068732209*(-0.86634307173830929*x_0 + x_1 - 0.099751541403250045)**2 - sin(110.14927143518319*x_1 + 10.90585422784329) + 0.04898880597014925)**3 - 0.00045999999999999996) - 0.0952*Abs(0.00027702211977710741*x_1 + 0.08630549735793829) - 0.1364180531189428,1.5*arctan(0.8926940664630168 - 13.03034014468704*x_1) + 3.0*sin(0.3*tan(126.06165785071004*x_0 + 3.326786371789779) - 0.01),-2.9446575022609251*x_1 + (0.001 + 1/(40.800000000000004*sin((-6.08 - 0.031400000000000004/(-0.029869253132981635*x_1 - 0.2021249904855543))*(1.4089270345746054*x_1 + 0.05872596629973258)*(98.765785123679853*x_1 - 2.144309762388747)) - 20.8))*(0.8131556031070501 - 0.0053116549203462622*x_1)*(0.0898999208765315*x_0 - 0.0039647732179208786) + 0.0003627304335589183,(0.00056*tan(1622110.76688573*((0.106279069767442*arctan(69.08782273958446*x_0 - 3.10098890490104) + 1)**2 + 5.74147621150464e-6)**2 + 0.0685) + 0.021300000000000003)*(-143.28175337201152*x_1 - 7.65*sin(84.184178783555567*x_1 - 7.357446385244221) - 1.7258693159324158),-2.8267488948076824*x_1 + (0.004281064407384783*x_0 + 0.019878199866065136)*(99.0*sin(128.4319322215435*x_0 - 2.9540040180459332) + 0.01) - 0.1993480614278221,-14359.15026755762*(0.00175385876181911*x_0 - 0.00018141971578888951)*(0.0017011000454250501*(-0.925 + 1/(1.3041741074130448*x_1 + 1.17681140149524))**2*(0.8538205980066446 - arctan(0.046559015634645703*x_1 - 0.07975783296662))**2*(x_0 + 0.35328282193867492)**2 - 0.00275)*(0.67469842248474818*x_0 - (x_1 + 0.058896585247809456)**3 + 0.016120314285321441)**3 - 4.72*tan(0.59861591530258759*x_1 + 0.0065564332863143341) + 0.0417,0.56474364688367441*x_0 - 3.1322243242838941*x_1 + 0.16358400000000005*(0.93333333333333328*tan(0.84310613409002904*x_0 - 0.28801830594982825) - 1)**2 + 0.39*sin(-0.82019564131584359*x_0 + 114.50164438564775*x_1 + 15.067074480107577) - 0.13938193372204734,-0.00662*(0.0065860482761225198*x_0 - 94.999979812658944)*tan(47.929289680686148*x_0 - 3.4005589393109762*x_1 + 59.325620564862938) - 2.6*arctan(2.2421267731720723*x_1 + 0.10893488063610178) + 0.0432,-2.938338348913865*x_1 + 0.005148469789365104 - 0.0097/(-0.7260000000000001*sin((11.44832356604181*x_0 - 7.983558547426013)*(-36.08970476977689*x_0 + (0.00912817784377254 - 7.779601922226739*x_0)*(-42.66233312188857*x_0 - 4.396739024727699) - 5.4743820321225913)) - 0.00389),-2.9268937006744578*x_1 - 0.1*tan(120.43658553283972*x_1 + 0.27683319887614639*sqrt(0.10176848874598069*sqrt((-0.061451500236741907*x_0 - 1.1200723290229031)*(-0.08734465664717491*x_0 - 0.034740955664527257*x_1 - 2.1024938390404437)) + 1) - 10.213571280322562) + 0.024517322774927327,(0.42834326450897761*(x_1 + 0.022671256376486603)**2*(-0.32130912337653427*x_1 + 0.015470804532668048 - 1/((0.0099890254442212178*x_0 + 0.037139060507131443)*(0.13318700592294957*x_0 - 84.400812526571587)))**2 + 2.37)*(-1.1841679893992647*x_1 + cos(111.33966372330784*x_0 - 45.579243704137291) - 0.1055876356831484)
0.026694005958714238*x_0 + (0.86925137442911201 - 0.17595307408296297*x_1)*(2.5628210444722941 - 0.0082034766565913025*x_1) - (0.8780923012734946*x_0 - 4.767507446706366)*(5.654914420201306*x_0 - 5.777117956788995)*(0.014528587162841606*x_1 - 0.012737270350464804) - 0.02728422637987352,1.594403811043973*x_0 - 0.5715366346093119*x_1 + 1.27*sin(48.29118962575048*x_0 - 49.57312089161104) - 1.44*cos(1979.0356945354094*(1 - 0.5562324661932082*x_0)**2 - 0.393) + 1.2262092138513261,-5.940126519345043e-6*sin((5.174955497099166 - 4.622976455849763*x_0)*(28.153892874836754 - 3.513562721935079*x_1)) - 0.096359821441244745 - 7.868393001081875e-5/(-0.03500477898116621*x_1 - 0.15172920419539218*cos(73.84348445461539*x_0 - 0.06376780700630987*x_1 - 72.790364467467907 + 0.012734634020242159/(17.7671431114522*x_1 - 93.419501202587641)) - 1.2259345886006306),(-0.3654945180577209*x_0 + 0.7190000000000001*(1.672451641937342 - 0.685386898518654*x_0)*sin(0.37693587231701525*x_1 - 1.9846199370424331) + 2.470592613382424)*(0.7969615099054116*x_0 - 0.27440931504678709*x_1 + 0.52991535842579575),(0.00036618429851795581*x_0 + 0.025808634662834586)*(40.925075623495892*x_0 - 16.86228186767847*x_1 + 92.773437499999993*(-sin(19.65380056613083*x_1 - 103.64726681879227) - 5.8719999999999995e-5)**3 + 45.229763589192697),-69.90308558277918*((0.04721033216839858 - 0.00090968797164915673*(x_0 + 0.660863106499622)**3)*(-0.028138768254402584*sqrt(sqrt(cos(0.0014238925480755479*x_0 + 0.080305749009689278) - 0.0019180550944929829) - 0.68997825988980837) - 1.6140027259483232)*(-0.30703215787238241*(0.19382502492969352*x_1 - 1)**3 + arctan(0.3800248094711103*x_1 - 2.2001623369931049) - 0.37784500394816259) - 0.2064027179187288*cos(6.7798737213154558*x_1 - 35.454361034715086) - 0.06071066684946601)**3 - 0.43662738645289,1.9000000000000001*arctan(1.170291387041254*x_0 - 0.3911976200274221*x_1 + 0.203*sin(2.742324593514581*x_0 - 3.5602805233921325) + 1.1261284941251633) - 0.0095,1.410807757858811*x_0 - 0.1244326565866102*x_1 - 17.5*arctan(0.0318*arctan(15598776.726615035*(1 - 0.41311348134247369*x_0)**3*(0.010595708668245388*x_1 - 0.12983105570564329 + 1/(-4.91*sin((4.915920199744056*x_0 - 33.63114955275666)*(-0.0008405073784529517*x_1 - 5.545426196813767)) - 0.0042))**3 - 0.041) + 0.0111) - 0.917*sin(34.3501019304754*x_0 - 38.64903074296987) - 0.9342036181674557,-0.6506181853962905 + 7.014297578620915e-7/((0.02516302304927572 + 0.0023520342970482413/(0.0014126491687703044*x_0 - 0.00091820243078018993))*(0.3754365504535497 - 1.6770021439728666*cos(9.738172209213193*sin(49.97531254457953*arctan(0.009895902707703411*sin(-2.7710698934678998*x_1 + (0.58015964042777489*x_1 - 56.646947977609896)*(52.442877753774145*x_0 + 764.1549844318044*(1 - 0.18907843643226444*x_1)**2 + 1.5582903607157308*(1 - 0.18895292150688505*x_1)**2 - 57.524228482694815) + 14.64753414373611) + 0.014596098413471275) - 0.26262373138616024) - 9.744640964622066))),-0.48694610494564784*x_1 - 2.47*sin(-0.8213856024365898*x_0 + 0.00090646890305266744*x_1 + 0.6161436717498842) + 1.879412557962087,(0.13743383528595862 - 0.04844638211359187*log(0.13934194207352997*x_0 - 9.6712765311916528e-10*(0.19152594294727359*x_1 - 1)**3 + 77.831184876844511))*(-0.088466947107041201*x_0 + 0.1165030327272735*x_1 - 2.0958136685720596*cos(51.18581998559877*(-0.19834092898027393*arctan((0.10822360230598078 - 0.757068852672901/(0.3724755556768257*x_1 - 1.7282753152154868))*(10.008351715905821 - 309.3882995423215*(0.28115159109227272*x_0 - 1)**2)) - 1)**2 - 96.67956459274801) + 3.9893740015569884),(84.43359482409222*log(0.858700505834085*x_0 + 39.10618369316331) - 80.98503388387549)*(2.7834774485152393e-8*tan(62.0144784270694*x_0 - 64.49240081484059) + 5.2074520380741295e-5)*(0.059085164085550183*x_1 + cos(5.256514722227659 - 88.16186351333485/(8.9320244297021365 - 1.67734055643298*x_1)) - 38.967600063201181),(-0.024 - 0.016900000000000002/(-119.77066621320613*x_1 - 85.0*cos(114.7249840978294*x_0 + 4.488304102132106) + 97.739808388799193))*(-9.7522852687543558*x_0 - 0.4458810984165354) + (0.0021171854043428722*x_0 - 0.30490320084701947)*(-9.0774324211200655*x_0 + 10.705491747163308*(-0.12306140162742947*x_0 - 0.01532645076699292)*(x_1 - 0.056856228691899396)**2 + 0.09397363159600636),(0.001036632922131005*exp(1.3226881884152748*x_0) + 0.771)*(3.7299806913310747*x_0 - (0.32405860616174235*x_0 - 0.060025904638626857)*(-0.23916159455675364*(0.077853755452507373*x_1 + 1)**2 - 0.067)*(11.102249567261159*(x_1 + 0.094058763102576455)**2 + 0.0077599999999999995) + 0.1542038731390706) + 0.441*cos(2.14*tan(0.524 - 5.384820245949653*exp(-11.282530247182293*x_0)) - 7.83) + 0.0016899999999999999,(2.1010276308451674*x_0 - 0.35705356047017037)*(0.003724834607016598*x_1 + 1.060002088463829) + 1.6400000000000001*(-0.0007502317053001628*x_1 + (8.452412194328536*sqrt(0.01413733127004132*x_1 + 1) - 0.00825)*(0.03257817374580099*(x_1 - 0.010444737183872759)**3 - 0.9510000000000001) + 8.849999579355341)*cos((-8.3531765202086658*x_0 - 53.414477965645871)*(-26.850397873900567*x_1 - 0.01922465092469272)),(0.5700000000000001 - 0.06870000000000001/(-0.76774814688906*x_0 - 78.4*cos(11.074166491756399*x_1 - 0.494413904884102) + 6.6726776551106588))*(5.17947738801995*x_0 + 0.0014926576174313574),3.050078416634632*x_0 + 0.16*sin(81.654437184049728*x_1 - 2.006998947958084) + 0.162*sin(87.416626382924151*x_1 - 1.693214777332062) - 0.00359*tan(7.064832797600218*x_0 - 1.53887525146627) - 0.003418873624994662,2.711340791343696*x_0 + (0.01 - 92.3*sin(38.161110079903712*x_1 - 2.258801170724402))*(0.02030195581571653 - 0.0084802466844230474*x_1) + 0.022859915174585855,-0.030900000000000004 - 87.3/(-(-0.622 + 0.0541/(-61.900897475968592*x_0 + (0.2308001861555999 - 1.2598321877610014*x_1)*(12.350528797201535*x_1 + 0.731303972159906) + 59.944225263137279))*(0.68 - 49.6/(1.1463129162216406*x_0 + 0.0097439766085689342)) - 0.05479000000000001 - 0.073267221977986507*exp(-5.7383660726173976*x_1) - 0.0932/(-92.0*cos(3.0*Abs(49.819450903178315*x_1 + 1.7241955371181) - 0.035) - 0.802)),(0.0378 + 0.226/(0.10125608046240566*(-(x_1 + 0.021538294566136368)**3 - 0.001852396626232595)**2 + 0.556))*(6.8273268467073004*x_0 - 0.56697432535458756) + 0.374*sin((-74.344549052232188*x_0 - 1.3945379671958507)*(-41.1*cos(0.0027553176628555414*x_1 + 0.00592835583245685) - 0.34799 + 1/(-0.65113874957105014*x_1 - 0.068322769840038631))) + 0.308,(0.04605200108565281 - 2.47820276415016*sin(0.00059431545040503527*sqrt(0.54325763987780909*x_1 + 1) + 0.01849970503911904))*(-0.96714108030062962*x_0 - 0.25773936761456126)*(140.0610048543899*x_0 + 6.9606710519103772*x_1 - 0.16261041297405016*arctan(-0.22987506840355435*x_0 - 0.013010292973718616) - 36.133039900967596*tan(59511.555603516525*(x_1 - 0.099833567944426536)**2 - 0.03251541852235813) + 13.229506158789635),(0.002110232105129921 - 2.9100379315345825e-5*(0.14128277377082734 + 1/(50.18981245618202*cos(-2.570309477640195*x_0 + 5.8337076643948283*x_1 + 5.605970411534411) + 28.966346341816674))**2)*(1.4718831687539873 + 0.00931473998614121/(-0.5673012946913133*x_0 - 0.17979988185508747*Abs(3.527751296595835*x_0 - 56.308903470926665*x_1 + 7.5446137946795293) + 5.0025410339971702))*(74.01567838812258*x_0 + 62.45694867965187),3.05467651662251*x_0 + 0.080553204892475297*x_1 - 0.09400000000000001*tan((0.31024157465982555 - 7.0245448816186983*x_1)*(0.057*arctan(0.020700000000000003 - 0.00765*arctan(38.69969806910637 - 0.0050647986646453654*x_1)) - 87.60000000000001)) + 0.014667451164818938,2.3716633510841022*x_0 + 0.29016761037514678*(x_0 + 0.30285720757528479)**2 + 2.0300000000000002*sin(0.9850000000000001*tan(12.252158293679365*x_1 + 1.682824801973752) + 1.31) - 0.41646867491499156 - 1.72/(1.2226087687797165 - 94.516041922514217*x_0)
,,,,,,,,,,,,,,,,,,,,,,,
