	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	8	13	0.6099028469626008	0.6057164365301604	-2.928*y - 0.022	2.979*x	0	proged	numdif	all	stl	30	1
1	6	8	0.6117951555433474	0.6072864240475442	-2.929*y	2.979*x	1	proged	numdif	all	stl	30	1
2	10	15	0.5588889392711853	0.5547448700624389	-2.929*y	2.978*x - 0.025*y	2	proged	numdif	all	stl	30	1
3	11	20	0.5568466549984252	0.5526794144173997	-2.929*y	2.977*x - 0.026*y + 0.009	3	proged	numdif	all	stl	30	1
4	12	18	0.5450769941844484	0.5412098042273124	-2.929*y	2.978*x - 0.046*y**3	4	proged	numdif	all	stl	30	1
