t,x,y
0.0,0.0742153554035383,-1.0695632754414133
0.1,0.09840583477272817,-1.0675940672124018
0.2,0.0021169348745700752,3.56e-321
0.30000000000000004,4.66327937106453e-310,4.66324064872883e-310
0.4,6.93001769413907e-310,4.6632730828729e-310
0.5,0.0005990729803460946,3.09e-321
0.6000000000000001,4.6632628219318e-310,4.66323889923605e-310
0.7000000000000001,4.6632730828705e-310,5.580247e-317
0.8,1.24e-322,5e-324
0.9,5e-324,0.0
1.0,0.0,0.0
1.1,0.0,0.0
1.2000000000000002,4.66328062569484e-310,4.6632806256972e-310
1.3,4.6632806256972e-310,0.0
1.4000000000000001,0.0,0.0
1.5,0.0,0.0
1.6,0.0,0.0
1.7000000000000002,0.0,4.66327308288276e-310
1.8,4.2439915824e-314,3.8938792526465086e-308
1.9000000000000001,4.66327308288395e-310,1.06099789553e-313
2.0,4.94e-322,0.0
2.1,0.0,0.0
2.2,0.0,3.22526e-319
2.3000000000000003,0.0,0.0
2.4000000000000004,0.0,0.0
2.5,0.0,0.0
2.6,0.0,0.0
2.7,0.0,0.0
2.8000000000000003,0.0,0.0
2.9000000000000004,0.0,6.92996623710403e-310
3.0,0.0,0.0
3.1,0.0,0.0
3.2,0.0,0.0
3.3000000000000003,3.2379e-319,0.0
3.4000000000000004,0.0,0.0
3.5,0.0,0.0
3.6,0.0,6.92996623710403e-310
3.7,0.0,0.0
3.8000000000000003,0.0,0.0
3.9000000000000004,0.0,0.0
4.0,3.2379e-319,0.0
4.1000000000000005,0.0,0.0
4.2,0.0,0.0
4.3,0.0,3.5e-323
4.4,3.32e-321,2.37e-322
4.5,4.66324064872883e-310,0.0
4.6000000000000005,6.93001769413907e-310,4.663246334328e-310
4.7,3.794e-321,3.95e-322
4.800000000000001,4.6632833142222e-310,0.0
4.9,0.0,4.6632772168909e-310
5.0,6.93001769413907e-310,4.66327308290924e-310
5.1000000000000005,0.0,2.14e-321
5.2,4.66325830114495e-310,4.195e-321
5.300000000000001,4.66325440335594e-310,4.66327725497505e-310
5.4,4.66324613085594e-310,5.580251e-317
5.5,1.1e-322,5e-324
5.6000000000000005,5e-324,0.0
5.7,0.0,0.0
5.800000000000001,0.0,0.0
5.9,4.66327308294086e-310,4.66327308294324e-310
6.0,4.66327308294324e-310,0.0
6.1000000000000005,0.0,0.0
6.2,0.0,0.0
6.300000000000001,0.0,0.0
6.4,0.0,4.6632730829199e-310
6.5,4.2439915824e-314,3.8938792526465086e-308
6.6000000000000005,4.6632730829211e-310,1.06099789553e-313
6.7,4.94e-322,0.0
6.800000000000001,0.0,0.0
6.9,0.0,3.22526e-319
7.0,0.0,0.0
7.1000000000000005,0.0,0.0
7.2,0.0,0.0
7.300000000000001,0.0,0.0
7.4,0.0,0.0
7.5,0.0,0.0
7.6000000000000005,0.0,6.92996623710403e-310
7.7,0.0,0.0
7.800000000000001,0.0,0.0
7.9,0.0,0.0
8.0,5e-324,0.0
8.1,0.0,0.0
8.200000000000001,0.0,0.0
8.3,0.0,8.89e-321
8.4,6.92996623710403e-310,0.0
8.5,0.0,0.0
8.6,0.0,0.0
8.700000000000001,0.0,8.321425e-317
8.8,0.0,0.0
8.9,0.0,0.0
9.0,0.0,0.0
9.1,3.083e-321,3.16e-322
9.200000000000001,4.66327725497505e-310,0.0
9.3,-4.3816711986725473e-26,0.0
9.4,0.0,8.159114883973431e-22
9.5,9.239901313477096e-29,7.95e-322
9.600000000000001,4.6632735569277e-310,6.9300732061685e-310
9.700000000000001,1.1989710039558039e-31,1.1481098895904193e-31
9.8,1.7147771900305284e-31,4.123759696434019e-31
9.9,1.7890842829731584e-30,1.9337049468319187e-29
