  complexity    length       TE    TE_inf  expr_x                           expr_y                                                                      expr_z                                   index_column  method    exp_type    data_version    system      snr    init
           9        12  4.82372   4.82372  2.078*y                          -2.656*x                                                                    0.669*y                                             0  proged    numdif      allonger        lorenz      inf       2
          11        15  3.92855   3.92855  2.078*y                          -2.656*x                                                                    0.438*y**2                                          1  proged    numdif      allonger        lorenz      inf       2
          26        52  3.35414   3.35414  -9.977*x + 9.977*y               -0.948*x*z + 25.449*x + 0.415                                               0.997*x*y - 2.659*z + 0.014                         2  proged    numdif      allonger        lorenz      inf       2
          24        42  3.43139   3.43139  -9.977*x + 9.977*y               -0.949*x*z + 25.493*x                                                       0.997*x*y - 2.658*z                                 3  proged    numdif      allonger        lorenz      inf       2
          29        59  2.86346   2.86346  -9.977*x + 9.977*y               -0.994*x*z + 27.782*x - 0.954*y + 0.029                                     0.997*x*y - 2.659*z + 0.014                         4  proged    numdif      allonger        lorenz      inf       2
          50        98  2.15122   2.15122  -9.973*x + 9.965*y*z/(z - 0.02)  0.001*x**2 - 0.994*x*z + 27.766*x - 0.932*y + 0.224*y/(y - 25.628) + 0.034  0.997*x*y + 0.001*y - 2.659*z + 0.013               5  proged    numdif      allonger        lorenz      inf       2
          22        40  3.59868   3.59868  -9.977*x + 9.977*y               -0.948*x*z + 25.449*x + 0.415                                               0.744*x*y - 30.0                                    6  proged    numdif      allonger        lorenz      inf       2
          23        37  3.576     3.576    -9.977*x + 9.977*y               -0.949*x*z + 25.493*x                                                       0.997*x*y - 2.658*z                                 7  proged    numdif      allonger        lorenz      inf       2
          27        49  3.07813   3.07813  -9.977*x + 9.977*y               -0.994*x*z + 27.782*x - 0.954*y + 0.029                                     0.997*x*y - 2.658*z                                 8  proged    numdif      allonger        lorenz      inf       2
          31        58  2.30721   2.30721  -9.972*x - 0.e-3*y*z + 9.987*y   -0.994*x*z + 27.782*x - 0.954*y + 0.029                                     0.997*x*y - 2.658*z                                 9  proged    numdif      allonger        lorenz      inf       2
