  complexity    length         TE     TE_inf  expr_x                                 expr_y                                                       expr_z                                                index_column  method    exp_type    data_version    system      snr    init
          44        89   0.256341   0.256341  0.001*x*y - 9.969*x + 9.972*y - 0.072  -0.99*x*z + 27.59*x - 0.921*y - 0.003*z**2 + 0.134*z - 1.11  0.996*x*y - 2.657*z                                              0  proged    numdif      allonger        lorenz      inf       3
           9        12  12.397     12.397     0.599*y                                -0.63*x                                                      -0.132*y                                                         1  proged    numdif      allonger        lorenz      inf       3
          11        15   8.91863    8.91863   0.599*y                                -0.63*x                                                      0.245*y**2                                                       2  proged    numdif      allonger        lorenz      inf       3
          29        59   0.813824   0.813824  -9.969*x + 9.971*y - 0.017             -0.993*x*z + 27.733*x - 0.948*y + 0.166                      0.996*x*y - 2.662*z + 0.153                                      3  proged    numdif      allonger        lorenz      inf       3
          36        75   0.45461    0.45461   -9.969*x + 9.971*y - 0.017             -0.993*x*z + 27.733*x - 0.948*y + 0.166                      0.996*x*y - 0.053*x + 0.002*y*z - 2.66*z + 0.112                 4  proged    numdif      allonger        lorenz      inf       3
          32        66   0.678142   0.678142  -9.969*x + 9.971*y - 0.017             -0.993*x*z + 27.733*x - 0.948*y + 0.166                      0.996*x*y + 0.004*y - 2.663*z + 0.137                            5  proged    numdif      allonger        lorenz      inf       3
          49       102   0.185808   0.185808  -9.969*x + 9.971*y - 0.017             -0.99*x*z + 27.59*x - 0.921*y - 0.003*z**2 + 0.134*z - 1.11  0.012*x**2 + 0.989*x*y + 0.013*y - 2.709*z + 0.986               6  proged    numdif      allonger        lorenz      inf       3
          24        42   7.31876    7.31876   -9.97*x + 9.97*y                       -0.951*x*z + 25.493*x + 1.431                                0.996*x*y - 2.657*z                                              7  proged    numdif      allonger        lorenz      inf       3
          25        47   6.97471    6.97471   -9.97*x + 9.97*y                       -0.951*x*z + 25.493*x + 1.431                                0.996*x*y - 2.662*z + 0.153                                      8  proged    numdif      allonger        lorenz      inf       3
          26        44   6.78009    6.78009   -9.97*x + 9.97*y                       -0.949*x*z + 25.42*x + 0.063*z                               0.996*x*y - 2.657*z                                              9  proged    numdif      allonger        lorenz      inf       3
          21        35   8.89885    8.89885   -9.97*x + 9.97*y                       -0.957*x*z + 25.805*x                                        0.557*x*y - 30.0                                                10  proged    numdif      allonger        lorenz      inf       3
          22        36   8.37261    8.37261   -9.97*x + 9.97*y                       -0.957*x*z + 25.805*x                                        0.495*y**2 - 30.0                                               11  proged    numdif      allonger        lorenz      inf       3
          23        37   7.48141    7.48141   -9.97*x + 9.97*y                       -0.957*x*z + 25.805*x                                        0.996*x*y - 2.657*z                                             12  proged    numdif      allonger        lorenz      inf       3
          43        79   0.300859   0.300859  -9.97*x + 9.97*y                       -0.994*x*z + 27.762*x + 0.287*x/(x + 21.564) - 0.903*y       0.996*x*y - 2.657*z                                             13  proged    numdif      allonger        lorenz      inf       3
          27        49   0.855214   0.855214  -9.97*x + 9.97*y                       -0.993*x*z + 27.733*x - 0.948*y + 0.166                      0.996*x*y - 2.657*z                                             14  proged    numdif      allonger        lorenz      inf       3
          28        54   0.823468   0.823468  -9.97*x + 9.97*y                       -0.993*x*z + 27.733*x - 0.948*y + 0.166                      0.996*x*y - 2.662*z + 0.153                                     15  proged    numdif      allonger        lorenz      inf       3
          35        70   0.463484   0.463484  -9.97*x + 9.97*y                       -0.993*x*z + 27.733*x - 0.948*y + 0.166                      0.996*x*y - 0.053*x + 0.002*y*z - 2.66*z + 0.112                16  proged    numdif      allonger        lorenz      inf       3
          31        61   0.688013   0.688013  -9.97*x + 9.97*y                       -0.993*x*z + 27.733*x - 0.948*y + 0.166                      0.996*x*y + 0.004*y - 2.663*z + 0.137                           17  proged    numdif      allonger        lorenz      inf       3
          34        66   0.651296   0.651296  -9.97*x + 9.97*y                       -0.993*x*z + 27.733*x - 0.948*y + 0.166                      0.997*x*y - 2.663*z + 0.084                                     18  proged    numdif      allonger        lorenz      inf       3
          39        75   0.345799   0.345799  -9.97*x + 9.97*y                       -0.99*x*z + 27.59*x - 0.921*y - 0.003*z**2 + 0.134*z - 1.11  0.996*x*y - 2.657*z                                             19  proged    numdif      allonger        lorenz      inf       3
          48        97   0.191147   0.191147  -9.97*x + 9.97*y                       -0.99*x*z + 27.59*x - 0.921*y - 0.003*z**2 + 0.134*z - 1.11  0.012*x**2 + 0.989*x*y + 0.013*y - 2.709*z + 0.986              20  proged    numdif      allonger        lorenz      inf       3
          56       110   0.181572   0.181572  -9.966*x - 0.e-3*y*z + 9.981*y         -0.994*x*z + 27.762*x + 0.287*x/(x + 21.564) - 0.903*y       0.012*x**2 + 0.989*x*y + 0.013*y - 2.709*z + 0.986              21  proged    numdif      allonger        lorenz      inf       3
