	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	exp_type	data_version	system	snr	init
0	11	16	5.143069020069783	5.843762051708791	1.306*y	-0.089*x*z	0.419*x*y	0	proged	numdif	allonger	lorenz	13	1
1	9	12	5.399349696100517	6.208211369458036	1.306*y	-1.523*x	0.812*x	1	proged	numdif	allonger	lorenz	13	1
2	10	14	5.19864708586187	5.934619120912317	1.306*y	-1.523*x	0.419*x*y	2	proged	numdif	allonger	lorenz	13	1
3	12	17	5.120462294277894	5.800259600753294	1.306*y	-0.02*x**3	0.419*x*y	3	proged	numdif	allonger	lorenz	13	1
4	13	19	5.027338094296741	5.581710419827867	1.306*y	0	0.419*x*y	4	proged	numdif	allonger	lorenz	13	1
5	24	39	3.457416704196975	3.5836515944206173	-0.155*x*z + 4.726*y	-0.48*x*z + 12.254*x	0.823*x*y - 2.072*z	5	proged	numdif	allonger	lorenz	13	1
6	18	28	4.118933503240735	4.355057145468601	-0.155*x*z + 4.726*y	0	0.419*x*y	6	proged	numdif	allonger	lorenz	13	1
7	15	23	4.952743665019761	5.6003881920769825	-5.461*x + 5.772*y	-0.089*x*z	0.419*x*y	7	proged	numdif	allonger	lorenz	13	1
8	16	24	4.485287341510804	4.854320896175147	-5.461*x + 5.772*y	-0.02*x**3	0.419*x*y	8	proged	numdif	allonger	lorenz	13	1
9	17	26	4.295746761540897	4.6021342380070305	-5.461*x + 5.772*y	0	0.419*x*y	9	proged	numdif	allonger	lorenz	13	1
10	19	33	4.058239197876406	4.28512973235515	-0.149*x*z + 4.935*y - 4.976	0	0.419*x*y	10	proged	numdif	allonger	lorenz	13	1
11	27	46	3.4247989645173216	3.5465840146721117	-0.146*x*z + 4.891*y - 0.206*z	-0.48*x*z + 12.254*x	0.823*x*y - 2.072*z	11	proged	numdif	allonger	lorenz	13	1
