	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
6	219	64	377	1.473633956150357	3.8359713586254176	-3.796*x1*(x1 - 0.029/(x2*(-0.84*x1 - 0.84*x2 + 0.948) + 1.356))	0.93*x1/(x2*(-1.432*x1 - 0.472*x2 + 0.454 + (0.472*x2/(10.067*x1*(x2 - 1.414) - 1.332 + x2*(x1 + 0.255)/x1) + 0.472)/x2))	219	dso	allonger	lv	13	0
4	59	50	262	1.4799691325332842	3.6935544197810453	x1**2*(x1 - 4.485)	0.93*x1/(x2*(-1.432*x1 - 0.472*x2 + 0.454 + (0.472*x2/(10.067*x1*(x2 - 1.414) - 1.332 + x2*(x1 + 0.255)/x1) + 0.472)/x2))	59	dso	allonger	lv	13	0
1	16	32	169	1.6221972330160934	4.9502617309875765	-2.006*x1	x1*((x1 - 1.024)*(x1 - x2) + 2.034)/(x1 + x2*(-6.596*x1*x2 - 1.785*x1 + x2 - 1.718))	16	dso	allonger	lv	13	0
5	201	26	168	2.113779327106521	8.454988923531664	-3.796*x1*(x1 - 0.029/(x2*(-0.84*x1 - 0.84*x2 + 0.948) + 1.356))	0	201	dso	allonger	lv	13	0
3	41	12	53	2.1218658492969786	8.46583853536433	x1**2*(x1 - 4.485)	0	41	dso	allonger	lv	13	0
2	21	10	48	2.153554865254709	8.509663012728629	-3.734*x1**2	0	21	dso	allonger	lv	13	0
0	0	6	26	4.0855542766014565	20.046675101207704	-2.006*x1	2*x1	0	dso	allonger	lv	13	0
