t,x,y,z
0.0,-2.399487428702636,-0.3102402124980692,-3.5245019105708675
0.1,-2.4656119652264668,-6.035502611699656,-3.2035446907056366
0.2,-2.5211633826136115,-6.839599983893277,-3.1602882458581174
0.30000000000000004,0.9,1.0,1.1
0.4,1.2000000000000002,1.3,1.4
0.5,1.5,1.6,1.7000000000000002
0.6000000000000001,1.8,1.9,2.0
0.7000000000000001,2.1,2.2,2.3000000000000003
0.8,2.4000000000000004,2.5,2.6
0.9,2.7,2.8000000000000003,2.9000000000000004
1.0,3.0,3.1,3.2
1.1,3.3000000000000003,3.4000000000000004,3.5
1.2000000000000002,3.6,3.7,3.8
1.3,3.9,4.0,4.1000000000000005
1.4000000000000001,4.2,4.3,4.4
1.5,4.5,4.6000000000000005,4.7
1.6,4.800000000000001,4.9,5.0
1.7000000000000002,5.1000000000000005,5.2,5.300000000000001
1.8,5.4,5.5,5.6000000000000005
1.9000000000000001,5.7,5.800000000000001,5.9
2.0,6.0,6.1000000000000005,6.2
2.1,6.300000000000001,6.4,6.5
2.2,6.6000000000000005,6.7,6.800000000000001
2.3000000000000003,6.9,7.0,7.1000000000000005
2.4000000000000004,7.2,7.300000000000001,7.4
2.5,7.5,7.6,7.7
2.6,7.800000000000001,7.9,8.0
2.7,8.1,8.200000000000001,8.3
2.8000000000000003,8.4,8.5,8.6
2.9000000000000004,8.700000000000001,8.8,8.9
3.0,9.0,9.1,9.2
3.1,9.3,9.4,9.5
3.2,9.6,9.7,9.8
3.3000000000000003,9.9,4.721251600882901,-1.8843214960081247
3.4000000000000004,7.861604275358315,9.314257857940508,3.072856577669413
3.5,1.7154671650562991,1.8138192391277976,6.706056248761679
3.6,6.501875341337239,7.2027856381198205,8.585507287492618
3.7,5.079661864084264,8.269570544608182,1.505015475305728
3.8000000000000003,2.9060884192313634,3.896196988577856,10.105429663284417
3.9000000000000004,5.717983612388202,5.071270265648412,4.971143162174244
4.0,5.698579243583274,4.820785768116261,7.332731764258884
4.1000000000000005,8.211141568158194,3.032730898404985,4.736506234484427
4.2,4.863112535973414,3.07147636385886,6.7609146487202505
4.3,7.745259343611919,10.673827613449864,4.493776056357554
4.4,9.776438734229565,6.366478711795155,14.729891855139185
4.5,10.1241830227332,7.19863922643676,9.293496710906714
4.6000000000000005,7.597246652838659,16.67592101805083,11.987727386070144
4.7,13.937688059047588,13.814715510406591,11.374324218364483
4.800000000000001,5.120663395114792,12.617602098083289,8.693346271845549
4.9,15.380010776689424,10.49392450182199,11.666934707785346
5.0,7.95546516269407,12.467534900458906,17.20891456934777
5.1000000000000005,12.97113472337157,10.448822785931377,11.685453795430464
5.2,12.456221294044733,12.221844260300136,10.58488826300244
5.300000000000001,15.31741241487393,8.330259486327126,17.412371961017108
5.4,16.69058985089152,15.257058474501555,10.229569412283924
5.5,11.31299287634782,17.545700123231,14.077212918618793
5.6000000000000005,16.79946484758766,13.809151776376533,10.647234983787456
5.7,18.15083898389289,13.695792678715826,18.772661687248576
5.800000000000001,12.765540798509392,16.138690109898853,18.66156757819303
5.9,9.74782153560325,17.573697685386456,15.6746697119541
6.0,19.259371829478045,14.559007223118966,19.291377006585584
6.1000000000000005,11.412948322110056,16.111014734566137,16.590403150762693
6.2,14.582604516470756,21.323008248783992,20.35838355266404
6.300000000000001,16.548652192304374,19.14798901908754,15.586634098473692
6.4,22.85274674361581,18.32464216078339,21.2922635160704
6.5,20.82085690973092,22.635769513193136,15.158325334218691
6.6000000000000005,18.306285277174872,20.732891102961343,2.0991436221790822
6.7,-3.9467030946960207,-9.583690216309057,4.2975242804427225
6.800000000000001,4.980434783112595,-4.004146707965217,10.667627556966846
6.9,1.7147607242883565,-0.1069725597088377,10.73688250403684
7.0,7.879850748588437,0.0082264880179883,6.204128282634046
7.1000000000000005,12.500210254674698,3.992850898953984,3.660337154931272
7.2,4.469281539949304,12.713967870643156,-6.943995916578536
7.300000000000001,11.916541261960033,8.579698518446152,3.250017048797006
7.4,6.1906195782583255,8.48407681282755,13.411416880339765
7.5,12.831645169516662,14.877570609599438,14.524469774760664
7.6000000000000005,17.130130610521714,23.370602546650616,9.978627031004748
7.7,18.014844601305228,14.256914574692695,22.53892075952972
7.800000000000001,15.496568973375489,14.385573147777285,25.33225511237387
7.9,8.3317343966926,15.576897871123052,13.053543025815443
8.0,28.145248709843976,21.55439669192268,15.04998252675908
8.1,21.26213449233432,19.428764435609526,22.76863482553874
8.200000000000001,12.526412443898922,20.1424312771704,22.424340073460773
8.3,28.779306997540782,26.698940340160448,22.770358664635346
8.4,23.29496346953477,22.625375737569804,29.570766643747334
8.5,25.18635586260412,30.492916614868875,33.79619794539775
8.6,21.66637250917473,28.9947957254905,29.60904100233657
8.700000000000001,23.40657251315496,24.95383760348701,22.10815093928312
8.8,21.218440023815248,30.94429252866849,29.638640338182977
8.9,31.381191540004927,29.37627112293872,37.00581458769352
9.0,27.42339421986962,24.9056186764682,31.333055308050465
9.1,28.10788853637604,31.90435007265284,25.050336367458392
9.200000000000001,33.8646537453515,37.370605534081584,33.268949828549964
9.3,23.915664442987783,30.48288026508972,37.193688813238815
9.4,42.09901198741078,40.66346055058937,39.53580770103604
9.5,42.56744926890942,39.56917631876615,37.62395600827711
9.600000000000001,43.05099087306449,28.92032776439311,35.65375084435906
9.700000000000001,46.31160506444471,34.15523420182628,35.498224390855405
9.8,45.33974961402591,46.45450827893694,41.53776136370501
9.9,38.44228855905818,47.158539739714,42.18325269603822
