vdp_all_len100_snrinf_init0_obsxy,vdp_all_len100_snr30_init0_obsxy,vdp_all_len100_snr13_init0_obsxy,vdp_all_len100_snrinf_init1_obsxy,vdp_all_len100_snr30_init1_obsxy,vdp_all_len100_snr13_init1_obsxy,vdp_all_len100_snrinf_init2_obsxy,vdp_all_len100_snr30_init2_obsxy,vdp_all_len100_snr13_init2_obsxy,vdp_all_len100_snrinf_init3_obsxy,vdp_all_len100_snr30_init3_obsxy,vdp_all_len100_snr13_init3_obsxy,stl_all_len100_snrinf_init0_obsxy,stl_all_len100_snr30_init0_obsxy,stl_all_len100_snr13_init0_obsxy,stl_all_len100_snrinf_init1_obsxy,stl_all_len100_snr30_init1_obsxy,stl_all_len100_snr13_init1_obsxy,stl_all_len100_snrinf_init2_obsxy,stl_all_len100_snr30_init2_obsxy,stl_all_len100_snr13_init2_obsxy,stl_all_len100_snrinf_init3_obsxy,stl_all_len100_snr30_init3_obsxy,stl_all_len100_snr13_init3_obsxy
31.41710138320923,30.76087784767151,32.94364380836487,16.15272879600525,21.06600832939148,33.7617084980011,25.422022819519043,25.010228157043457,22.225648641586304,23.408631324768066,34.82175040245056,19.412865161895752,35.815783977508545,31.93351435661316,28.2270610332489,24.745934009552002,25.35504174232483,26.600218057632446,32.34877824783325,28.34547209739685,36.12353253364563,36.80589270591736,33.25889825820923,25.598929166793823
inf,1.554860065956813,2.9561378000323844,3.002060793418151,,,,,3.0618926023635575,4.057217829813001,2.5850645233120315,2.800556736266526,inf,2.161098505752069,,,,2.4145778647576877,10.081072935438218,,,1.8465060526936452,3.0083537978497903,8.010243401616231
(-0.0040999999999999995 - 0.7180000000000001/(-0.00058354533760952843*x_0 + 0.007645674298410319*exp(0.040511512860969189*x_0 + (1.0717034565713457*x_0 - 0.07196742643226976)*(28.616165594313416*x_0 + 0.02580693819593838)) - 54.0*sin(19.715649935934*x_1 + 7.8129535830578836) + 0.8966494423683192))*(2.3615168145034844 - 189.062636412596*x_1),-0.3371717023222239*x_0 + (0.76172070633784829*x_1 - 0.00058209468526300238)*(9.9*sin((88.00181430610044*x_0 - 6.156063003883049)*(0.22851621190135449*x_1 + 0.0068253715944210994)) + 6.0) + 0.02535273181564387,(327.6346660471324*x_1 + 3045.1303314753344)*(2.0105516623893141e-7*sin(64.28810196727492*x_1 + (1.104122054108683*x_0 - 0.12016544560425567)*(16.380688538524191*x_0 + 13.805899216496247) + 46.456737701218874) + 3.831702999452821e-5),-0.14127063146554736 - 0.001432008611901952/((5.4969688176788786 - 7.0483315690106011*x_1)*(5.1014057298943823*x_0 + 2.360879526197047)*(6.59604167190893*arctan(62.996647415428483*x_0 - 48.487972773334402) - 0.7522761762996951)),(26.58182570134369 - 8.186279057631195*x_0)*(4.430724615488518e-6*tan(-206.0316656695243*x_1 + 0.009610430799729765*Abs(5.7006977105142385*log(0.94886865401673986 - 0.45412244358581623*x_0) - 0.0483892991990796) + 21.59095784601796) - 0.00618421793203068),(0.3682620751816207 + 1/(3075.1094322253919*(0.29584396285267744 - x_1)**2 - 0.5383227782851071))*(1.8606871748643651 - 1.4150106195618184*x_0)*(4.789752015733945 - 0.02863833237018716*Abs(137.93592107636218*sqrt(1 - 0.22635764816979238*x_0) + 1.3667332016303346))*(43.737385986392239*x_1 - 13.488488810147941)*(0.0003232376115894277*tan(8115.1200206154513*(-x_1 - 0.023772113634119866)**3 - 0.3613030393184813) + 0.024069043087835525),(422546768.21662183*(3.05902860751973e-5 - (-(0.00328571428571429 - Abs(0.35928143782803291*x_1 - 0.010873022117619505))**2 - 2.05327284847805e-6)**2)**2*(0.091727072839742816 - x_1)**2 + 0.0318)*(0.9460000000000001*cos(0.8200000000000001 + 4.7/(-0.0007999999999999999 + 0.88836270612775582*exp(-0.077633747944383472*x_0))) - 0.00398)*(-0.083329702277259424*x_0 - 0.017151952908969383*x_1 + 6.9850246198197148),-0.2303006443143416*x_0 + (0.0052499999999999995 - 8.378873338407855*(x_1 - 0.03022810565625106)**3)*(0.53659355*(-cos(3.96*Abs(62.4709135501312*x_1 - 1.423669159938442) - 0.068) - 0.0755778894472362)**2 - 0.00997)*(-6.09*Abs(-14.2958516901554*x_1 + 0.10747057582598877*sqrt(0.62494203316388066 - x_1) + 6.373598271710051) - 0.8260000000000001) + 0.048082458989954243,(85.63643149714025 - 18.02404400577971*sin(0.16143417851137647*x_0 - 317.9138289568073*x_1 + 66.254124487275597))*(-1.0946842313611416e-8*tan(43.412729956317568*x_1 - 0.3426485728339278) - 0.0008917427115062628),-0.0609 - 19.0/(309.62761841105031*(0.16429095283954159*x_0 + 0.04537150253222631*x_1 - 0.31545846873457237*(-0.1896030108794837*x_0 - 0.64446440239640095)*(0.0097227174895062844*x_1 + 0.079837547886935259) + 0.24511123020676274*tan(2.479580614187697*x_1 - 0.6535011010242035) + 1)**3 + 9.01),(0.026771063974423836*(0.013809103570862624*x_1 - 1)**3 + 0.026579179764859254)*(-89.617775178909411*x_0 - 166.51284552059791*x_1 - 119.14720396856497*cos(1.731185146348739 - 32869.76609902097*exp(-19.388361944587878*x_1)) + 150.90288092759979),-2.2361609551271352e-6*x_0 + 3.4019891765651706e-6*x_1 - 0.029551321323919574 + 2.2565241372142757e-6/(79.1554916990784*sin(-156.8485970167774*x_0 + (9.11834497806949 - 1.3855586085628816*x_1)*(-0.11274528224205694*x_0 - 0.1737558754222641) + 173.78457871930368) + 2.473714871430214),(0.058300000000000005 + 0.0932/((42.6 - 7.5600000000000005*Abs(1.3161611671780893*x_1 - 0.024431960316474678))*(-0.08800000000000001*arctan(66.022874790729176*sqrt(1 - 0.01829610049004441*x_0) - 0.0091) - 0.00911)))*(-11.345309261075131*x_1 - 0.019466502071988308)*(0.042*tan((5.5886574507104627 - 111.08400250983074*x_1)*(-0.021568826306743014*x_0 - 4.3309861413709892)*(127.53601709955686*x_1 + 77.932193045333614)) + 6.67),(0.0947 - 4.54*sin(0.024668160189675759*x_1 + 0.069655575021215836*((-x_1 - 0.088206796300064959)**2 - 0.027435833549590977)**2 - 0.8831804733645429))*(-1.1108397096365274*(0.0042899999999999995 - 0.00943/(0.0076247040586270515*x_1 + 0.062651308232777655))*(-3.6909843634709869e-5*x_1 - (x_0 + 0.04589939930170926)**2 + 0.25525642351466385)**2 + 0.00201 + 0.07/(0.00308 + 5.72/(-70.178937010200553*x_1 - 1.327564011033088))),1.5*arctan(0.8926940664630168 - 13.03034014468704*x_1) + 3.0*sin(0.3*tan(126.06165785071004*x_0 + 3.326786371789779) - 0.01),(-9.97 + 0.00179/((-0.10989630869681922*x_1 - 0.006360625371379141)*(1.4089270345746054*x_1 - 0.03181403370026743)*(-12.7722807524743*x_0 + 109.75541599336177*x_1 - 77.9*sin(0.36491210195482281*x_1 - 0.04368997472836927) + 64.388381779807011)))*(0.29728360429524177*x_1 - 0.00022882111075642885),-0.021279616860241622*x_0 - 2.9654193194207386*x_1 + (6.173167515615078 - 0.93881521581661308*x_1)*(0.05206412925139117*x_0 + 0.06793961411068033)*(sin(0.12300000000000001*tan(52.06412925139117*x_0 - 9.67053588931968) + 0.00997) + 0.006019999999999999) - 0.0030416669673295508,-2.3320678382163381*x_1 + 0.9600000000000001*sin(3.0867573203291521*(-0.1777951477196872*x_0 + 0.022408593875910653*(0.07461974106881415 - 0.10727512055795156*x_1)*(36.041048408797951*x_1 - 1.3426122167952682) + 1)**2 - 0.033100000000000004) + 1.1500000000000001*cos(46.800000000000004*arctan(0.6473254969109593*x_1 - 0.02106929393302874) - 81.4) + 0.18375784932204678 - 25.0/(34.1*cos(1.1625985742758075e-7*exp(0.650721789922487*x_0) - 0.0221) - 2.1),(0.049167363849471794*x_1 - 5.4210163629519518e-5)*(0.5800000000000001*tan(68.554842745114543*x_0 - 0.44576670991377875*x_1 - (0.011084845899863264*x_0 - 0.0069125677461951382)*(124.80946207942839*x_1 + 10.7208511230943) + 28.987412133652582) - 60.6),-2.9502693842839996*x_1 + 0.35900000000000004*cos(56.703469616109291*x_0 + 872686.8482272427*(-x_1 - 0.057454549605459864)**2 + 0.85628404277649621) + 0.9810000000000001*Abs(0.0085456138047712179*x_0 + 0.31972082314267135*x_1 + (0.53954210483207026*x_0 + 0.0076676330130854492)*(51754.12*(0.00015427807486631 - 1/(12.200000000000001*Abs(9.3941858706348886*(1 - 0.021771702341524858*x_0)**2 + 27.5) + 8.46))**2 + 0.0758) + 0.10399669714484833) - 0.16331025456464607,-3.0255645802531923*x_1 - 0.3023254841777534*tan(1.222758048052981*Abs(0.016972093854388565*x_0 - (-7.9510500846094482*x_1 - 0.3731357806585059)*(6.8604359987668325*sqrt(0.31346171153265428*x_1 + 1) - 87.74109174540239) + 0.94397681894461289) + 0.25543826908047923) - 0.15042653295456416,(-0.13021323965834419*x_1 - 0.00014208259213219917)*(0.17800000000000002*tan(39.94843512413482*x_0 + 0.6240926010538445) + 22.6),-3.0032474493877039*x_1 - 0.03963439923963975 - 15.6/((-0.05923071*(-1 - 0.3610389610389611/(-0.009319149841727266*x_0 - 0.0018109687314344177))**2 - 7.41)*(0.8420000000000001*cos((10.70330013832184*x_0 - 53.687402109991459)*(86.152479798113379*x_1 + 5.066859673103226)) - 0.040900000000000006)),-2.8609100584225933*x_1 + (0.001 - 0.030000000000000002*cos(-23.366141389991152*x_0 + 0.024877478768892113*x_1 + 0.85399994224768029))*(-0.012438739384446056*x_1 + (0.3064146834598485 - 1.0514763625496019*x_0)*(-97.395329380212615*x_1 - 5.672312892847185) - 60.00072571045886) + 0.23308659446298179
-0.10032490996594587*x_0 - 0.0002489466774398773 + 0.00365/(-4.6028260706523887*x_0 - 7.825515978932654*x_1 + 85.0*cos(0.0512 + 0.09870000000000001/(-0.750151750927397*x_1 - 0.025095271994066826)) - 75.700162306985818),(0.002753568902298162*x_0 - 0.0420988806431611)*(-0.02323248154330437*x_1 - (-0.8530000000000001 - 0.09720000000000001/(14.1612114975334*x_0 + 65.050948321252248*x_1 + 6.163474377621497))*(2.933393810203348*x_0 - 0.12949252007743421*x_1 + 2.28068118*(-cos(34.2791230694261*x_0 + 87.12413893207622) - 0.009474812433011788)**2 - 0.64926981069960693) - 0.085377246112099489),0.0070371925349281773*(-0.02646783950968117*x_0 - x_1 - 0.047367323232008176*sin(290.9926166326672*x_1 + 34.15932862960225*(-x_1 - 0.00083148500563267495)**2 - 13.71878631016654) + 0.3660508075930423*tan(0.1458258483092992*x_1 + 30.547335146228538 + 0.002176742173220205/(0.38915333574658432*exp(4.6289002233701141*x_0) - 0.0808558976912394)) + 0.60344035521483264)**3 - 0.019195890426175585,-0.0976941086628321*x_0 - 0.001702023206265131 + 0.08280000000000001/(29.865691814939406*x_1 + (0.012141511233413831 - 0.13417129553250892*x_1)*(0.071627905167094603*x_1 - 0.01056044219492144) - 0.1*Abs(306.07826793353598*x_1 - 45.1958725012253) - 23.67324076611271),-0.00010205626375689998*(0.10047107532769 - sin((55.90781491822413*x_0 - 43.280417871855465)*(5.9548170900911643*x_1 - 4.6156266178621692)))**3 + 1.2016530212841519*Abs((4.0689679020467645e-7*x_0 + 2.7251891154104828e-7)*(1.1895622393345284*x_0 - 29.70698121074136*x_1 + 8.653997615234164)) - 0.08000364585870175,(1.6019861876380927e-5*x_1 + 6.315229813340826e-5)*(0.2699862139704935*sin((-0.7814005572778045*x_0 - 94.32736953627454)*(9.522596704803674*x_0 - 58.95399916975224)) - 8.978961054425408)*(0.21976803679039275*sin(108824.7152121252*(x_0 - 0.95287624184404758)**2 + 8.818176164810133) + 12.285493106836634)*(cos((20.225528305674718 - 29.002409326512299*sqrt(0.044097216905164131*x_1 + 1))*(-0.2237968421569102*log(56.31586953656002 - 0.026304476985582682*exp(1.6618610195132989*x_0)) - 6.937019372505701 - 0.33984653960162486/(13.84833305643135 - 8.020458250761625*x_0))) + 6.403412000777772),-0.099995642732711318*x_0 - 0.0091460571940754576 + 0.8410000000000001/(84.9 - 0.025/(0.0054399999999999995 - 0.0026899999999999997/(3.5694144964247285*(x_1 - 0.044577827537828744)**2 - 0.00828))),-0.09486696265792603*x_0 + 0.0068262606298068407 - 0.8400000000000001/(3.1013512045629411*x_1 - 91.0*sin(0.031700000000000006 + 4.8767805915261698e+42*exp(-0.0033683181339366*x_1)) + 31.823443132927195),(5.69834576426302*arctan(-0.18507251881927106 + 68.90000087522752/(15.191606521886957*sqrt(x_0 - 0.018882066006500939*x_1 + 0.015972792356493904*(43.781824813022072 - 59.36118885187845*x_1)*(-0.3705307675003687*x_1 + 38263.156251146663*(-1 - 0.36557048356313991/(0.032711753891180827*x_0 - 0.068875288982426546))**3 + 26.629873707431815) - 0.21668628203461244) + 5.249999997110438)) - 3.432346270662314e-5)*(3.0041669126475976e-6*tan(83.723518918508573*x_1 - 4.2747006535034668) + 0.012535686918225751),0.317*sin(-0.16914076579377799*x_1 + (0.10837351583389293*x_0 + 0.14280497359195988)*(-3.8597734339166922*(0.0010842990908190338*x_0 - 0.00068723378897067899*x_1 + 0.00020776059646000705*Abs(675.5966445824368*(x_1 - 0.2605273265710048)**2 + 9.83) - 1)**2 - 0.00896) + 0.036507569304203217) + 0.137,(1.7100422195251564e-6*x_1 + 0.0025653374076641409)*(-0.197542434906815*arctan(-6.4402242762978975*x_0 + 7.5156120598877519 - 9.170758345929308/(149.41615904997218*x_1 - 39.24997143564951)) + cos(1.1858877601823969*x_0 + 6.955142197348043*cos(91.56482481601263*x_0 - 103.62197243201288) - 56.325849795942446) - 43.588128987090905),4.324045868905016e-9*tan(0.93735840371912354*x_1 + 8.97259895101085*sin(23.984743945989404*x_0 - 25.784223503526492) - 0.012330020262257203) - 0.13987578029566028,(6.0472108111543294*x_0 - 0.013517419299380361)*(0.88136640000000013*(-0.15148514851485148*arctan((-5.24 + 0.0051199999999999996/(-0.12135005961381984*x_1 - 55.102219073258822))*(1.3232408777142952*x_0 - 0.009500529387172947)*(0.53830991737583856*x_1 + 0.013143828230561858)*(0.50150829265371789*x_0 - 0.0042512005699852282*x_1 + 14.139851559594084) - 49.6576906430414*sqrt(Abs(0.010739875124173207*x_1 + 1.0001963952038176) + 0.003685823754789272) + 0.0076) - 1)**2 - 0.00281),2.6757982051641011*x_0 + (0.0050262151159780442*x_0 - 0.4057692997454155)*((0.986725388557795*x_0 + 0.03897010261054845)*(0.052370372167386508*x_1 - 1.252946904714942*(x_1 + 0.032929792835862307)**3 - 0.73666073757071404) - 0.49200000000000005*sin(80.948517131014821*x_0 + 3.029488310677702) - 0.001) - 0.0052724697303759742,2.5594336593932041*x_0 - (0.09013212506439927 - 0.8344682476496548*x_1)*(97.793286090247784*x_0 + 6.5509615490248)*(0.01842674363895137*x_1 + 0.009970331623183613) + 0.00479*sin(0.05042466314028402*x_0 + 0.006334714548715911) + 2.06*cos(386400.70318276812*(-x_0 + 0.00067620120666864697*x_1 - 0.91025277493327321)**3 + 8.700000000000001) + 0.10642657179088341,2.9532900223897929*x_0 + 0.0081486744769037648 - 0.013000000000000001/(-6.44 + 0.5740000000000001/((0.03588102155605442 - 0.02324729607048099*x_1)*(0.045500000000000006 - 3.83*cos(-5.0580480541228332*x_1 + (-0.0956862580130115*x_0 - 0.047286976072605417)*(6.14292187074528*x_1 - 0.185114786933166) + 0.1567637809839601)))),-(22.3 + 96.9/((1.87323911319762 - 32.62874585237048*x_0)*(0.8710456501458903*x_0 + 39.0773683123694 + 0.188/(1.62203379732172 - 0.06015038365828298*x_0))))*(-0.1323592168707029*x_0 - 0.001704686553854882) + 0.342*sin(0.7070000000000001*tan(0.00174 + 70.2/(26.0*sin((0.0077016612535388158*x_1 - 0.3301900598334938)*(1.418641124016108*x_0 - 3300.669768705568*(-0.001330123796422966 + 1/(0.0082264605910542171*x_1 + 0.0049363489085492567))**3 + 105.952033082035)) + 1.56)) - 0.00894) - 0.00359,2.711340791343696*x_0 + (0.01 - 92.3*sin(38.161110079903712*x_1 - 2.258801170724402))*(0.02030195581571653 - 0.0084802466844230474*x_1) + 0.022859915174585855,0.057300000000000004 - 5.03*sin(-0.61981139380104109*x_0 + 0.011203751847746777 + 1.06/((-312.24463904071894*(0.30400012137523915*x_0 + 1)**2 - 0.00811)*(1.1463129162216406*x_0 + 2.29*sin(109.02895537973056*x_1 + 0.019448298476178751*sqrt(0.0010045693781512502*x_1 + 1 - 0.0067759804552682537*exp(-0.011111563395159141*x_1)) - 3.2314668349980867) - 0.74329602339143106))),2.9494625906035728*x_0 + 0.11552572149258058*x_1 + (5.2301747410520328*(0.0010858215043490144 - (-x_1 - 0.053198681963432877)**2)**2 + 5.15880494315907)*(0.0843135406614082*sin(0.00235054208529904 + 4.486361493428251/(0.06576507333807515*x_0 + 0.064871414522536311)) + 0.1937904709144538) - 1.2864216641014485,0.0023344383444475369*x_0 + 2.8000000000000003*sin(1.060083112937529*x_0 + 0.00061933229328692127) + 2.59*cos(0.5810000000000001 + 0.00631/(0.32028042986623218*x_0 + 0.0048817131609505164)) + 2.06*cos(0.18382292277533747*x_0 - 41.4361128*(-7.5690935266533279e-5*x_1 - sqrt(1 - 0.0761290322580645*sin(107.12383471822123*x_1 + 4.680455408169307)) + 0.2491344421962589)**2 - 0.0013599999999999999*Abs(0.0073990183514678384*x_1 + 0.0003531161060991359) + 80.157563448046608) - 0.74428284455548179,(-0.6940000000000001 + 4.01/((-9.94 - 0.775/(-0.006692130685786442*x_0 - 64.085339518126258*x_1 + 39.01411437304478))*(0.0081558474490331884*(-0.62787473982526166*x_0 - 1)**2*(-(1.0790486844998338e-6*(0.713467048710602 + 1/(0.2390046673495158*x_0 - 1.850074291177996))**2 + (x_1 + 0.057921011810482932)**2 + 0.00012434396298893706 + 0.0021356787536267815/(0.8281003343547306 - 1.3276644043595878*x_1))**3 - 0.0019320853081167946)**2 - 0.057600000000000005)))*(0.4624740313213131*x_0 - 3.3753429422422904e-5),(0.04975781669654636*x_0 + 5.8565441845738836e-5)*(5.7901592774212089*x_1 + 59.54517225277134) + (0.12921260513205593*(x_1 + 0.047826361850044578)**3 + 0.026600000000000002)*(-4.34*sin(17.06323210457105*x_0 + 0.4280835927672438) - 0.9520000000000001),(0.0027384879276379644 - 0.060401475493127131*x_0)*(10.846028846939278*(x_1 + 0.051372606106342862)**2 - 58.9) - (-0.22781987855241374*x_0 - 21.098610151917034)*(-0.0941*cos(58.2*Abs(0.8902499869586629*x_0 - 8.1098662671742602e-5) + 2.88) - 0.008029999999999999) + 0.9900000000000001*arctan(0.0074508048912831871*x_1 + 0.6292347005648551 + 0.66/(-0.7979537284681979*x_0 - 24.379929193514272*x_1 - 1.5759244673555195)) + 0.00074
,,,,,,,,,,,,,,,,,,,,,,,
