vdp_all_len100_snrinf_init0_obsxy,vdp_all_len100_snr30_init0_obsxy,vdp_all_len100_snr13_init0_obsxy,vdp_all_len100_snrinf_init1_obsxy,vdp_all_len100_snr30_init1_obsxy,vdp_all_len100_snr13_init1_obsxy,vdp_all_len100_snrinf_init2_obsxy,vdp_all_len100_snr30_init2_obsxy,vdp_all_len100_snr13_init2_obsxy,vdp_all_len100_snrinf_init3_obsxy,vdp_all_len100_snr30_init3_obsxy,vdp_all_len100_snr13_init3_obsxy,stl_all_len100_snrinf_init0_obsxy,stl_all_len100_snr30_init0_obsxy,stl_all_len100_snr13_init0_obsxy,stl_all_len100_snrinf_init1_obsxy,stl_all_len100_snr30_init1_obsxy,stl_all_len100_snr13_init1_obsxy,stl_all_len100_snrinf_init2_obsxy,stl_all_len100_snr30_init2_obsxy,stl_all_len100_snr13_init2_obsxy,stl_all_len100_snrinf_init3_obsxy,stl_all_len100_snr30_init3_obsxy,stl_all_len100_snr13_init3_obsxy,cphase_all_len100_snrinf_init0_obsxy,cphase_all_len100_snr30_init0_obsxy,cphase_all_len100_snr13_init0_obsxy,cphase_all_len100_snrinf_init1_obsxy,cphase_all_len100_snr30_init1_obsxy,cphase_all_len100_snr13_init1_obsxy,cphase_all_len100_snrinf_init2_obsxy,cphase_all_len100_snr30_init2_obsxy,cphase_all_len100_snr13_init2_obsxy,cphase_all_len100_snrinf_init3_obsxy,cphase_all_len100_snr30_init3_obsxy,cphase_all_len100_snr13_init3_obsxy,lorenz_all_len100_snrinf_init0_obsxyz
31.41710138320923,30.76087784767151,32.94364380836487,16.15272879600525,21.06600832939148,33.7617084980011,25.422022819519043,25.010228157043457,22.225648641586304,23.408631324768066,34.82175040245056,19.412865161895752,35.815783977508545,31.93351435661316,28.2270610332489,24.745934009552002,25.35504174232483,26.600218057632446,32.34877824783325,28.34547209739685,36.12353253364563,36.80589270591736,33.25889825820923,25.598929166793823,22.33634352684021,29.44998288154602,28.548012495040894,25.89839792251587,27.87543249130249,25.361090183258057,24.411458253860474,24.784995555877686,27.033443450927734,17.76987862586975,15.468665599822998,18.84263849258423,26.29642629623413
inf,1.554860065956813,2.9561378000323844,3.002060793418151,,,,,3.0618926023635575,4.057217829813001,2.5850645233120315,2.800556736266526,inf,2.161098505752069,,,,2.4145778647576877,10.081072935438218,,,1.8465060526936452,3.0083537978497903,8.010243401616231,0.11370365054134403,,3.8336977605469067,0.08670960797663423,,inf,0.09288661289313058,4.046292949082408,,0.07886793915529132,,,9.077802930090957
(-0.0040999999999999995 - 0.7180000000000001/(-0.00058354533760952843*x_0 + 0.007645674298410319*exp(0.040511512860969189*x_0 + (1.0717034565713457*x_0 - 0.07196742643226976)*(28.616165594313416*x_0 + 0.02580693819593838)) - 54.0*sin(19.715649935934*x_1 + 7.8129535830578836) + 0.8966494423683192))*(2.3615168145034844 - 189.062636412596*x_1),-0.3371717023222239*x_0 + (0.76172070633784829*x_1 - 0.00058209468526300238)*(9.9*sin((88.00181430610044*x_0 - 6.156063003883049)*(0.22851621190135449*x_1 + 0.0068253715944210994)) + 6.0) + 0.02535273181564387,(327.6346660471324*x_1 + 3045.1303314753344)*(2.0105516623893141e-7*sin(64.28810196727492*x_1 + (1.104122054108683*x_0 - 0.12016544560425567)*(16.380688538524191*x_0 + 13.805899216496247) + 46.456737701218874) + 3.831702999452821e-5),-0.14127063146554736 - 0.001432008611901952/((5.4969688176788786 - 7.0483315690106011*x_1)*(5.1014057298943823*x_0 + 2.360879526197047)*(6.59604167190893*arctan(62.996647415428483*x_0 - 48.487972773334402) - 0.7522761762996951)),(26.58182570134369 - 8.186279057631195*x_0)*(4.430724615488518e-6*tan(-206.0316656695243*x_1 + 0.009610430799729765*Abs(5.7006977105142385*log(0.94886865401673986 - 0.45412244358581623*x_0) - 0.0483892991990796) + 21.59095784601796) - 0.00618421793203068),(0.3682620751816207 + 1/(3075.1094322253919*(0.29584396285267744 - x_1)**2 - 0.5383227782851071))*(1.8606871748643651 - 1.4150106195618184*x_0)*(4.789752015733945 - 0.02863833237018716*Abs(137.93592107636218*sqrt(1 - 0.22635764816979238*x_0) + 1.3667332016303346))*(43.737385986392239*x_1 - 13.488488810147941)*(0.0003232376115894277*tan(8115.1200206154513*(-x_1 - 0.023772113634119866)**3 - 0.3613030393184813) + 0.024069043087835525),(422546768.21662183*(3.05902860751973e-5 - (-(0.00328571428571429 - Abs(0.35928143782803291*x_1 - 0.010873022117619505))**2 - 2.05327284847805e-6)**2)**2*(0.091727072839742816 - x_1)**2 + 0.0318)*(0.9460000000000001*cos(0.8200000000000001 + 4.7/(-0.0007999999999999999 + 0.88836270612775582*exp(-0.077633747944383472*x_0))) - 0.00398)*(-0.083329702277259424*x_0 - 0.017151952908969383*x_1 + 6.9850246198197148),-0.2303006443143416*x_0 + (0.0052499999999999995 - 8.378873338407855*(x_1 - 0.03022810565625106)**3)*(0.53659355*(-cos(3.96*Abs(62.4709135501312*x_1 - 1.423669159938442) - 0.068) - 0.0755778894472362)**2 - 0.00997)*(-6.09*Abs(-14.2958516901554*x_1 + 0.10747057582598877*sqrt(0.62494203316388066 - x_1) + 6.373598271710051) - 0.8260000000000001) + 0.048082458989954243,(85.63643149714025 - 18.02404400577971*sin(0.16143417851137647*x_0 - 317.9138289568073*x_1 + 66.254124487275597))*(-1.0946842313611416e-8*tan(43.412729956317568*x_1 - 0.3426485728339278) - 0.0008917427115062628),-0.0609 - 19.0/(309.62761841105031*(0.16429095283954159*x_0 + 0.04537150253222631*x_1 - 0.31545846873457237*(-0.1896030108794837*x_0 - 0.64446440239640095)*(0.0097227174895062844*x_1 + 0.079837547886935259) + 0.24511123020676274*tan(2.479580614187697*x_1 - 0.6535011010242035) + 1)**3 + 9.01),(0.026771063974423836*(0.013809103570862624*x_1 - 1)**3 + 0.026579179764859254)*(-89.617775178909411*x_0 - 166.51284552059791*x_1 - 119.14720396856497*cos(1.731185146348739 - 32869.76609902097*exp(-19.388361944587878*x_1)) + 150.90288092759979),-2.2361609551271352e-6*x_0 + 3.4019891765651706e-6*x_1 - 0.029551321323919574 + 2.2565241372142757e-6/(79.1554916990784*sin(-156.8485970167774*x_0 + (9.11834497806949 - 1.3855586085628816*x_1)*(-0.11274528224205694*x_0 - 0.1737558754222641) + 173.78457871930368) + 2.473714871430214),(0.058300000000000005 + 0.0932/((42.6 - 7.5600000000000005*Abs(1.3161611671780893*x_1 - 0.024431960316474678))*(-0.08800000000000001*arctan(66.022874790729176*sqrt(1 - 0.01829610049004441*x_0) - 0.0091) - 0.00911)))*(-11.345309261075131*x_1 - 0.019466502071988308)*(0.042*tan((5.5886574507104627 - 111.08400250983074*x_1)*(-0.021568826306743014*x_0 - 4.3309861413709892)*(127.53601709955686*x_1 + 77.932193045333614)) + 6.67),(0.0947 - 4.54*sin(0.024668160189675759*x_1 + 0.069655575021215836*((-x_1 - 0.088206796300064959)**2 - 0.027435833549590977)**2 - 0.8831804733645429))*(-1.1108397096365274*(0.0042899999999999995 - 0.00943/(0.0076247040586270515*x_1 + 0.062651308232777655))*(-3.6909843634709869e-5*x_1 - (x_0 + 0.04589939930170926)**2 + 0.25525642351466385)**2 + 0.00201 + 0.07/(0.00308 + 5.72/(-70.178937010200553*x_1 - 1.327564011033088))),1.5*arctan(0.8926940664630168 - 13.03034014468704*x_1) + 3.0*sin(0.3*tan(126.06165785071004*x_0 + 3.326786371789779) - 0.01),(-9.97 + 0.00179/((-0.10989630869681922*x_1 - 0.006360625371379141)*(1.4089270345746054*x_1 - 0.03181403370026743)*(-12.7722807524743*x_0 + 109.75541599336177*x_1 - 77.9*sin(0.36491210195482281*x_1 - 0.04368997472836927) + 64.388381779807011)))*(0.29728360429524177*x_1 - 0.00022882111075642885),-0.021279616860241622*x_0 - 2.9654193194207386*x_1 + (6.173167515615078 - 0.93881521581661308*x_1)*(0.05206412925139117*x_0 + 0.06793961411068033)*(sin(0.12300000000000001*tan(52.06412925139117*x_0 - 9.67053588931968) + 0.00997) + 0.006019999999999999) - 0.0030416669673295508,-2.3320678382163381*x_1 + 0.9600000000000001*sin(3.0867573203291521*(-0.1777951477196872*x_0 + 0.022408593875910653*(0.07461974106881415 - 0.10727512055795156*x_1)*(36.041048408797951*x_1 - 1.3426122167952682) + 1)**2 - 0.033100000000000004) + 1.1500000000000001*cos(46.800000000000004*arctan(0.6473254969109593*x_1 - 0.02106929393302874) - 81.4) + 0.18375784932204678 - 25.0/(34.1*cos(1.1625985742758075e-7*exp(0.650721789922487*x_0) - 0.0221) - 2.1),(0.049167363849471794*x_1 - 5.4210163629519518e-5)*(0.5800000000000001*tan(68.554842745114543*x_0 - 0.44576670991377875*x_1 - (0.011084845899863264*x_0 - 0.0069125677461951382)*(124.80946207942839*x_1 + 10.7208511230943) + 28.987412133652582) - 60.6),-2.9502693842839996*x_1 + 0.35900000000000004*cos(56.703469616109291*x_0 + 872686.8482272427*(-x_1 - 0.057454549605459864)**2 + 0.85628404277649621) + 0.9810000000000001*Abs(0.0085456138047712179*x_0 + 0.31972082314267135*x_1 + (0.53954210483207026*x_0 + 0.0076676330130854492)*(51754.12*(0.00015427807486631 - 1/(12.200000000000001*Abs(9.3941858706348886*(1 - 0.021771702341524858*x_0)**2 + 27.5) + 8.46))**2 + 0.0758) + 0.10399669714484833) - 0.16331025456464607,-3.0255645802531923*x_1 - 0.3023254841777534*tan(1.222758048052981*Abs(0.016972093854388565*x_0 - (-7.9510500846094482*x_1 - 0.3731357806585059)*(6.8604359987668325*sqrt(0.31346171153265428*x_1 + 1) - 87.74109174540239) + 0.94397681894461289) + 0.25543826908047923) - 0.15042653295456416,(-0.13021323965834419*x_1 - 0.00014208259213219917)*(0.17800000000000002*tan(39.94843512413482*x_0 + 0.6240926010538445) + 22.6),-3.0032474493877039*x_1 - 0.03963439923963975 - 15.6/((-0.05923071*(-1 - 0.3610389610389611/(-0.009319149841727266*x_0 - 0.0018109687314344177))**2 - 7.41)*(0.8420000000000001*cos((10.70330013832184*x_0 - 53.687402109991459)*(86.152479798113379*x_1 + 5.066859673103226)) - 0.040900000000000006)),-2.8609100584225933*x_1 + (0.001 - 0.030000000000000002*cos(-23.366141389991152*x_0 + 0.024877478768892113*x_1 + 0.85399994224768029))*(-0.012438739384446056*x_1 + (0.3064146834598485 - 1.0514763625496019*x_0)*(-97.395329380212615*x_1 - 5.672312892847185) - 60.00072571045886) + 0.23308659446298179,2.650778397310469e-5*Abs(2.4056353479053634*cos(16.65079423009715*x_0 + 6.497918880409699*x_1 - (0.1001661377526077*x_0 - 1.2824830474320031)*(0.1996485399693231*x_0 + 5.1715990338994115)*(0.027051574369412982*x_1 - 0.3022911772075125) - 316.32325163435738) + 0.09868543878763132) + 1.6926640775785502,(2.352695098920953e-7*x_1 + 0.0011353621615279149)*(-27.643181011132185*cos((0.66103090464094573*x_0 + 0.82442025851767161)*(0.086371532735969157*x_1 - 6.9706385568514835) + 72785.028246787753*(-sqrt(0.0037202348130174729*x_0 + 1) - 0.21856353224758513)**2 + 0.03080578844643358 - 3.035483216331279/(7.8672509698983082 - 0.73914419682819502*x_0)) - tan(7.53224427688713*x_1 - 163.244550855026) + 1420.146627837832),8.135630082456746e-7*x_1 + 1.106545576684364e-6*(0.000734858926971168 - cos(0.21811491707624847 - 93.23985516838843/(0.080351801517418253*x_0 - 0.77035275699605131)))**3 + 2.1070821023581961 + 0.7507120194279565/(-101.9684386835112*(-0.0031721713146732208*(1 - 0.033441212461291376*x_1)**2 - 1)**2 - 0.9578898056350512),2.867788922990818e-7*x_1 + 0.3605721329604983*(5.806496091893235e-5 + 0.00012494589576385903/(1.0295849689504884*x_0 - 0.3345188213808782*x_1 + 0.3794926011991943*arctan(0.5424684875545441*x_1 + 60.728357687723887) - 4.2854931567640183))*sin(46.343968544854997*(sqrt(-0.011766273569744325*x_0 + 0.00032133398824086367*x_1 + 1) - 0.12477271232562648)**2 + 0.00643015756119275) + 1.7496195124530012,(0.04670108211808444 + 0.0009314688641537662/(0.00014247634834611246*x_0 - 0.003574445101821721*x_1 + 0.10087060724578533*sqrt(7.2083425132446737e-6*x_0 + 1) - 4.318815245565609*sin(0.04687519079699551*x_1 - 1.180430568080826) + 17.692111613911132))*(0.00014417616914141239*(0.01493001863192593 - cos(3.575360837563806*x_1 - 90.014727611854372))**3 + 26.604361502588079*sqrt(0.060300482774607491*Abs(0.000586658764650644*x_1 - 0.030945968494754041) + 1) + 11.828069939746975),1.1233356600455815 - 59.37232115728759/(-0.080686394325961155*x_0 - 0.0295474646242252*x_1 - 0.2970314666782743*cos(3.001036287191689*x_1 - 75.568512205313787) - 18.362879187441884 - 20.612681130916368/(0.13576932064268082 - 16.494975321237398/(29.50278480953032 - 8929.013229489079*(1 - 0.2823482360433431/(0.5527373570861015*x_1 - 19.044365112413086))**2))),-0.0006561376380636628*x_0 + 0.00025298476911668694*x_1 + 9.59170760176916*Abs(3.4007465879458487e-6*sin(1.222843861445001*x_0 + 0.0063273076211083308*(x_1 - 0.537578269146669)**2 - 13.430951789655079) - 0.15155865118315567) + 0.23984819508747289,(4.754409741624931e-7*cos(17.6352370542872*x_0 - 198.9865431759529) + 0.010765434815240832)*(0.12078842360134269*x_0 + arctan(81.88041583963901*cos(1.8723343493904641*x_0 + 0.7292650864574535*Abs(0.05680948720297343*x_1 - 0.89386827220609738) - 12.770327282844906) + 1.4246081939666249) + 155.9892569806985),(0.002927344162098583*cos(7.9613451588546699*exp(6.239242764652488*sin(13.035556143691265*x_0 - 137.45206035768209)) + 0.3374876091666817) - 0.12687013640447944)*(0.016847004149216167*x_0 + cos(8346.7894829938064*(-0.00055889200668897763*x_0 + 1.4316958464027268e-5*x_1 + 0.10034166397275812*(1.4276414024046172 - 0.06058721461437269*x_1)*(0.012419054940880165*x_1 - 1.0250138766226048) + 1)**2 - 6.895127377897742) - 9.5688967098205371),2.5760785535775526*Abs(2.996271046820942e-8*x_1 - 9.732324390578516e-7*sin(71.199861214637631*exp(0.04796944639180012*x_1) + 0.020127471476939714) - 0.2584428869562883*Abs(0.10737262198894532 + 0.03728728988443821/(0.0011692825072495535*x_0 - 2321.317618429256*(0.00027707107433180595*sin(6.709999999279214*log(0.80413125535905956*x_0 + 85.19358241635494) - 5.430000000150485) - 1)**2 + 9.064613002176852)) + 0.027539677249860442) + 1.689559717902014,-4.381884527311959e-5*(1 - 0.08494046289418847*x_0)**2 + 8.12260140733704e-8*tan(71.44133235387902*cos(9.182217684869086 + 5.691616295484327/(1.0521032684083698 - 0.024691194787088709*x_0)) - 0.5613467632594686) + 5.288376932761047e-7*Abs(14.20215349927863*sin(1.8538771794909512*x_0 + 0.0129330682806185*x_1 - 85.805322057067813 - 0.03312552873820038/(0.0005398273257431556*x_1 + 55.788710391104286)) - 0.037705080932176116) + 1.5882433696204115,(0.0071604165270770775 + 4.2491515206344285e-10/(0.8193891185233206*sin(0.96722338896930205*x_0 - 11.039593234282654) - 0.1779353200722604))*(152.15942780276492 - 42.50859669970728*sin(1.3793695029244388e-6*tan(7.078928083023534*x_1 - 162.39941707562731) - 1.6761725978565842)),6.800683377842874*sqrt(0.0020465117970695843*x_0 + 1) + (4.580040367828569*(1 - 0.8537234060921201/(0.9350153802179366*x_2 + 0.0251841773927357*sqrt(1 - 0.03891087381346889*sin(0.006700001836504814 - 0.5830000000023092/((178.2901471442749 - 23.601324263190377*x_0)*(0.1170701301276014*x_2 + 27.388365139423826)))) - 27.348653893630381))**2 + 0.022899636316626386)*(-0.11715292242697112*x_0 + 0.2212084409459079*x_1 - 1.2197547662261821) + 0.5340003128724766
