	index	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	data_version	system	snr	init
18	12725	49	338	1.4794026377824676	1.4368142124959815	-0.025*x1*(-1.049*x1 + x2)*(x1 + 2.384) - 9.623*x1 + 9.623*x2 - 24.089/x3	(1.522 - 0.691*x1)*(x3 - 25.457) + 6.322	x2*(0.08*x1**2 + 0.691*x2 - 0.423*x3 - 0.72)	12725	dso	all	lorenz	30	1
17	3518	34	258	1.5415846640159514	1.5213316827125982	-6.872*x1 + 6.82*x2 + 0.584	(1.522 - 0.691*x1)*(x3 - 25.457) + 6.322	x2*(0.08*x1**2 + 0.691*x2 - 0.423*x3 - 0.72)	3518	dso	all	lorenz	30	1
10	1007	33	234	1.5531940203712367	1.5371356773025409	-6.823*x1 + 6.823*x2	(1.522 - 0.691*x1)*(x3 - 25.457) + 6.322	x2*(0.08*x1**2 + 0.691*x2 - 0.423*x3 - 0.72)	1007	dso	all	lorenz	30	1
16	3491	32	235	1.7917318566903258	1.7760237167596915	-6.872*x1 + 6.82*x2 + 0.584	(1.342 - 0.728*x1)*(x3 - 26.662)	x2*(0.08*x1**2 + 0.691*x2 - 0.423*x3 - 0.72)	3491	dso	all	lorenz	30	1
7	980	31	211	1.8447172429044851	1.8353419060235043	-6.823*x1 + 6.823*x2	(1.342 - 0.728*x1)*(x3 - 26.662)	x2*(0.08*x1**2 + 0.691*x2 - 0.423*x3 - 0.72)	980	dso	all	lorenz	30	1
12	1083	30	187	2.050435057176544	2.0327269653124125	-6.823*x1 + 6.823*x2	-0.456*x1*(x3 - 15.702 - 148.38/x3) + 21.533	0.365*x2**2 - x3 - 0.665	1083	dso	all	lorenz	30	1
11	1082	29	164	2.058378661315408	2.041360843942365	-6.823*x1 + 6.823*x2	-0.456*x1*(x3 - 15.702 - 148.38/x3) + 21.533	0.361*x2**2 - x3	1082	dso	all	lorenz	30	1
9	1002	28	184	2.1810413391242407	2.1797933340330014	-6.823*x1 + 6.823*x2	(1.522 - 0.691*x1)*(x3 - 25.457) + 6.322	0.365*x2**2 - x3 - 0.665	1002	dso	all	lorenz	30	1
8	1001	27	161	2.1925825997201547	2.1909238826745323	-6.823*x1 + 6.823*x2	(1.522 - 0.691*x1)*(x3 - 25.457) + 6.322	0.361*x2**2 - x3	1001	dso	all	lorenz	30	1
15	3459	26	164	2.7076238232768635	2.7186576931082636	-6.872*x1 + 6.82*x2 + 0.584	0.766*x1*(26.82 - x3)	0.365*x2**2 - x3 - 0.665	3459	dso	all	lorenz	30	1
14	3432	25	163	2.7076240140804964	2.7186578740934495	-6.872*x1 + 6.82*x2 + 0.584	x1*(20.551 - 0.766*x3)	0.365*x2**2 - x3 - 0.665	3432	dso	all	lorenz	30	1
6	921	24	139	2.736077436256827	2.747109725014744	-6.823*x1 + 6.823*x2	x1*(20.551 - 0.766*x3)	0.365*x2**2 - x3 - 0.665	921	dso	all	lorenz	30	1
5	920	23	116	2.767553778422607	2.7792655744083845	-6.823*x1 + 6.823*x2	x1*(20.551 - 0.766*x3)	0.361*x2**2 - x3	920	dso	all	lorenz	30	1
2	84	22	105	3.5624486703672273	3.5816886312262755	-x1 + x2	x1*(20.551 - 0.766*x3)	0.365*x2**2 - x3 - 0.665	84	dso	all	lorenz	30	1
1	83	21	82	3.601624863326762	3.621859183574095	-x1 + x2	x1*(20.551 - 0.766*x3)	0.361*x2**2 - x3	83	dso	all	lorenz	30	1
13	3349	20	87	10.501159515204609	10.589627356697935	-6.872*x1 + 6.82*x2 + 0.584	-x1 + x2	x2*(-x1 + x2)	3349	dso	all	lorenz	30	1
4	838	19	63	10.933394436712577	11.044014546114516	-6.823*x1 + 6.823*x2	-x1 + x2	x2*(-x1 + x2)	838	dso	all	lorenz	30	1
3	837	17	72	18.82067396699704	19.106991505314667	-6.823*x1 + 6.823*x2	-x1 + x2	9.586 - x2	837	dso	all	lorenz	30	1
0	0	15	38	33.203918842213774	33.7265791871656	-x1 + x2	-x1 + x2	9.586 - x2	0	dso	all	lorenz	30	1
