	index	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	data_version	system	snr	init
6	2303	37	163	2.3769919948516045	2.3769919948516045	(x1 - x2)*(0.028*x1**2 - 10.489)	(4596.275 - 183.914*x3)/(x1 + 154.559/x1) + 7.824	x1*x2 - 2*x3	2303	dso	all	lorenz	inf	2
3	783	34	154	2.4305305976601868	2.4305305976601868	-8.006*x1 + 8.006*x2	-x1 + (4274.65 - 162.651*x3)/(x1 + 133.405/x1) + 7.32	x1*x2 - 2*x3	783	dso	all	lorenz	inf	2
5	1243	29	157	2.600884565202974	2.600884565202974	-8.023*x1 + 8.006*x2	x1*(0.002*x1**2*(x3 - 32.52) - 0.917*x3 + 25.287)	x1*x2 - 2*x3	1243	dso	all	lorenz	inf	2
4	1069	26	96	2.6273267784112226	2.6273267784112226	-8.023*x1 + 8.006*x2	x1*(27.357 - x3)	x1/2 + x2**2/2 - 3*x3/2	1069	dso	all	lorenz	inf	2
2	583	21	102	2.6458247890641466	2.6458247890641466	-8.006*x1 + 8.006*x2	x1*(18.596 - 0.696*x3)	x1*x2 - 2*x3	583	dso	all	lorenz	inf	2
1	521	17	55	5.696777766523024	5.696777766523024	-8.006*x1 + 8.006*x2	-x1 + x2	x1/x2	521	dso	all	lorenz	inf	2
0	0	15	24	6.0251967294441915	6.0251967294441915	-x1 + x2	-x1 + x2	-x1 + x2	0	dso	all	lorenz	inf	2
