  index    complexity    length       TE    TE_inf  expr_x                                                                         expr_y                                                                        expr_z                                                 index_column  method    data_version    system      snr    init
   9697            59       385  2.39479   2.40899  -0.006*x1*(-5.482*x1 + x2)*(0.936*x1 - x2) - 10.18*x1 + 10.383*x2 - 27.426/x3  x1*(x3 - 26.82)*(0.001*x2*(x2 + 6.401) + 0.001*x3 - 0.945)                    x1*(0.664*x1 - 0.024*x2*x3 + x2) - 2.998*x3 + 8.146            9697  dso       all             lorenz       30       2
   4243            46       265  2.50798   2.50822  (10.38 - 0.081*x3)*(-x1 + x2)                                                  x1*(-0.045*x1 - 0.045*x2*(-1.29*x1 + x2) - 0.865*x3 + 22.941)                 -20.671*x1*(x1 + x2)/(-x3 - 19.487) - 2.365*x3                 4243  dso       all             lorenz       30       2
   4245            45       289  2.585     2.5799   (10.38 - 0.081*x3)*(-x1 + x2)                                                  x1*(-0.045*x1 - 0.045*x2*(-1.29*x1 + x2) - 0.865*x3 + 22.941)                 x1*(0.664*x1 - 0.024*x2*x3 + x2) - 2.998*x3 + 8.146            4245  dso       all             lorenz       30       2
   1954            44       297  2.68543   2.68715  -8.047*x1 + 8.047*x2                                                           x1*(0.183*x1*(x1 + 3.179)*(0.442*x3 - 12.97)/x3 - 1.07*x3 + 29.38)            x1*(0.664*x1 - 0.024*x2*x3 + x2) - 2.998*x3 + 8.146            1954  dso       all             lorenz       30       2
   5919            42       278  2.73942   2.74035  (10.383 - 0.027*x1**2)*(-x1 + x2 - 0.062)                                      x1*(0.002*x2*(x1 + 1.841)*(x3 - 32.938) + 0.053*x2 - 0.894*x3 + 23.932) + x2  0.53*x2**2 - 41.348                                            5919  dso       all             lorenz       30       2
   5136            41       257  2.74466   2.74547  (10.379 - 0.027*x1**2)*(-x1 + x2)                                              x1*(0.002*x2*(x1 + 1.841)*(x3 - 32.938) + 0.053*x2 - 0.894*x3 + 23.932) + x2  0.53*x2**2 - 41.348                                            5136  dso       all             lorenz       30       2
   3514            38       267  2.74801   2.75045  -8.049*x1 + 8.049*x2 - 0.304                                                   x1*(0.183*x1*(x1 + 3.179)*(0.442*x3 - 12.97)/x3 - 1.07*x3 + 29.38)            x1**2 + x2 - 5.58*x3 + 68.483                                  3514  dso       all             lorenz       30       2
   1165            37       243  2.75007   2.75279  -8.047*x1 + 8.047*x2                                                           x1*(0.183*x1*(x1 + 3.179)*(0.442*x3 - 12.97)/x3 - 1.07*x3 + 29.38)            x1**2 + x2 - 5.58*x3 + 68.483                                  1165  dso       all             lorenz       30       2
   1975            35       241  2.82819   2.83055  -8.047*x1 + 8.047*x2                                                           x1*(0.002*x2*(x1 + 1.84)*(x3 - 32.939) + 0.053*x2 - 0.894*x3 + 23.932) + x2   0.53*x2**2 - 41.348                                            1975  dso       all             lorenz       30       2
   1107            34       225  2.89623   2.90812  -8.047*x1 + 8.047*x2                                                           x1*(-0.045*x1 - 0.045*x2*(-1.29*x1 + x2) - 0.865*x3 + 22.941)                 x1**2 + x2 - 5.58*x3 + 68.483                                  1107  dso       all             lorenz       30       2
   1917            32       234  2.92455   2.92267  -8.047*x1 + 8.047*x2                                                           0.044*x1*(21.066*x1*x2*(0.002*x3 - 0.071) + x1 - 21.066*x3 + 578.978)         0.53*x2**2 - 41.348                                            1917  dso       all             lorenz       30       2
   4761            29       160  3.26026   3.25572  (10.379 - 0.027*x1**2)*(-x1 + x2)                                              x1*(18.138 - 0.68*x3)                                                         x1**2 + x2 - 5.58*x3 + 68.483                                  4761  dso       all             lorenz       30       2
   3978            27       156  3.98446   3.992    (10.38 - 0.081*x3)*(-x1 + x2)                                                  x1*(18.138 - 0.68*x3)                                                         x1**2 + x2 - 5.58*x3 + 68.483                                  3978  dso       all             lorenz       30       2
   3195            24       168  4.00971   4.01215  -8.049*x1 + 8.049*x2 - 0.304                                                   x1*(18.138 - 0.68*x3)                                                         x1**2 + x2 - 5.58*x3 + 68.483                                  3195  dso       all             lorenz       30       2
    846            23       144  4.01774   4.01885  -8.047*x1 + 8.047*x2                                                           x1*(18.138 - 0.68*x3)                                                         x1**2 + x2 - 5.58*x3 + 68.483                                   846  dso       all             lorenz       30       2
      4            18        64  4.28409   4.28356  -x1 + x2                                                                       -x1 + x2                                                                      x1**2 - 5.437*x3 + 70.617                                         4  dso       all             lorenz       30       2
      0            15        24  5.38288   5.38716  -x1 + x2                                                                       -x1 + x2                                                                      -x1 + x2                                                          0  dso       all             lorenz       30       2
