  index    complexity    length            TE        TE_inf  expr_x                              expr_y    expr_z               index_column  method    data_version    system      snr    init
    884            22        92   4.19755       4.19755      -6.772*x1 + 6.772*x2 + x3 - 26.419  -x1 + x2  x1*x2 + x2 - 3*x3             884  dso       all             lorenz      inf       0
    883            21        87   4.35746       4.35746      -6.772*x1 + 6.772*x2 + x3 - 26.419  -x1 + x2  x1*x2 - 3*x3                  883  dso       all             lorenz      inf       0
    663            19        63   9.30837       9.30837      -7.813*x1 + 7.827*x2                -x1 + x2  x1*x2 - 3*x3                  663  dso       all             lorenz      inf       0
    660            17        58  10.0217       10.0217       -7.813*x1 + 7.827*x2                -x1 + x2  x1 - x2                       660  dso       all             lorenz      inf       0
      0            13        37   8.74346e+06   8.74346e+06  x3 - 25.603                         -x1 + x2  x1 - x2                         0  dso       all             lorenz      inf       0
