  index    complexity    length        TE    TE_inf  expr_x                                                                     expr_y                                        expr_z                                          index_column  method    data_version    system      snr    init
  12725            49       338   1.4794    1.43681  -0.025*x1*(-1.049*x1 + x2)*(x1 + 2.384) - 9.623*x1 + 9.623*x2 - 24.089/x3  (1.522 - 0.691*x1)*(x3 - 25.457) + 6.322      x2*(0.08*x1**2 + 0.691*x2 - 0.423*x3 - 0.72)           12725  dso       all             lorenz       30       1
   3518            34       258   1.54158   1.52133  -6.872*x1 + 6.82*x2 + 0.584                                                (1.522 - 0.691*x1)*(x3 - 25.457) + 6.322      x2*(0.08*x1**2 + 0.691*x2 - 0.423*x3 - 0.72)            3518  dso       all             lorenz       30       1
   1007            33       234   1.55319   1.53714  -6.823*x1 + 6.823*x2                                                       (1.522 - 0.691*x1)*(x3 - 25.457) + 6.322      x2*(0.08*x1**2 + 0.691*x2 - 0.423*x3 - 0.72)            1007  dso       all             lorenz       30       1
   3491            32       235   1.79173   1.77602  -6.872*x1 + 6.82*x2 + 0.584                                                (1.342 - 0.728*x1)*(x3 - 26.662)              x2*(0.08*x1**2 + 0.691*x2 - 0.423*x3 - 0.72)            3491  dso       all             lorenz       30       1
    980            31       211   1.84472   1.83534  -6.823*x1 + 6.823*x2                                                       (1.342 - 0.728*x1)*(x3 - 26.662)              x2*(0.08*x1**2 + 0.691*x2 - 0.423*x3 - 0.72)             980  dso       all             lorenz       30       1
   1083            30       187   2.05044   2.03273  -6.823*x1 + 6.823*x2                                                       -0.456*x1*(x3 - 15.702 - 148.38/x3) + 21.533  0.365*x2**2 - x3 - 0.665                                1083  dso       all             lorenz       30       1
   1082            29       164   2.05838   2.04136  -6.823*x1 + 6.823*x2                                                       -0.456*x1*(x3 - 15.702 - 148.38/x3) + 21.533  0.361*x2**2 - x3                                        1082  dso       all             lorenz       30       1
   1002            28       184   2.18104   2.17979  -6.823*x1 + 6.823*x2                                                       (1.522 - 0.691*x1)*(x3 - 25.457) + 6.322      0.365*x2**2 - x3 - 0.665                                1002  dso       all             lorenz       30       1
   1001            27       161   2.19258   2.19092  -6.823*x1 + 6.823*x2                                                       (1.522 - 0.691*x1)*(x3 - 25.457) + 6.322      0.361*x2**2 - x3                                        1001  dso       all             lorenz       30       1
   3459            26       164   2.70762   2.71866  -6.872*x1 + 6.82*x2 + 0.584                                                0.766*x1*(26.82 - x3)                         0.365*x2**2 - x3 - 0.665                                3459  dso       all             lorenz       30       1
   3432            25       163   2.70762   2.71866  -6.872*x1 + 6.82*x2 + 0.584                                                x1*(20.551 - 0.766*x3)                        0.365*x2**2 - x3 - 0.665                                3432  dso       all             lorenz       30       1
    921            24       139   2.73608   2.74711  -6.823*x1 + 6.823*x2                                                       x1*(20.551 - 0.766*x3)                        0.365*x2**2 - x3 - 0.665                                 921  dso       all             lorenz       30       1
    920            23       116   2.76755   2.77927  -6.823*x1 + 6.823*x2                                                       x1*(20.551 - 0.766*x3)                        0.361*x2**2 - x3                                         920  dso       all             lorenz       30       1
     84            22       105   3.56245   3.58169  -x1 + x2                                                                   x1*(20.551 - 0.766*x3)                        0.365*x2**2 - x3 - 0.665                                  84  dso       all             lorenz       30       1
     83            21        82   3.60162   3.62186  -x1 + x2                                                                   x1*(20.551 - 0.766*x3)                        0.361*x2**2 - x3                                          83  dso       all             lorenz       30       1
   3349            20        87  10.5012   10.5896   -6.872*x1 + 6.82*x2 + 0.584                                                -x1 + x2                                      x2*(-x1 + x2)                                           3349  dso       all             lorenz       30       1
    838            19        63  10.9334   11.044    -6.823*x1 + 6.823*x2                                                       -x1 + x2                                      x2*(-x1 + x2)                                            838  dso       all             lorenz       30       1
    837            17        72  18.8207   19.107    -6.823*x1 + 6.823*x2                                                       -x1 + x2                                      9.586 - x2                                               837  dso       all             lorenz       30       1
      0            15        38  33.2039   33.7266   -x1 + x2                                                                   -x1 + x2                                      9.586 - x2                                                 0  dso       all             lorenz       30       1
