	index	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	data_version	system	snr	init
5	3414	30	191	1.3435913693134882	1.294702430947475	-6.248*x1 + 6.248*x2 + x3 - 26.397	x1*(-17.914 + 584.189/(x3 + 12.831)) + x3	0.713*x1*x2 - 1.873*x3	3414	dso	all	lorenz	30	3
4	2608	28	165	1.6293967159750302	1.5999079195343655	-6.894*x1 + 6.961*x2	x1*(-17.914 + 584.189/(x3 + 12.831)) + x3	0.713*x1*x2 - 1.873*x3	2608	dso	all	lorenz	30	3
2	994	26	163	1.8494040556748486	1.839495481457189	-6.957*x1 + 6.957*x2	x1*(-17.914 + 584.189/(x3 + 12.831)) + x3	0.399*x2*(x1 - 8.409)	994	dso	all	lorenz	30	3
3	2515	21	138	3.2690477191422334	3.293359126033657	-6.894*x1 + 6.961*x2	-0.548*x1*(x3 - 26.796)	0.713*x1*x2 - 1.873*x3	2515	dso	all	lorenz	30	3
1	2	14	77	6.673469250659728	6.682560148976771	-x1 + x2	x3 - 26.186	0.399*x2*(x1 - 8.409)	2	dso	all	lorenz	30	3
0	0	13	54	12.54651783504113	12.546144299313845	-x1 + x2	x3 - 26.186	10.258 - x2	0	dso	all	lorenz	30	3
