	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	6	8	5.296874988582368	7.500886366565865	0.029*x	0.422*x	0	proged	numdif	all	bacres	13	1
1	7	10	5.267734308829667	7.4624561775243965	0.029*x	0.012*x*y	1	proged	numdif	all	bacres	13	1
2	10	18	5.228196890115408	7.410228506760226	0.029*x	0.844*y*cos(14.096*y)	2	proged	numdif	all	bacres	13	1
3	11	19	5.083758906103196	7.18195732987445	16.578*sin(8.642*x**2)	0.422*x	3	proged	numdif	all	bacres	13	1
4	12	21	5.083429877450491	7.181517438263894	16.578*sin(8.642*x**2)	0.012*x*y	4	proged	numdif	all	bacres	13	1
