t,x,y
0.0,2.712827183104058,1.3935124669326864
0.1,2.6781432272699424,1.4939466992623265
0.2,2.6498289579312693,1.593877067295229
0.30000000000000004,2.6158494659902627,1.6927105786618857
0.4,2.5739116314635586,1.7901471906802076
0.5,2.533210138479873,1.8864157525085974
0.6000000000000001,2.502605463304984,1.9821227660377725
0.7000000000000001,2.480728872524954,2.0779103006185844
0.8,2.4579474932266008,2.1741701498682198
0.9,2.4273857968808783,2.2709622550772353
1.0,2.3928399860372043,2.3681537112034796
1.1,2.3639123405368547,2.4656611716482115
1.2000000000000002,2.3445005208702696,2.5636179160120145
1.3,2.328377086837906,2.662353020679405
1.4000000000000001,2.3065786743358805,2.7622009542789088
1.5,2.27834383414648,2.8632583774799465
1.6,2.252055671890676,2.965238933044351
1.7000000000000002,2.2343924207482044,3.0675335648769044
1.8,2.221828855404491,3.169453014354057
1.9000000000000001,2.2053883732003383,3.270494006099036
2.0,2.1822178715020577,3.3704680293207687
2.1,2.1587352995399662,3.469457957613629
2.2,2.14207290788446,3.5676813862593058
2.3000000000000003,2.1315977082435045,3.6653583706844346
2.4000000000000004,2.1200625616959905,3.7626393510393945
2.5,2.102314977697325,3.859601499091605
2.6,2.0812822206935175,3.9562916196390114
2.7,2.0641307201036962,4.052783546622421
2.8000000000000003,2.053782878822566,4.149221993984741
2.9000000000000004,2.0457557320059108,4.245835653145681
3.0,2.033423816974268,4.342914797123889
3.1,2.0158048911834374,4.440759254755327
3.2,1.9986996609686118,4.5396102821584705
3.3000000000000003,1.9876223850001595,4.6395844385668745
3.4000000000000004,1.9810779428748289,4.740628034311491
3.5,1.972301170914749,4.842506684431053
3.6,1.9578305781769019,4.944836027144868
3.7,1.9420309229242658,5.047148161366305
3.8000000000000003,1.9311948979477696,5.148977350140261
3.9000000000000004,1.9254415496190835,5.249941646114614
4.0,1.91886407112531,5.349798830156151
4.1000000000000005,1.907124769406757,5.4484665892702715
4.2,1.892673299352463,5.546011458974314
4.3,1.8813241804405334,5.64261997731841
4.4,1.8752800141161179,5.738564824948174
4.5,1.8708631586612798,5.83417217959996
4.6000000000000005,1.8628626151192187,5.929790870941345
4.7,1.850534914399157,6.025762150224528
4.800000000000001,1.8383947896035109,6.122390240316494
4.9,1.8308781885132206,6.219915655142492
5.0,1.827171077273594,6.318493241372894
5.1000000000000005,1.8220842770524608,6.418175835009351
5.2,1.812317075308342,6.518904501404525
5.300000000000001,1.800703984262387,6.620508197572771
5.4,1.792598720028763,6.722717476094856
5.5,1.7889885430379318,6.8251946461553565
5.6000000000000005,1.7852620356997078,6.92757642343797
5.7,1.7772199470784225,7.02951977857971
5.800000000000001,1.7665303197827418,7.130741708861738
5.9,1.7583228823528694,7.231048054033892
6.0,1.754592311468183,7.330350182669902
6.1000000000000005,1.7519718322516893,7.4286690949206315
6.2,1.7460142444023106,7.526126961869262
6.300000000000001,1.736549465510017,7.622928113494186
6.4,1.727679188584282,7.719333855446018
6.5,1.7227994242320863,7.815635874577917
6.6000000000000005,1.720761074907527,7.9121306160111535
6.7,1.7172484965553747,8.00909432163139
6.800000000000001,1.7098223057082298,8.106757826492366
6.9,1.7008755786147782,8.205282046459718
7.0,1.6947365848166698,8.304737834868499
7.1000000000000005,1.6923978238474433,8.40509477626727
7.2,1.6902493652356172,8.50622172085768
7.300000000000001,1.6845390633652895,8.607899407433605
7.4,1.6762347484751086,8.709844152875
7.5,1.6697325006902615,8.811741185206087
7.6000000000000005,1.6671253191094568,8.9132845162015
7.7,1.6656296709922782,9.014216752383154
7.800000000000001,1.6612178607807322,9.114360515526256
7.9,1.6537280007856487,9.213635773745667
8.0,1.6468859605223392,9.312062746254453
8.1,1.6435709889874237,9.40975389244904
8.200000000000001,1.6424827740954788,9.506898460466779
8.3,1.6398076626021945,9.603741306846393
8.4,1.6337479435294935,9.700556941638592
8.5,1.6266200022610995,9.797620541932186
8.6,1.622028835711281,9.895178850575215
8.700000000000001,1.620616053379543,9.993423773329704
8.8,1.6192888175649582,10.092470405626822
8.9,1.614897050634494,10.192340934475325
9.0,1.6081875027978365,10.292957049361224
9.1,1.602892552112449,10.39414499472238
9.200000000000001,1.6009853259582283,10.49565635255462
9.3,1.6001989806691408,10.597202796721719
9.4,1.596919043743693,10.698497554163671
9.5,1.5908458935961642,10.79929421290198
9.600000000000001,1.5852872734071923,10.899415884176673
9.700000000000001,1.5828556511321343,10.998771766647772
9.8,1.5823292190028162,11.097360673748422
9.9,1.5802661991396088,11.195262380311798
