t,x,y
0.0,-1.40163422326322,-1.42574462518204
0.1,-1.403536169357906,-1.4362419150539547
0.2,-1.4053598867962567,-1.4466188132089588
0.30000000000000004,-1.4071041328792266,-1.456891217440028
0.4,-1.4087675415859573,-1.4670744560201352
0.5,-1.410348615753162,-1.4771833789100386
0.6000000000000001,-1.4118457183649253,-1.4872324433344088
0.7000000000000001,-1.4132570628524788,-1.497235794822537
0.8,-1.4145807022781756,-1.5072073446446994
0.9,-1.415814517270191,-1.5171608445502314
1.0,-1.4169562025431461,-1.5271099596687645
1.1,-1.418003251828248,-1.5370683403324892
1.2000000000000002,-1.4189529409960369,-1.5470496936298352
1.3,-1.4198023091267509,-1.5570678554500506
1.4000000000000001,-1.4205481372431317,-1.5671368637851233
1.5,-1.4211869243715798,-1.5772710340814935
1.6,-1.421714860541373,-1.5874850374611338
1.7000000000000002,-1.4221277962613186,-1.597793982678381
1.8,-1.4224212079366432,-1.6082135027375342
1.9000000000000001,-1.4225901585850627,-1.618759847175488
2.0,-1.4226292530952735,-1.6294499811075325
2.1,-1.4225325871248533,-1.640301692250384
2.2,-1.4222936885593305,-1.6513337072734438
2.3000000000000003,-1.4219054502343422,-1.6625658189949808
2.4000000000000004,-1.4213600523572356,-1.6740190261309418
2.5,-1.420648872746084,-1.6857156875202222
2.6,-1.4197623825662504,-1.6976796930319307
2.7,-1.418690024758039,-1.709936653643416
2.8000000000000003,-1.417420071688784,-1.7225141135381246
2.9000000000000004,-1.4159394577501634,-1.735441787471505
3.0,-1.414233581558392,-1.748751827120102
3.1,-1.4122860711417684,-1.7624791206199617
3.2,-1.4100785036869572,-1.776661630118852
3.3000000000000003,-1.407590069262999,-1.7913407727612662
3.4000000000000004,-1.4047971649716036,-1.8065618512223467
3.5,-1.4016729021126515,-1.8223745405917393
3.6,-1.3981865038466081,-1.838833439060047
3.7,-1.3943025639318598,-1.8559986903993355
3.8000000000000003,-1.3899801278069048,-1.873936686490963
3.9000000000000004,-1.3851715445714254,-1.8927208579077193
4.0,-1.379821020868874,-1.9124325594034841
4.1000000000000005,-1.3738627832627686,-1.9331620544745307
4.2,-1.3672187212384819,-1.9550095978929325
4.3,-1.359795334006504,-1.9780866056435138
4.4,-1.3514797337209898,-2.0025168853474553
4.5,-1.342134355061052,-2.0284378727596604
4.6000000000000005,-1.3315898698576774,-2.056001774295727
4.7,-1.3196355803079989,-2.0853764404577855
4.800000000000001,-1.3060062258437852,-2.116745671952049
4.9,-1.290363625769514,-2.150308458821273
5.0,-1.2722707989415747,-2.18627632317369
5.1000000000000005,-1.2511550155850735,-2.2248673967365233
5.2,-1.2262544592126845,-2.266294984587747
5.300000000000001,-1.1965406128228508,-2.3107469422988935
5.4,-1.1606051158778237,-2.358349931618244
5.5,-1.1164964814328175,-2.4091091710924863
5.6000000000000005,-1.0614923304886272,-2.4628095041439244
5.7,-0.9918083749760221,-2.51885840864819
5.800000000000001,-0.9023078226432738,-2.576050698858621
5.9,-0.7864521717843783,-2.632253002631173
6.0,-0.6371091329997943,-2.68407795348391
6.1000000000000005,-0.4492639395072313,-2.726788004229499
6.2,-0.2251370488022039,-2.754887829901382
6.300000000000001,0.021064321780917328,-2.763758989381145
6.4,0.2653054002003403,-2.7517500672993322
6.5,0.4845020554385277,-2.7210723230892833
6.6000000000000005,0.666379011827833,-2.676617879833957
6.7,0.8101986926787145,-2.623846411847531
6.800000000000001,0.9215766708904696,-2.5673047776436113
6.9,1.0076694361264602,-2.510172966564321
7.0,1.0748225508129547,-2.4544203605738995
7.1000000000000005,1.1279530083262164,-2.401140001457136
7.2,1.1706631381877344,-2.350853711786669
7.300000000000001,1.2055404820173172,-2.3037345033108436
7.4,1.2344408587620284,-2.259753325740568
7.5,1.258705689471753,-2.2187709689755284
7.6000000000000005,1.2793166237037856,-2.1805937930583803
7.7,1.2970023992861974,-2.1450066606823897
7.800000000000001,1.3123121239862705,-2.111791842291091
7.9,1.325665682534385,-2.0807394159946835
8.0,1.3373887083230347,-2.051652572284686
8.1,1.3477371247305063,-2.0243499089785835
8.200000000000001,1.3569145872564985,-1.9986659848881065
8.3,1.365085044090156,-1.9744509002603374
8.4,1.3723819003738271,-1.9515693661655282
8.5,1.3789147901240197,-1.929899538109027
8.6,1.3847746418447484,-1.9093317749860266
8.700000000000001,1.3900375121050341,-1.8897674148866344
8.8,1.3947675188748039,-1.8711176169990176
8.9,1.3990191094916866,-1.8533022934264805
9.0,1.402838831456565,-1.8362491396704772
9.1,1.4062667278579244,-1.8198927638432596
9.200000000000001,1.4093374465822563,-1.8041739098966951
9.3,1.4120811292448887,-1.7890387677508273
9.4,1.4145241290831254,-1.7744383622270357
9.5,1.4166895949311387,-1.7603280125433676
9.600000000000001,1.418597949508218,-1.7466668544485509
9.700000000000001,1.420267283673874,-1.733417417631474
9.8,1.4217136833898485,-1.7205452517084854
9.9,1.422951502434508,-1.7080185947824917
