shearflow_all_len100_snrinf_init0_obsxy,shearflow_all_len100_snr30_init0_obsxy,shearflow_all_len100_snr13_init0_obsxy,shearflow_all_len100_snrinf_init1_obsxy,shearflow_all_len100_snr30_init1_obsxy,shearflow_all_len100_snr13_init1_obsxy,shearflow_all_len100_snrinf_init2_obsxy,shearflow_all_len100_snr30_init2_obsxy,shearflow_all_len100_snr13_init2_obsxy,shearflow_all_len100_snrinf_init3_obsxy,shearflow_all_len100_snr30_init3_obsxy,shearflow_all_len100_snr13_init3_obsxy
43.42534112930298,60.767608880996704,42.196011543273926,24.421054124832153,34.04206848144531,28.72515344619751,25.080081701278687,16.85116934776306,20.906893253326416,12.481485605239868,21.405076265335083,20.109538316726685
inf,inf,,0.5374587126526007,,,0.32743417019132787,2.422514612041841,,0.130768328282583,inf,
(0.00283 - 0.050365978158362039*exp(-4.99/(-0.65789453168880486*x_1 - 2.758053271216607 + 1.33551552118905e-6*exp(-3.3811322663373102*(1 - 0.0006129870129870129/(156.35675233643023*x_1 + 381.2175306917391))**3*(0.019092587910375387*x_0 - 1)**3))))*(0.19167230295522322*x_1 + 0.300397446549254),(8.230387343245746e-9*tan(0.03051216393498938 - 9.519235934556738/(0.017740270621415926*x_0 + 0.0079615097304458949)) + 0.003269326027132183)*(-4.459599334369544*x_0 - 102.20633448872708*x_1 - 127.92527036590359),2.4924631118243316e-8*tan(8.877537830812075*cos(0.6419642795404272*x_0 + 0.76380471860343999*x_1 + 2.9789512402058513) + 0.08520608968457755) + 0.3765097197056917,(0.04026956035426883 - 0.02559420441267476*x_1)*(0.01075344852019319*x_0 + (0.39128498092683409 - 0.2275040392237757*x_1)*(281.5362485394224*x_1 - 409.9661638969572) - 15.2571088400654),-4.884629104675783e-7*tan((97.47763124338627 - 3.7207455645848822*(0.67641988031116392*x_1 - 1)**3)*(-173.37896125736494*x_0 - 691.6237843114879)) - 0.09211949830460764,(0.00010474012267120992 - 3.4827199865352828e-9*sin(24.783075800429053*Abs(3671266.037495807*(-0.2126252987943995*x_0 - 1)**2 + 91.49048939159943) + 13.5981285420975))*(1.4844144952445026 - 0.00012016724719267314*sin(57.47828543714012*x_1 - 181.82192317700627))*(-0.11091457034405625*x_0 - 3.9103347612168795)*(-0.059587550659684727*x_0 - 0.074526252333847783*x_1 + 33.334858375847632*(0.0289244747458594*x_0 - 1)**2 + 27.555462819643087),(-0.41200000000000003 - 7.5200000000000005/(-5.19*cos(0.015852354775610328*x_0 + 1.769032782140102*x_1 + 9.4325690807680039) - 5.1000000000000005))*(13.115243040004206*x_1 + 20.705984240874682)*(0.0089572889762233692*sqrt(0.022811221555185266*x_1 + 1) - 0.021),(0.012567542092745295*x_0 + 0.02461659332345634)*(-78.79609748153764*x_1 - 4.15546605074371*(0.702390479352882*x_1 + 1)**2 + 80.7*cos(96.892235308915131*x_0 + 0.00084938996602956455*(0.094419172949635257*x_0 + 1)**2 + 129.4250670343704) - 133.90775275333043),7.334570285845968*tan(0.51986720406459198*x_1 + 2.09473279540412*sqrt(Abs(451.75910148365537*sqrt((0.0021320656891288626*x_0 + 0.02578095465654675*x_1 + 0.25276699994372505*sin(0.5887721751505612*(0.010310003966877771*x_0 + 1)**2 - 9.237798825948381) - 1)**2 + 9.3069656668832656e-8) + 4.6039336539062156 + 2.205639556159357e-5/(-0.0014497368240310153*x_0 - 0.00087840911753469435)) - 0.0001477663853121937) + 1.7255431110227317) - 0.05933792131846249,(-1.2581371943117886*x_1 - 1.9753069814185311)*(0.029526862239237119*sqrt(0.41642150302816359*x_1 + 1) + 0.004)*(cos(0.093581442738810163*x_1 - (4.099092897883173*x_0 - 13.755781484344476)*(9.0825523170317687*x_1 + 13.740630399192823) + 53.041049119284558) - 32.5),(3.674701386107367e-6*cos(157.53003736142631*x_0 - 530.67801259252164) - 0.0019375932034247465)*(3.5317986390960545*x_0 + (3.1096962011333655*tan(313.73903083161443*x_1 + 481.82410573307115) - 0.7296482039630506)*(0.090223986394338543*(-0.050012814656815139*x_0 - 1)**2 + (-13.170558482989437*x_1 - 8.9037251506497005)*(-0.0008980371275261039*arctan(33.294698455805684*x_1 + 46.638980943321062) - 0.009270768340996023) - 0.031566915327651116) - 42.638636283477674),-0.023340193890928132 + 0.017794048849664235/(-6.256492940467701 - 0.051908784502232755/((0.021128190287965018 + 0.6658483737501436/(69.10994870810586 - 2.5240241494364454*x_1))*(63.94538895298679*sqrt(0.041247029542490452*x_0 + 1) + 1.6158915779178917)*(4.9630455728163036*x_1 - 11.323988704783437*tan(99.08818847999373*x_1 + 145.9301044228678) + 8.381784036076775 + 11.308235800488312/(2.5351497323568185*x_0 - 13.425592293625341))))
(5.0265424482026508e-6 - 0.00251077127991794*x_0)*(170.88169654254671*x_1 + (-0.85440848271273351*x_1 - 1.66303022235923)*(237.52555819413994*x_1 + 462.6104018158661) + 268.8060444718461),(-1.1655205479639921e-5 - 1.7289980413517637e-5/(0.004943673970944008 - 35.29055354453462*sin(91.55512756539234*arctan(11.546413362071675*x_1 + 22.030384412139704) + 5.501421593870785)))*(-0.39390474014108334*Abs(8.56669286479472*sin(6.6534272769556706*(-0.33537082035744184*x_1 - 1)**2 - 0.2691149071256595) - 0.01289808643856695) - 5.38867973456708)*(34.19364194072498*x_0 + 9.3820995506684906 - 0.38875793889628987*exp(-0.0030896840150959885*x_0)),-0.11349514952587557 + 43.724862384813974/((2.8562227325494667 - 25.002055943322134/(3.270956852861797e-6*cos(81.146836267719694*x_0 + 29.784059581494016) + 0.00015667353214930072))*(-3.617147415687518*(x_0 - 0.078076149679319349*x_1 + 0.18834803493977942)**2 - 18.725966842792264)),(0.02*cos(2.150689704038638*x_0 + 8.47823198692064) + 0.001)*(0.05*Abs(207.8818158407251*x_1 - 328.2116513218947) + 5.2),3.307153478962835e-5*sin(0.18896932294068775*tan(18.596357741999432*x_0 - 25.43460215694385*x_1 + 109.231823609732) + 0.09782261690076566) + 0.10673851749239163,-1.8345587520107431*arctan(-6.355638561600676e-9*tan(0.13214882870251783*x_0 - 2195.0905462094019*(0.12973956068005185*x_1 - 1)**2 - 10.69711113330485*(Abs(19.903367433066326*x_1 + 45.574084503400094*sqrt(1 - 0.042997789517429456*x_1) - 29.304546018306227) + 0.05381496434192356)**2 + 9.6899646494120121) - 0.22793333840928073) - 0.34133100503066366,-0.7220000000000001*sin((-0.19920065663121747*x_0 - 0.06233163045644148)*(-0.01550082420508465*x_0 - 3.149635217630476)*(-11.53639025269864*x_1 - 19.160120200933542)*(0.1548352222096256*x_1 + 0.22775780300786388)) - 0.11,(-27.73810442956452 - 0.42681256299654763/(-2.4067942600355767e-7*x_0 - 0.015387141874751882))*(7.795256113781602 - sin(9.8001512903738518*x_0 - 15.81565993248091*(1 - 0.01601572366197771*x_1)**2 + 12.321880248888248))*(0.33079017519627866*x_0 - 0.1196517084312324)*(116.65084508191004*x_0 + 73.47903685799281*cos(0.29536121943696249*x_1 + 0.42050857481593572) + 151.5169913008082),(0.00052870322659774623*x_1 - 0.3448068591783539)*(-0.000727989819554467*sin(16033508.730971141*((0.71401942875962086*x_1 + 1)**2 + 0.00034814035799854361 + 0.00036786385956276379/(1.05054048677737 - 0.033535768944726575*log(98.38543989174238 + 0.4940874573970311/(0.2223537455924803*x_1 - 0.40244607913347773))))**2 + 0.41010481794340287) - 0.005670796724979566)*(1.4380491488010618*x_0 - 88.24264159929356*cos((-120.95544606048872*x_0 - 153.47717581416437)*(-8.7007107228182383*x_1 - 12.073451180294261)) - 84.54693288434113),0.043000000000000003*sin(-2.82837409953939*x_0 + 0.035946776980336816*x_1 + 8.9856694236667907) - 0.002,(23.69498681996938 + 11.143634213292092/(-5.2200972185826636e-7*x_0 + (4.4391427868232353e-7 - 1.3295638460374976e-7*x_0)*(64.239691945327058*x_1 + 96.759351389440032) - 0.47029544210108278))*(3.5317986390960545*x_0 - 26.777516563307238)*(7.9842815279703805*sin((39.90253584781247 - 12.113753462187538*x_0)*(-867.19522744068378*x_1 - 1308.521941487627)) + 15.490083406703672),(3.734176879304472e-5*sin((131.93056908322377*sqrt(1 - 0.020245360143907038*x_0) + 0.5957147286745601)*(619.3083290671419*(1 - 0.4456816205100472*(0.8259012962721251*sin(0.004192653145318876*sin(0.35855352850416118*x_0 - 4.0945721450653208) - 6.32140582291323) + 1)**2)**2 + 3.7355445913516316)) - 0.00023102103063613188)*(73.32138398479321*sin(61702.71017509669*(0.65319771356549587*x_1 + 1)**2 + 0.47929254336279253) + 94.95517663880115)
,,,,,,,,,,,
