	index	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	data_version	system	snr	init
16	9697	59	385	2.3947892089292093	2.408986295012415	-0.006*x1*(-5.482*x1 + x2)*(0.936*x1 - x2) - 10.18*x1 + 10.383*x2 - 27.426/x3	x1*(x3 - 26.82)*(0.001*x2*(x2 + 6.401) + 0.001*x3 - 0.945)	x1*(0.664*x1 - 0.024*x2*x3 + x2) - 2.998*x3 + 8.146	9697	dso	all	lorenz	30	2
11	4243	46	265	2.5079843506081	2.508220664002587	(10.38 - 0.081*x3)*(-x1 + x2)	x1*(-0.045*x1 - 0.045*x2*(-1.29*x1 + x2) - 0.865*x3 + 22.941)	-20.671*x1*(x1 + x2)/(-x3 - 19.487) - 2.365*x3	4243	dso	all	lorenz	30	2
12	4245	45	289	2.5849986043125037	2.5798990857667157	(10.38 - 0.081*x3)*(-x1 + x2)	x1*(-0.045*x1 - 0.045*x2*(-1.29*x1 + x2) - 0.865*x3 + 22.941)	x1*(0.664*x1 - 0.024*x2*x3 + x2) - 2.998*x3 + 8.146	4245	dso	all	lorenz	30	2
6	1954	44	297	2.685429611882497	2.687145821746947	-8.047*x1 + 8.047*x2	x1*(0.183*x1*(x1 + 3.179)*(0.442*x3 - 12.97)/x3 - 1.07*x3 + 29.38)	x1*(0.664*x1 - 0.024*x2*x3 + x2) - 2.998*x3 + 8.146	1954	dso	all	lorenz	30	2
15	5919	42	278	2.739422962758816	2.7403472302807868	(10.383 - 0.027*x1**2)*(-x1 + x2 - 0.062)	x1*(0.002*x2*(x1 + 1.841)*(x3 - 32.938) + 0.053*x2 - 0.894*x3 + 23.932) + x2	0.53*x2**2 - 41.348	5919	dso	all	lorenz	30	2
14	5136	41	257	2.744660882166971	2.74546537938372	(10.379 - 0.027*x1**2)*(-x1 + x2)	x1*(0.002*x2*(x1 + 1.841)*(x3 - 32.938) + 0.053*x2 - 0.894*x3 + 23.932) + x2	0.53*x2**2 - 41.348	5136	dso	all	lorenz	30	2
9	3514	38	267	2.7480061640527835	2.7504513966228314	-8.049*x1 + 8.049*x2 - 0.304	x1*(0.183*x1*(x1 + 3.179)*(0.442*x3 - 12.97)/x3 - 1.07*x3 + 29.38)	x1**2 + x2 - 5.58*x3 + 68.483	3514	dso	all	lorenz	30	2
4	1165	37	243	2.7500694737114495	2.752793770726699	-8.047*x1 + 8.047*x2	x1*(0.183*x1*(x1 + 3.179)*(0.442*x3 - 12.97)/x3 - 1.07*x3 + 29.38)	x1**2 + x2 - 5.58*x3 + 68.483	1165	dso	all	lorenz	30	2
7	1975	35	241	2.8281910173710414	2.830546282099216	-8.047*x1 + 8.047*x2	x1*(0.002*x2*(x1 + 1.84)*(x3 - 32.939) + 0.053*x2 - 0.894*x3 + 23.932) + x2	0.53*x2**2 - 41.348	1975	dso	all	lorenz	30	2
3	1107	34	225	2.896227781269804	2.9081223677006838	-8.047*x1 + 8.047*x2	x1*(-0.045*x1 - 0.045*x2*(-1.29*x1 + x2) - 0.865*x3 + 22.941)	x1**2 + x2 - 5.58*x3 + 68.483	1107	dso	all	lorenz	30	2
5	1917	32	234	2.9245478127050006	2.9226680775860836	-8.047*x1 + 8.047*x2	0.044*x1*(21.066*x1*x2*(0.002*x3 - 0.071) + x1 - 21.066*x3 + 578.978)	0.53*x2**2 - 41.348	1917	dso	all	lorenz	30	2
13	4761	29	160	3.260262545889383	3.2557198532747043	(10.379 - 0.027*x1**2)*(-x1 + x2)	x1*(18.138 - 0.68*x3)	x1**2 + x2 - 5.58*x3 + 68.483	4761	dso	all	lorenz	30	2
10	3978	27	156	3.9844640293072424	3.991996439892848	(10.38 - 0.081*x3)*(-x1 + x2)	x1*(18.138 - 0.68*x3)	x1**2 + x2 - 5.58*x3 + 68.483	3978	dso	all	lorenz	30	2
8	3195	24	168	4.00970759429994	4.012147348617666	-8.049*x1 + 8.049*x2 - 0.304	x1*(18.138 - 0.68*x3)	x1**2 + x2 - 5.58*x3 + 68.483	3195	dso	all	lorenz	30	2
2	846	23	144	4.017737906488971	4.018845100426603	-8.047*x1 + 8.047*x2	x1*(18.138 - 0.68*x3)	x1**2 + x2 - 5.58*x3 + 68.483	846	dso	all	lorenz	30	2
1	4	18	64	4.284091455518848	4.283557620987211	-x1 + x2	-x1 + x2	x1**2 - 5.437*x3 + 70.617	4	dso	all	lorenz	30	2
0	0	15	24	5.3828762027372985	5.387156694960641	-x1 + x2	-x1 + x2	-x1 + x2	0	dso	all	lorenz	30	2
