t,x,y,u,v,dx,dy,du,dv
0.0,-3.754851711648964,-4.244881773970177,-4.312895920785283,-6.657762171308175,145.78145734178477,53.120084049748236,46.909425667484236,384.15287572792175
0.01,-2.2970371382311163,-3.713680933472695,-3.8438016641104404,-2.8162334140289573,108.52675109062332,44.680254671883034,8.641029037522108,176.62771630681974
0.02,-1.5843166898364978,-3.3512766805325165,-4.140075340034841,-3.12520784517178,52.43793457731968,36.843386722123924,-0.5351133278955755,-27.444665927645627
0.03,-1.2482784466847228,-2.9768131990302162,-3.854503930668352,-3.36512673258187,18.76183525092242,3.5253252793060463,-58.93826100118673,-57.6815965610848
0.04,-1.2090799848180493,-3.2807701749463956,-5.318840560058575,-4.278839776393476,-17.6643615402467,18.871149121652707,18.50176299709425,-43.692583675689576
0.05,-1.6015656774896567,-2.599390216597162,-3.484468670726467,-4.2389784060956615,-54.5852767286731,29.12450818492085,77.18841739803162,-4.47114954459038
0.06,-2.3007855193915114,-2.6982800112479786,-3.775072212097943,-4.368262767285284,12.25569707880595,25.39545267698151,-43.63528238580052,86.62120414582701
0.07,-1.3564517359135377,-2.091481163057532,-4.357174318442477,-2.506554323179121,67.40063847790002,17.634245212069754,2.1034164755910023,-7.0052878865290324
0.08,-0.952772749833511,-2.3455951070065835,-3.733003882586123,-4.5083685250158645,16.044334613021938,-9.721256447038673,124.95671821095561,-47.06435355021401
0.09,-1.035565043653099,-2.2859062919983053,-1.858039954223365,-3.4478413941834014,16.752683335973106,10.606158118758845,48.59861562470093,143.1430598757323
0.1,-0.6177190831140489,-2.1334719446314065,-2.761031570092104,-1.6455073275012189,48.811591085162554,20.45812502872577,-84.88007956636343,114.09143395230092
0.11,-0.05933322194984797,-1.8767437914237899,-3.5556415455506336,-1.166012715137383,18.592976056242648,16.342430639819682,-40.471126570080095,83.83477310631415
0.12,-0.24585956198919587,-1.806623331835013,-3.570454101493706,0.0311881346250642,-17.8459259794115,-4.058170092056468,-51.327236831237585,-67.80078608321864
0.13,-0.416251741538078,-1.9579071932649192,-4.582186282175385,-2.522028436801756,5.246002847151747,11.95462144860182,44.213977909231446,-53.01267569629464
0.14,-0.14093950504616093,-1.5675309028629765,-2.686174543309077,-1.0290653793008286,-21.652046166117007,-18.4612712663464,-3.2480621154238776,201.50751451288608
0.15,-0.8492926648604181,-2.3271326185918473,-4.647147524483863,1.5081218534559662,21.653479668737425,-18.19186379971044,-129.95970904896672,47.38737873314576
0.16,0.29213008832858756,-1.9313681788571853,-5.2853687242884115,-0.0813178046379135,34.592751162180505,30.964191586651424,34.5825005985597,-101.61058918978142
0.17,-0.15743764161680798,-1.7078487868588188,-3.955497512512669,-0.5240899303396627,3.0121206458171454,13.12747488649123,34.02328469996596,-50.5126656521857
0.18,0.35237250124493047,-1.6688186811273606,-4.604903030289092,-1.0915711176816276,9.844798666195384,8.423344847506254,8.18308600498454,51.04816714540713
0.19,0.0394583317070997,-1.5393818899086937,-3.791835792412978,0.49687341256847994,-54.057621655513906,-9.629912503397476,23.2671359917441,16.166655834743327
0.2,-0.7287799318653476,-1.8614169311953102,-4.13956031045421,-0.7682380009867611,-1.728558048178118,4.866648149094832,10.929531650398538,-110.33310007627155
0.21,0.004887170743537339,-1.442048926926797,-3.5732451594050074,-1.709788588956951,46.441490302691115,36.90639251437805,38.89112902041485,-16.076249920164674
0.22,0.20004987418847478,-1.1232890809077491,-3.3617377300459133,-1.0897629993900546,18.017410149914227,-26.925114379008207,2.84513019630257,148.9479417784304
0.23,0.3652353737418219,-1.9805512145069613,-3.516342555478956,1.2691702466116566,-36.71158570918686,-29.977433649757256,-113.40022660254894,117.23815974180293
0.24,-0.5341818399952625,-1.7228377539028943,-5.629742262096892,1.2550001954460042,-52.58887423906695,-3.525289216914862,20.839387698047627,-46.16534498841286
0.25,-0.686542111039517,-2.0510569988452585,-3.0995548015180034,0.3458633468433994,49.06432040712386,-2.760531339541683,170.35893710352607,-77.34413789519287
0.26,0.44710456814721466,-1.778048380693728,-2.2225635200263705,-0.2918825624578533,46.6046481742982,35.435878346157956,-27.454728624002556,-25.82153638898702
0.27,0.24555085244644706,-1.3423394319220994,-3.6486493739980546,-0.17056738093634094,-44.05169002520279,-9.320834720947191,-34.06456483672433,53.36037805210433
0.28,-0.4339292323568411,-1.9644650751126718,-2.903854816760857,0.7753249985842332,-1.2310373185935628,-33.703100044876,-12.734729226628128,124.09913180130891
0.29,0.2209301060745758,-2.0164014328196194,-3.903343958530617,2.3114152550898375,55.006290182033744,38.15822229750629,-21.15073077951626,-50.152838947816576
0.3,0.6661965712838338,-1.2013006291625459,-3.3268694323511823,-0.22773178037209835,23.20872272379087,33.24773451995118,24.637017084999968,-71.80616027069443
0.31,0.6851045605503933,-1.3514467424205958,-3.4106036168306177,0.8752920496759485,22.9609054874468,-9.656852375181368,-48.56861322630059,-23.653198250881726
0.32,1.1254146810327699,-1.3944376766661732,-4.298241696877194,-0.7007957453897329,-38.52296321839964,19.45108361448732,-9.980939008737977,-38.66751947601866
0.33,-0.08535470381759946,-0.9624250701308494,-3.6102223970053773,0.10194166015557526,16.254710315660436,8.763687344171844,14.878501590926518,-14.698062720257015
0.34,1.4505088873459786,-1.2191639297827364,-4.000671665058664,-0.9947569997948732,47.635565027200265,-10.645178054154657,30.622106674114534,-32.837337544758945
0.35000000000000003,0.8673565967264059,-1.1753286312139426,-2.9977802635230866,-0.5548050907396036,4.839327698318274,21.25796605215564,9.840038389961947,42.26538678913788
0.36,1.547295441312344,-0.7940046087396235,-3.803870897259425,-0.14944926401211567,20.2741144378768,-0.031020335388731723,-12.325925691001505,154.9559191431647
0.37,1.2728388854839419,-1.1759490379217172,-3.2442987773431167,2.5443132921236904,-12.471557948824174,4.483423261080982,-33.26510487912544,100.1138504897519
0.38,1.2978642823358606,-0.7043361435180039,-4.469172994841934,1.8528277457829225,-12.475033504724042,11.810825289239151,-39.775625519382494,-228.06980163538955
0.39,1.023338215389461,-0.9397325321369342,-4.039811287730767,-2.017082740584101,30.47428411858667,-24.016379663861827,42.89511526909002,58.025052112960495
0.4,1.907349964707594,-1.1846637367952404,-3.611270689460133,3.0133287880421324,16.800160382585084,-31.476805175261195,75.87893400966684,74.32114874221982
0.41000000000000003,1.3593414230411627,-1.5692686356421581,-2.52223260753743,-0.5306597657397045,-64.7080963455554,-6.626344223375191,59.00675588422186,-115.83052271327894
0.42,0.6131880377964859,-1.3171906212627442,-2.431135571775696,0.6967183337765537,-15.523027172242786,50.77207402556601,-46.561956826978076,193.6410546521372
0.43,1.048880879596307,-0.5538271551308378,-3.4534717440769915,3.3421613273030393,23.57738540621355,2.650634633199511,-120.908845675514,38.116132326840656
0.44,1.084735745920757,-1.264177928598754,-4.849312485285976,1.4590409803133668,28.689427767464526,-17.043875682657784,-21.61181173069555,-158.5177009012785
0.45,1.6226694349455975,-0.8947046687839935,-3.8857079786909026,0.17180730927746968,-4.867816140903663,25.80025336897318,71.18789384832469,24.800106704637024
0.46,0.9873794231026837,-0.7481728612192904,-3.4255546083194823,1.9550431144061073,-51.78540465531176,-14.344231019929543,101.10378929554868,-37.24170492079466
0.47000000000000003,0.5869613418393622,-1.1815892891825843,-1.8636321927799286,-0.5730267891384235,-39.324966584500366,16.320523847428746,-91.32661120091161,-6.207847447516435
0.48,0.20088009141267626,-0.42176238427071544,-5.252086832337715,1.8308861654557786,50.897204543362385,34.017689499981294,-110.69181136660973,103.38379129214444
0.49,1.60490543270661,-0.5012354991829584,-4.077468420112123,1.494649036704465,99.21375781086907,-9.56331906675245,110.30907120915947,-101.51874818822878
