	index	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	data_version	system	snr	init
29	12204	74	473	1.092786589457838	1.0146113071198504	x2*(x2*(0.316 - 0.005*x3) + 8.491) - (0.019*x1**2 + 0.504*x1 - 0.161)*(0.004*x1**2*(-x1 + x3 - 36.701) + x2 + 13.049)	-x1*(1.225*x1 - (-1.431*x1 + 1.225*x3)*(0.008*x1 - 0.607) - 21.782) - 1.015	-0.979*x2*(0.309 - x1) - 2.51*x3	12204	dso	allonger	lorenz	30	0
28	12203	70	452	1.094368435268144	1.016355977886301	x2*(x2*(0.316 - 0.005*x3) + 8.491) - (0.019*x1**2 + 0.504*x1 - 0.161)*(0.004*x1**2*(-x1 + x3 - 36.701) + x2 + 13.049)	-x1*(1.225*x1 - (-1.431*x1 + 1.225*x3)*(0.008*x1 - 0.607) - 21.782) - 1.015	x1*x2 - 2.557*x3 - 2.699	12203	dso	allonger	lorenz	30	0
27	12184	66	411	1.0947654841757648	1.016838755556782	x2*(x2*(0.316 - 0.005*x3) + 8.491) - (0.019*x1**2 + 0.504*x1 - 0.161)*(0.004*x1**2*(-x1 + x3 - 36.701) + x2 + 13.049)	x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)	-0.979*x2*(0.309 - x1) - 2.51*x3	12184	dso	allonger	lorenz	30	0
30	12223	65	417	1.0970247090814271	1.0193786885580436	x2*(x2*(0.316 - 0.005*x3) + 8.491) - (0.019*x1**2 + 0.504*x1 - 0.161)*(0.004*x1**2*(-x1 + x3 - 36.701) + x2 + 13.049)	x1*(-0.011*x1*(x1 - x3 + 36.646) + 0.011*x2 - 0.746*x3 + 21.699)	x1*x2 - 2.557*x3 - 2.699	12223	dso	allonger	lorenz	30	0
26	12183	62	390	1.097127229774097	1.019526504953911	x2*(x2*(0.316 - 0.005*x3) + 8.491) - (0.019*x1**2 + 0.504*x1 - 0.161)*(0.004*x1**2*(-x1 + x3 - 36.701) + x2 + 13.049)	x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)	x1*x2 - 2.557*x3 - 2.699	12183	dso	allonger	lorenz	30	0
25	12182	61	369	1.098027608169195	1.02074061411835	x2*(x2*(0.316 - 0.005*x3) + 8.491) - (0.019*x1**2 + 0.504*x1 - 0.161)*(0.004*x1**2*(-x1 + x3 - 36.701) + x2 + 13.049)	x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)	x1*x2 - 2.655*x3	12182	dso	allonger	lorenz	30	0
24	9684	54	346	1.107168203760307	1.030165553316335	-10.317*x1 + 10.317*x1/(x2 + 0.076*x3**2/(x1 - 2.225) - 12.022) + 9.725*x2 - 11.104	x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)	-0.979*x2*(0.309 - x1) - 2.51*x3	9684	dso	allonger	lorenz	30	0
23	9683	50	325	1.1120209585793681	1.0346411670329854	-10.317*x1 + 10.317*x1/(x2 + 0.076*x3**2/(x1 - 2.225) - 12.022) + 9.725*x2 - 11.104	x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)	x1*x2 - 2.557*x3 - 2.699	9683	dso	allonger	lorenz	30	0
22	9682	49	304	1.1158036701690444	1.0394218935244115	-10.317*x1 + 10.317*x1/(x2 + 0.076*x3**2/(x1 - 2.225) - 12.022) + 9.725*x2 - 11.104	x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)	x1*x2 - 2.655*x3	9682	dso	allonger	lorenz	30	0
20	3203	47	298	1.1370526092345512	1.064641703493479	(x1 - x2)*(x1*(0.006*x1 + 0.104) - 9.582)	-x1*(1.225*x1 - (-1.431*x1 + 1.225*x3)*(0.008*x1 - 0.607) - 21.782) - 1.015	x1*x2 - 2.557*x3 - 2.699	3203	dso	allonger	lorenz	30	0
19	3202	46	277	1.1370698127711971	1.0651657636440963	(x1 - x2)*(x1*(0.006*x1 + 0.104) - 9.582)	-x1*(1.225*x1 - (-1.431*x1 + 1.225*x3)*(0.008*x1 - 0.607) - 21.782) - 1.015	x1*x2 - 2.655*x3	3202	dso	allonger	lorenz	30	0
16	3164	44	261	1.151343584036466	1.0806652109834527	(x1 - x2)*(x1*(0.006*x1 + 0.104) - 9.582)	-1.117*x1*(x3 + (0.009*x1 + 0.334)*(x1 - x3) - 19.351)	-0.979*x2*(0.309 - x1) - 2.51*x3	3164	dso	allonger	lorenz	30	0
18	3184	43	257	1.151348113916773	1.080671426329626	(x1 - x2)*(x1*(0.006*x1 + 0.104) - 9.582)	x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)	-0.979*x2*(0.309 - x1) - 2.51*x3	3184	dso	allonger	lorenz	30	0
21	3222	41	242	1.1527222926300156	1.0822783235523283	(x1 - x2)*(x1*(0.006*x1 + 0.104) - 9.582)	x1*(-0.011*x1*(x1 - x3 + 36.646) + 0.011*x2 - 0.746*x3 + 21.699)	x1*x2 - 2.655*x3	3222	dso	allonger	lorenz	30	0
15	3162	39	219	1.1554799947996033	1.08529075688443	(x1 - x2)*(x1*(0.006*x1 + 0.104) - 9.582)	-1.117*x1*(x3 + (0.009*x1 + 0.334)*(x1 - x3) - 19.351)	x1*x2 - 2.655*x3	3162	dso	allonger	lorenz	30	0
17	3182	38	215	1.155484553334809	1.0852969232110108	(x1 - x2)*(x1*(0.006*x1 + 0.104) - 9.582)	x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)	x1*x2 - 2.655*x3	3182	dso	allonger	lorenz	30	0
14	2722	37	234	1.1772789950451255	1.1091195997456966	(9.113 - 0.053*x1)*(-0.998*x1 + x2)	x1*(-0.011*x1*(x1 - x3 + 36.646) + 0.011*x2 - 0.746*x3 + 21.699)	x1*x2 - 2.655*x3	2722	dso	allonger	lorenz	30	0
12	2662	35	211	1.1797924075473978	1.1118928746330796	(9.113 - 0.053*x1)*(-0.998*x1 + x2)	-1.117*x1*(x3 + (0.009*x1 + 0.334)*(x1 - x3) - 19.351)	x1*x2 - 2.655*x3	2662	dso	allonger	lorenz	30	0
13	2682	34	207	1.1797958888967428	1.111898087874949	(9.113 - 0.053*x1)*(-0.998*x1 + x2)	x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)	x1*x2 - 2.655*x3	2682	dso	allonger	lorenz	30	0
11	1722	33	206	1.1870992699757088	1.1193015349223396	-9.413*x1 + 9.428*x2	x1*(-0.011*x1*(x1 - x3 + 36.646) + 0.011*x2 - 0.746*x3 + 21.699)	x1*x2 - 2.655*x3	1722	dso	allonger	lorenz	30	0
9	1662	31	183	1.1913477199304525	1.1239759720149083	-9.413*x1 + 9.428*x2	-1.117*x1*(x3 + (0.009*x1 + 0.334)*(x1 - x3) - 19.351)	x1*x2 - 2.655*x3	1662	dso	allonger	lorenz	30	0
10	1682	30	179	1.1913498345439935	1.1239795989016736	-9.413*x1 + 9.428*x2	x1*(-0.011*x1*(x1 - x3 + 35.447) - 0.744*x3 + 21.617)	x1*x2 - 2.655*x3	1682	dso	allonger	lorenz	30	0
5	642	28	192	1.4714168289399523	1.4230424459308875	-9.428*x1 + 9.428*x2	(0.006*x1 - 0.004)*(x2 - 130.942)*(x3 - 26.077) + 5.449	x1*x2 - 2.655*x3	642	dso	allonger	lorenz	30	0
4	622	25	168	2.5529536795031227	2.552814266166835	-9.428*x1 + 9.428*x2	0.008*x1*(x2 - 103.494)*(x3 - 26.328) + 4.331	x1*x2 - 2.655*x3	622	dso	allonger	lorenz	30	0
3	602	23	147	5.5144872248311145	5.565624020584155	-9.428*x1 + 9.428*x2	0.009*x1*(x1 - 86.48)*(x3 - 26.988)	x1*x2 - 2.655*x3	602	dso	allonger	lorenz	30	0
6	1042	22	120	8.277239693385486	8.352165983198205	-9.413*x1 + 9.428*x2	0.907*x1*(26.987 - x3)	x1*x2 - 2.655*x3	1042	dso	allonger	lorenz	30	0
8	1562	21	123	8.70613665273995	8.786902667981861	-9.413*x1 + 9.428*x2	x1*(24.482 - 0.907*x3)	x1*x2 - 2.655*x3	1562	dso	allonger	lorenz	30	0
7	1561	19	119	10.55374706564424	10.655220662937879	-9.413*x1 + 9.428*x2	x1*(24.482 - 0.907*x3)	x1*x2 - 71.239	1561	dso	allonger	lorenz	30	0
2	502	17	96	11.820062539929356	11.881700899336128	-9.428*x1 + 9.428*x2	x3 - 26.481	x1*x2 - 2.655*x3	502	dso	allonger	lorenz	30	0
1	2	15	60	12.147921590107167	12.226693397551351	-x1 + x2	x3 - 26.481	x1*x2 - 2.655*x3	2	dso	allonger	lorenz	30	0
0	0	13	53	18.25596607983435	18.5021502567718	-x1 + x2	x3 - 26.481	9.524 - x2	0	dso	allonger	lorenz	30	0
