	index	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	data_version	system	snr	init
13	1773	45	326	0.5715347450669466	0.5715347450669466	-9.977*x1 + 9.977*x2	-0.999*x1*(x3 - 27.935) - 0.954*x2 + 0.116	0.999*x2*(x1 + 0.009) - 2.691*x3 + 0.577	1773	dso	allonger	lorenz	inf	1
9	973	44	305	0.5797251505957923	0.5797251505957923	-9.977*x1 + 9.977*x2	-0.999*x1*(x3 - 27.935) - 0.954*x2 + 0.116	0.999*x2*(x1 + 0.009) - 2.691*x3 + 0.577	973	dso	allonger	lorenz	inf	1
12	1764	33	259	1.037021476463243	1.037021476463243	-9.977*x1 + 9.977*x2	-0.999*x1*(x3 - 27.935) - 0.954*x2 + 0.116	0.997*x1*x2 - 2.659*x3 + 0.042	1764	dso	allonger	lorenz	inf	1
8	964	32	238	1.0397470989048636	1.0397470989048636	-9.977*x1 + 9.977*x2	-0.999*x1*(x3 - 27.935) - 0.954*x2 + 0.116	0.997*x1*x2 - 2.659*x3 + 0.042	964	dso	allonger	lorenz	inf	1
7	865	28	214	1.8681585156549174	1.8681585156549174	-9.977*x1 + 9.977*x2	-0.996*x1*(x3 - 27.997) - 0.996*x2	0.997*x1*(x2 + 0.001) - 2.66*x3 + 0.042	865	dso	allonger	lorenz	inf	1
6	864	26	186	2.1252919596301094	2.1252919596301094	-9.977*x1 + 9.977*x2	-0.996*x1*(x3 - 27.997) - 0.996*x2	0.997*x1*x2 - 2.659*x3 + 0.042	864	dso	allonger	lorenz	inf	1
5	843	23	148	3.9467914969651305	3.9467914969651305	-9.977*x1 + 9.977*x2	x1*(25.62 - 0.952*x3)	x1*(x2 - 0.002) - 2.666*x3	843	dso	allonger	lorenz	inf	1
11	1642	21	159	5.184143351734251	5.184143351734251	-9.977*x1 + 9.977*x2	x1*(25.62 - 0.952*x3)	0.928*x1*x2 - 62.398	1642	dso	allonger	lorenz	inf	1
4	842	20	138	5.347896452878579	5.347896452878579	-9.977*x1 + 9.977*x2	x1*(25.62 - 0.952*x3)	0.928*x1*x2 - 62.398	842	dso	allonger	lorenz	inf	1
10	1241	19	115	6.85839590272974	6.85839590272974	-9.977*x1 + 9.977*x2	x1*(25.62 - 0.952*x3)	0.382*x2**2	1241	dso	allonger	lorenz	inf	1
1	42	18	100	12.140898392476817	12.140898392476817	-x1 + x2	x1*(25.62 - 0.952*x3)	0.928*x1*x2 - 62.398	42	dso	allonger	lorenz	inf	1
3	801	17	79	16.304609366627094	16.304609366627094	-9.977*x1 + 9.977*x2	-x1 + x2	0.382*x2**2	801	dso	allonger	lorenz	inf	1
2	800	15	76	22.17833785904903	22.17833785904903	-9.977*x1 + 9.977*x2	-x1 + x2	x2 - 4.025	800	dso	allonger	lorenz	inf	1
0	0	13	38	53.87843120901149	53.87843120901149	-x1 + x2	-x1 + x2	x2 - 4.025	0	dso	allonger	lorenz	inf	1
