	index	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	data_version	system	snr	init
25	1486	63	426	0.19758295946986415	0.19758295946986415	-9.969*x1 + 9.971*x2 - 0.017	-0.954*x2 + (0.033 - x1)*(0.995*x3 - 27.765) + 0.494	x1*(1.0*x2 + 0.023) - 2.675*x3	1486	dso	allonger	lorenz	inf	3
15	856	62	403	0.20497514035393516	0.20497514035393516	-9.97*x1 + 9.97*x2	-0.954*x2 + (0.033 - x1)*(0.995*x3 - 27.765) + 0.494	x1*(1.0*x2 + 0.023) - 2.675*x3	856	dso	allonger	lorenz	inf	3
26	1506	58	365	0.2196255802588385	0.2196255802588385	-9.969*x1 + 9.971*x2 - 0.017	-0.978*x2 + (0.019 - x1)*(1.077*x3 - 30.092) + 0.362	x1*(x2 + 0.004) - 2.672*x3	1506	dso	allonger	lorenz	inf	3
16	876	57	342	0.2239546564763324	0.2239546564763324	-9.97*x1 + 9.97*x2	-0.978*x2 + (0.019 - x1)*(1.077*x3 - 30.092) + 0.362	x1*(x2 + 0.004) - 2.672*x3	876	dso	allonger	lorenz	inf	3
24	1482	50	364	0.2589301139408806	0.2589301139408806	-9.969*x1 + 9.971*x2 - 0.017	-0.954*x2 + (0.033 - x1)*(0.995*x3 - 27.765) + 0.494	-0.988*x1*(-0.012*x1 - x2 - 0.012) - 2.71*x3 + 1.015	1482	dso	allonger	lorenz	inf	3
14	852	49	341	0.2612991220967404	0.2612991220967404	-9.97*x1 + 9.97*x2	-0.954*x2 + (0.033 - x1)*(0.995*x3 - 27.765) + 0.494	-0.988*x1*(-0.012*x1 - x2 - 0.012) - 2.71*x3 + 1.015	852	dso	allonger	lorenz	inf	3
23	1461	46	359	0.2669794524728105	0.2669794524728105	-9.969*x1 + 9.971*x2 - 0.017	-0.936*x2 + (0.003 - x1)*(1.719*x3 - 47.938) + 0.509	-0.988*x1*(-0.012*x1 - x2 - 0.012) - 2.71*x3 + 1.015	1461	dso	allonger	lorenz	inf	3
13	831	45	336	0.27525280533544294	0.27525280533544294	-9.97*x1 + 9.97*x2	-0.936*x2 + (0.003 - x1)*(1.719*x3 - 47.938) + 0.509	-0.988*x1*(-0.012*x1 - x2 - 0.012) - 2.71*x3 + 1.015	831	dso	allonger	lorenz	inf	3
22	1434	37	308	0.42368493190790135	0.42368493190790135	-9.969*x1 + 9.971*x2 - 0.017	-0.937*x2 + (-0.99*x1 - 0.002*x2)*(x3 - 27.909) + 0.272	-2.656*x3 + (x1 + 0.021)*(0.996*x2 - 0.023)	1434	dso	allonger	lorenz	inf	3
12	804	36	285	0.42669116929520345	0.42669116929520345	-9.97*x1 + 9.97*x2	-0.937*x2 + (-0.99*x1 - 0.002*x2)*(x3 - 27.909) + 0.272	-2.656*x3 + (x1 + 0.021)*(0.996*x2 - 0.023)	804	dso	allonger	lorenz	inf	3
