  index    complexity    length            TE        TE_inf  expr_x                        expr_y                                                   expr_z                                                  index_column  method    data_version    system      snr    init
   1486            63       426      0.197583      0.197583  -9.969*x1 + 9.971*x2 - 0.017  -0.954*x2 + (0.033 - x1)*(0.995*x3 - 27.765) + 0.494     x1*(1.0*x2 + 0.023) - 2.675*x3                                  1486  dso       allonger        lorenz      inf       3
    856            62       403      0.204975      0.204975  -9.97*x1 + 9.97*x2            -0.954*x2 + (0.033 - x1)*(0.995*x3 - 27.765) + 0.494     x1*(1.0*x2 + 0.023) - 2.675*x3                                   856  dso       allonger        lorenz      inf       3
   1506            58       365      0.219626      0.219626  -9.969*x1 + 9.971*x2 - 0.017  -0.978*x2 + (0.019 - x1)*(1.077*x3 - 30.092) + 0.362     x1*(x2 + 0.004) - 2.672*x3                                      1506  dso       allonger        lorenz      inf       3
    876            57       342      0.223955      0.223955  -9.97*x1 + 9.97*x2            -0.978*x2 + (0.019 - x1)*(1.077*x3 - 30.092) + 0.362     x1*(x2 + 0.004) - 2.672*x3                                       876  dso       allonger        lorenz      inf       3
   1482            50       364      0.25893       0.25893   -9.969*x1 + 9.971*x2 - 0.017  -0.954*x2 + (0.033 - x1)*(0.995*x3 - 27.765) + 0.494     -0.988*x1*(-0.012*x1 - x2 - 0.012) - 2.71*x3 + 1.015            1482  dso       allonger        lorenz      inf       3
    852            49       341      0.261299      0.261299  -9.97*x1 + 9.97*x2            -0.954*x2 + (0.033 - x1)*(0.995*x3 - 27.765) + 0.494     -0.988*x1*(-0.012*x1 - x2 - 0.012) - 2.71*x3 + 1.015             852  dso       allonger        lorenz      inf       3
   1461            46       359      0.266979      0.266979  -9.969*x1 + 9.971*x2 - 0.017  -0.936*x2 + (0.003 - x1)*(1.719*x3 - 47.938) + 0.509     -0.988*x1*(-0.012*x1 - x2 - 0.012) - 2.71*x3 + 1.015            1461  dso       allonger        lorenz      inf       3
    831            45       336      0.275253      0.275253  -9.97*x1 + 9.97*x2            -0.936*x2 + (0.003 - x1)*(1.719*x3 - 47.938) + 0.509     -0.988*x1*(-0.012*x1 - x2 - 0.012) - 2.71*x3 + 1.015             831  dso       allonger        lorenz      inf       3
   1434            37       308      0.423685      0.423685  -9.969*x1 + 9.971*x2 - 0.017  -0.937*x2 + (-0.99*x1 - 0.002*x2)*(x3 - 27.909) + 0.272  -2.656*x3 + (x1 + 0.021)*(0.996*x2 - 0.023)                     1434  dso       allonger        lorenz      inf       3
    804            36       285      0.426691      0.426691  -9.97*x1 + 9.97*x2            -0.937*x2 + (-0.99*x1 - 0.002*x2)*(x3 - 27.909) + 0.272  -2.656*x3 + (x1 + 0.021)*(0.996*x2 - 0.023)                      804  dso       allonger        lorenz      inf       3
   1392            35       286      0.434535      0.434535  -9.969*x1 + 9.971*x2 - 0.017  -0.949*x2 + (-0.993*x1 - 0.002)*(x3 - 27.935) + 0.158    -2.656*x3 + (x1 + 0.021)*(0.996*x2 - 0.023)                     1392  dso       allonger        lorenz      inf       3
