	index	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	data_version	system	snr	init
10	6154	55	383	3.079259976543762	3.271786710057433	4.9*x2 - 4.9*x3*(0.03*x1 + 0.039) - 0.38	x1*(1.29*x1*(0.038 - 0.019*x1) - 0.29*x3 + 6.403 + 1.362/(1.403*x1 - 0.198*x2 + x3) + 3.187*x2/x1)	0.833*x1*x2 - x3 - 30.315	6154	dso	allonger	lorenz	13	1
9	4753	50	316	3.169153139083094	3.23856797397028	-0.155*x1*x3 + 4.726*x2	x1*(1.29*x1*(0.038 - 0.019*x1) - 0.29*x3 + 6.403 + 1.362/(1.403*x1 - 0.198*x2 + x3) + 3.187*x2/x1)	0.833*x1*x2 - x3 - 30.422	4753	dso	allonger	lorenz	13	1
8	4429	35	202	3.2634448534223885	3.34717118723607	-0.155*x1*x3 + 4.726*x2	x2 + (0.408*x1 - 0.567)*(-0.046*x1**2 - x3 + 28.198)	0.833*x1*x2 - x3 - 30.315	4429	dso	allonger	lorenz	13	1
7	4304	29	171	3.321307641957128	3.409493983769197	-0.155*x1*x3 + 4.726*x2	0.483*x1*(23.398 - x3) + 0.483*x3	0.833*x1*x2 - x3 - 30.315	4304	dso	allonger	lorenz	13	1
5	3579	23	148	4.136256232017243	4.4705477557358115	-0.155*x1*x3 + 4.726*x2	-0.48*x1*(x3 - 25.523)	0.833*x1*x2 - x3 - 30.315	3579	dso	allonger	lorenz	13	1
3	1478	22	144	4.5478985698095356	4.930184137576505	-5.709*x1 + 5.709*x2	-0.48*x1*(x3 - 25.523)	0.833*x1*x2 - x3 - 30.422	1478	dso	allonger	lorenz	13	1
6	4277	20	140	5.388265491768034	5.878550001254852	-0.155*x1*x3 + 4.726*x2	-0.48*x1*(x3 - 25.523)	0.81*x1*x2 - 54.054	4277	dso	allonger	lorenz	13	1
2	776	18	118	5.638147291373606	6.133836997465858	-5.708*x1 + 5.708*x2	-0.48*x1*(x3 - 25.523)	x1*x2 - 68.354	776	dso	allonger	lorenz	13	1
1	77	17	101	9.003248860136924	10.104706153382377	-x1 + x2	-0.48*x1*(x3 - 25.523)	0.81*x1*x2 - 54.054	77	dso	allonger	lorenz	13	1
4	2100	15	60	9.40195060146348	11.437322090917492	-5.461*x1 + 5.772*x2	-x1 + x2	x1 - 1.0	2100	dso	allonger	lorenz	13	1
0	0	13	24	40.06603688423763	49.75069229446878	-x1 + x2	-x1 + x2	x1 - 1.0	0	dso	allonger	lorenz	13	1
