	index	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	data_version	system	snr	init
2	378	25	165	3.427368607314088	3.461528037222214	-7.149*x1 + 7.149*x2	x1*(27.046 - x3)	0.646*x2*(x2 + 0.069) - 0.646*x3 - 39.858	378	dso	allonger	lorenz	13	2
1	377	24	140	3.4325696752233714	3.467284439189733	-7.149*x1 + 7.149*x2	x1*(27.046 - x3)	0.647*x2**2 - 0.647*x3 - 39.8	377	dso	allonger	lorenz	13	2
6	3927	22	99	3.566305712940835	3.732329418704057	4.753*x2 - 50.717*x3/(x2 + 216.261/x1)	-2.524*x1	x1*x2	3927	dso	allonger	lorenz	13	2
5	2856	20	115	3.571507768668595	3.7376061278373722	7.072*x1*(-0.996 + 1.04/x3) + 7.072*x2	-2.524*x1	x1*x2	2856	dso	allonger	lorenz	13	2
4	2142	19	97	3.571578342161911	3.7376795866295334	-7.08*x1 + 7.08*x1/x3 + 7.08*x2	-2.524*x1	x1*x2	2142	dso	allonger	lorenz	13	2
3	1071	13	72	3.5719499935602586	3.73806696689181	-6.869*x1 + 7.186*x2	-2.524*x1	x1*x2	1071	dso	allonger	lorenz	13	2
0	0	9	47	3.964827248993386	4.206947240713724	1.975*x2	-2.524*x1	x1*x2	0	dso	allonger	lorenz	13	2
