  index    complexity    length       TE    TE_inf  expr_x                                                  expr_y                                                                            expr_z                                           index_column  method    data_version    system      snr    init
   5412            69       395  1.56123   1.56123  0.001*x1*x3 - 10.01508707378687*x1 + 10.007*x2 - 0.023  -x1 - 0.976*x2 + (0.132*x3 - 3.824)*(0.02*x1**3/(x3 + 18.957) - 7.59*x1) + 0.027  11256.497*x1*x2/(2*x3 + 11237.568) - 2.657*x3            5412  dso       allonger        lorenz      inf       2
   1926            34       245  1.71663   1.71663  -9.977*x1 + 9.977*x2                                    -1.0*x1*(x3 - 27.96) - 0.976*x2                                                   0.997*x1*x2 - 2.659*x3 + 0.014                           1926  dso       allonger        lorenz      inf       2
   1787            28       173  1.84741   1.84741  -9.977*x1 + 9.977*x2                                    -x1*(0.996*x3 - 27.895) - x2 + 0.011                                              x1*x2 - 2.667*x3                                         1787  dso       allonger        lorenz      inf       2
   1804            27       190  2.75707   2.75707  -9.977*x1 + 9.977*x2                                    x1*(27.782 - 0.994*x3) - 0.954*x2 + 0.029                                         x1*x2 - 2.667*x3                                         1804  dso       allonger        lorenz      inf       2
   1192            26       130  2.92669   2.92669  -9.977*x1 + 9.977*x2                                    x1*(28.005 - x3) - x2                                                             x1*x2 - 2.667*x3                                         1192  dso       allonger        lorenz      inf       2
   1755            23       145  3.35035   3.35035  -9.977*x1 + 9.977*x2                                    x1*(27.003 - x3)                                                                  0.997*x1*x2 - 2.658*x3                                   1755  dso       allonger        lorenz      inf       2
    901            22        86  3.43974   3.43974  -x1 + 3.098*x2 - 6.089                                  x1*(28.005 - x3) - x2                                                             x1*x2                                                     901  dso       allonger        lorenz      inf       2
    323            21        64  3.7385    3.7385   -x1 + 2.87*x2                                           x1*(28.005 - x3) - x2                                                             x1*x2                                                     323  dso       allonger        lorenz      inf       2
     34            17        58  4.28492   4.28492  2.078*x2                                                x1*(28.005 - x3) - x2                                                             x1*x2                                                      34  dso       allonger        lorenz      inf       2
    578            13        54  4.80004   4.80004  -x1 + 2.87*x2                                           -2.656*x1                                                                         x1*x2                                                     578  dso       allonger        lorenz      inf       2
      0             9        47  4.89722   4.89722  2.078*x2                                                -2.656*x1                                                                         x1*x2                                                       0  dso       allonger        lorenz      inf       2
