ModelBox: 9 models
-> 0.235544624178098*sqrt(x) + 0.0266875516502193, p = 0.0006144000000000001, parse trees = 1, valid = True, error = 0.005542086724694072, time = 8.573018312454224
-> 0.155414387891044*x + 0.105690998852079, p = 0.0152064, parse trees = 2, valid = True, error = 0.006629409588229601, time = 1.2756810188293457
-> 0.115187176785013*sqrt(x**3) + 0.137928966413229, p = 9.830400000000001e-05, parse trees = 1, valid = True, error = 0.0074923713253980204, time = 6.291052341461182
-> 0.0868687577712517*x**2 + 0.155935146014268, p = 0.00513589248, parse trees = 2, valid = True, error = 0.008087194779788537, time = 1.4569346904754639
-> 0.045825290351562*x**3 + 0.175374842034643, p = 0.0024330240000000006, parse trees = 2, valid = True, error = 0.008714996915838272, time = 1.6528534889221191
-> 0.302421439585187*x, p = 0.08639999999999999, parse trees = 1, valid = True, error = 0.009402074671089949, time = 0.2839033603668213
-> 0.314159756653497*x**2, p = 0.03456, parse trees = 1, valid = True, error = 0.01863075956877968, time = 0.2970860004425049
-> 0.309317056007826*sqrt(x**5), p = 0.0004915200000000001, parse trees = 1, valid = True, error = 0.022358907190427765, time = 2.0670905113220215
-> 0.3020873338034*x**3, p = 0.013824000000000001, parse trees = 1, valid = True, error = 0.025432512678193162, time = 0.18987655639648438
