A000001,A000002,A000005,A000009,A000010,A000014,A000019,A000029,A000031,A000032,A000035,A000040,A000041,A000045,A000048,A000055,A000069,A000079,A000081,A000085,A000108,A000110,A000111,A000120,A000123,A000124,A000129,A000140,A000142,A000161,A000166,A000169,A000182,A000203,A000204,A000217,A000219,A000225,A000244,A000262,A000272,A000290,A000292,A000302,A000311,A000312,A000326,A000330,A000364,A000521,A000578,A000583,A000593,A000594,A000602,A000670,A000688,A000720,A000793,A000796,A000959,A000961,A000984,A001003,A001006,A001034,A001037,A001045,A001055,A001057,A001065,A001097,A001113,A001147,A001157,A001190,A001221,A001222,A001227,A001285,A001333,A001358,A001405,A001462,A001481,A001511,A001519,A001615,A001700,A001764,A001906,A001969,A002033,A002083,A002110,A002113,A002275,A002322,A002378,A002426,A002487,A002530,A002531,A002572,A002620,A002654,A002808,A003136,A003418,A003484,A004011,A004018,A004526,A005036,A005100,A005101,A005117,A005130,A005230,A005408,A005811,A005843,A006318,A006530,A006882,A007318,A008275,A008277,A008279,A008292,A008683,A010060,A018252,A020639,A020652,A020653,A025487,A027641,A027642,A035099,A038566,A038567,A038568,A038569,A049310,A070939,A074206,A104725,A226898,A246655
2,1,4,2048,22,111437533064,2,390941662712,781874936816,2537720636,1,199,89134,1134903170,390937467284,60978390985918906,91,35184372088832,2212039245722726118,1251446417132166042451788445696,2257117854077248073253720,139258505266263669602347053993654079693415,227681379129930886488600284336316164603920777216,4,6462,1036,59341817924539925,41323223974280488654716520112021059509406938334138525576,119622220865480194561963161495657715064383733760000000000,1,44006555763679701431616677013747562741144797778204081604,666964050017266831101313774948704302169308057501714201740927385964459851776,244894195305156422278749861738770690564396509506877162622951953326640425034316224613187841278459274031396903343554866184192,72,4106118243,1035,1774079109,35184372088831,2954312706550833698643,776245524984802767383175984672148286143987976321467492834141,122500565161156121231925522170574167775076830366742797195911407470703125,2025,16215,1237940039285380274899124224,271647813718836561341483839819723101438364107862467346090855376579723264,248063644451341145494649182395412689744530581492654164321720600128173828125,3015,31395,4227240686139909064705589929214593102933845388672369082676644542650248228369590525634078984302153217507945782396923579721,65452367731499268312170283695144960,91125,4100625,24,-447438528,8227162372221203,1255482482235481041484313695469155949742941807533901307975355741,1,14,60060,9,235,131,103827421287553411369671120,36848290359517384607151953278125,13603677110519480289,456288,781874934568,11728124029611,2,23,26,461,3,352999527454840466971061863960307904899505075341088595453568994140625,2650,639754054803187,2,2,2,1,83922003724759193,141,4116715363800,13,104,2,1779979416004714189,72,205397724721029574666088520,16635641296703864308483436321233200,2880067194370816120,90,3,5571167564496,39195588149163123383161804554421175259738677336198748467804183290796540382737190,363,111111111111111111111111111111111111111111111,22,2070,214285636273290835239,12,3018173449203,5227629760075,67501019886,506,0,65,127,9419588158802421600,2,1872,8,22,578084935991514745322416801136160,59,200,73,55440978402808310467753654753058698213367793891666339526825565859366760710864157049309338466643717146535279351983899875190392567770432624932544676458822398221761522729112022376142811147951671223243364646284825393512287911145234000,8354292354562,91,5,90,73696580719034769214303906556250,23,25373791335626257947657609375,1,-362880,1,1,1,1,0,64,2,1,12,1536,0,1,-36552977852071936,11,12,2,9,0,6,8,11,2,137
2,2,2,2304,46,230557486517,6,764884036743,1529755490574,4106118243,0,211,105558,1836311903,764877654105,170508699155987862,93,70368744177664,6325843306177425928,9087203903966723169825144426496,8740328711533173390046320,2265418219334494002928484444705392276158355,6667537516685544977435028474773748197524107684661,4,7060,1082,143263821649299118,1881367892225250904423740595809079479717822235179925784888,5502622159812088949850305428800254892961651752960000000000,0,2024301565129266265854367142632387886092660697797387753785,82509026882222311120566982684134696912730742581791615268985651657159497554529,849199076226255944288362302662250632319426730586608497127041570684492312869167391053400799032391565277778495403330301807558656,48,6643838879,1081,2543535902,70368744177663,8862938119652501095929,40745575843661660669208957519541941851879053417716743910922291,14499218478636235458724212498884876134115392554385091342194073607923040256,2116,17296,4951760157141521099596496896,31293307486506678867597475969340476109714803510871027410789483975171637248,30680346300794274230660433647640397899788170645078853280082659754365153181696,3151,33511,14343212791976583406133682640578565858579882148843159111106574955509790196812618254848857854461550714631444034921517907250365,165078821568186174782496283155142200,97336,4477456,48,2687348496,21921834086683418,83318804148028351409201335290659562069258599933450396080176273483,1,15,60060,3,237,137,410795449442059149332177040,207915629812563503607757047978543,39532221379621112004,515100,1529755125849,23456248059221,1,-23,1,463,6,32122956998390482494366629620388019345854961856039062186274778466796875,2210,1536638374367584,1,1,2,1,202605639573839043,142,8233430727600,13,106,1,4660046610375530309,48,812850570172585125274307760,108679967966404768511803431114031200,7540113804746346429,92,1,11142334464693,7799922041683461553249199106329813876687996789903550945093032474868511536164700810,373,1111111111111111111111111111111111111111111111,46,2162,635888739568958641449,7,4122901604639,7141075053842,121106762323,529,0,66,129,9419588158802421600,1,576,0,23,3700504228419367339559066583464100,61,204,74,1208084393349816600627797464813751091962028446166272810295826388744966197892613996221477957947028016614887348290312570137467785624375410767120715480052044209010161349038404826271503245914813018797431148298436396673125804456573841660982640000,16708584709124,93,4,92,415831259625127007215514095957086,47,216862434431944426122117120000,9,1026576,511,9,1013,-1,0,65,47,2,11,1680,596451111593912163277961,282,57567784186189368,1,13,9,2,5,6,3,3,1,139
1,1,10,2590,16,477611563049,4,1497215711538,2994414645860,6643838879,1,223,124754,2971215073,1497207322929,477355090753926460,94,140737488355328,18103111141539779470,66653739092046361122607412928512,33868773757191046886429490,37450059502461511196505342096431510120174682,199500252157859031027160499643195658166340757225472,5,7658,1129,345869461223138161,87538805156536364111038979478952318076715555898583131295016,258623241511168180642964355153611979969197632389120000000000,0,95142173561075514495155255703722230646355052796477224427894,10431293297155402482802854692699393505139790737029171312942869605933784940675072,3073415080289723782952312829064508016361883692178395131902257879025458234909234098619696267158091384403310411058565825930001907712,124,10749957122,1128,3637993036,140737488355327,26588814358957503287787,2182510316741992713753258761046053639906696856862219473549101193,1755511210260049172778020908173078657717675374080672665297567056535308458607,2209,18424,19807040628566084398385987584,3685937338417969594018553885287329185966616556932991085993905360613662523392,3877924263464448622666648186154330754898344901344205917642325627886496385062863,3290,35720,50817990724580425164559757643090736003482435671513413926813239886828210876247074897752122164140484881907534297068189565042330181,412189630805216773489544457234333696,103823,4879681,4,248758272,58481806621987010,5649570401186486930330812460375430692673276472202704742218853260093,5,15,120120,7,241,139,1625701140345170250548615520,1173964326073477816650882885177039,114956499435014161638,546312,2994414645858,46912496118443,12,24,76,521,9,2987435000850314871976096554696085799164511452611632783323554397412109375,3410,3693555574543651,2,5,2,2,489133282872437279,143,16123801841550,13,109,5,12200160415121876738,96,3217533506933149454210801550,710496811856518520237299474629019200,19740274219868223167,95,48,22284668929386,1645783550795210387735581011435590727981167322669649249414629852197255934130751870910,383,11111111111111111111111111111111111111111111111,4,2256,1887427033736750828037,9,11263976658481,19509779867759,217283353640,552,0,68,133,442720643463713815200,9,1152,0,23,23714213821465497360172916659856100,62,208,77,44425871064085694090519766383363025283133325637409980007352584913616096953093028995670128293852504574548127309105071999296752566897071251248613943419084825989398551552750647824016251964187517307768529067254195916039290535008396180011174509600888800000,33400722824284,95,3,94,2347928652146955633301765770354078,3,1192568192774434123539907640625,36,-1172700,9330,72,47840,0,1,66,2,3,10,1728,0,1,-90226777113575424,2,13,4,9,0,6,1,1,4,149
52,1,3,2910,42,990593118222,40,2932043766538,5864062367252,10749957122,0,227,147273,4807526976,2932031006720,1337946100045842285,97,281474976710656,51842285219378800562,493752322578482350104389200973824,131327898242169365477991900,628919796303118415420210454071849537746015761,6096278645568542158691685742876843153976539044435185,2,8350,1177,835002744095575440,4160447914743743481493415752650994742098972364266427782121294,12413915592536072670862289047373375038521486354677760000000000,0,4566824330931624695767452273778667071025042534230906772538913,1347137238494276547832006567721872890819326613454654477690085519113574118965817601,11599103698421392440286399297184183467010271709776972261027688975098301378885471296757929558770355004525438239637066875695626637541376,57,17393796001,1176,5191304973,281474976710655,79766443076872509863361,119246545116492797439729816142125417507373687912807249651750620193,217318610357404218391726139431237364690412307021441069019643116790287186264064,2304,19600,79228162514264337593543950336,443696329464513482441157930381471619255274387438096622906383081359827500269568,500702078263459319174537025249570888246709955377400223021257741084821677152403456,3432,38024,187833293645293026402007579184179892539001444997005361637080870116823642645755601678579681159136078780812233831035373097528077899745,1019253515891576791938652011091437835,110592,5308416,57,-1696965207,156192366474590639,391229145645351175841837029639030040330277058716846008212321196523435,2,15,120120,5,259,149,6435067013866298908421603100,6632973754276801154684587715682513,334496473194459009429,604800,5864061663920,93824992236885,2,-24,8,523,9,283806325080779912837729172696128150920628587998105114415737667754150390625,2451,8884204649055027,1,2,3,1,1180872205318713601,145,32247603683100,13,113,1,31940434634990099905,56,12738806129490428451365214300,4647985909007237458743106679064711300,51680708854858323072,96,2,44569336530174,367009731827331916465034565550136732339800312955331782619462457039988073311157667212930,393,111111111111111111111111111111111111111111111111,42,2352,5603455843421135356413,2,15386878263120,26650854921601,389838313476,576,1,69,139,442720643463713815200,1,96,0,24,152130274727401387126025621279561652,63,210,78,2757056837799682785131128160427177391364514555681228334699395276703924470374188081824181834066929162810109063386171105059264047749770365397424927046495936534703045359848635910115846808637416170901185969066691140301254984353794184824340493982562784921368816000000,66768552460640,97,2,96,13265947508553602309369175431365026,7,10409396852733332453861621760000,84,723680,34105,504,455192,0,0,68,7,4,9,1800,-5609403368997817686249127547,46410,140752796480416011,3,13,9,4,-20,6,48,200,1,151
2,2,6,3264,20,2056919312373,9,5744404057034,11488774559636,17393796001,1,229,173525,7778742049,5744387279808,3754194185716399992,98,562949953421312,148558992149369434381,3693131798996707683989545021542400,509552245179617138054608572,10726137154573358400342215518590002633917247281,190169564657928428175235445073924928592047775873499136,3,9042,1226,2015874949414289041,201884604850043842449716560510271296975959376129652012881253393,608281864034267560872252163321295376887552831379210240000000000,1,223774392215649610092605161415154686480227084177314431854406736,177635683940025046467781066894531250000000000000000000000000000000000000000000000000,45608516616801111821043829531451697185581949239892414478770427720660171869441004793654782298700276817088804993740898668991870306963423232,93,28143753123,1225,7391026522,562949953421311,239299329230617529590083,6643171601729865789426440400866268486585739618461136083893037867313,27492596703964827506775644239221895731006665580707234238573173859460696305424849,2401,20825,316912650057057350374175801344,54558728656830641653679947338389252787593117345125315397976612980237564943269888,66009724686219550843768321818371771650147004059278069406814190436565131829325062449,3577,40425,723653438103385777657187661736782292986259565181067232760712431055015669043224647591792236141452770950810842191949814198134897708964641,2496774105950716692603315123199672320,117649,5764801,31,611981400,417612400765382272,27656793065414932606012896651489726461435178241015434306518713649426461,2,15,180180,1,261,151,25477612258980856902730428600,37500380783381913572612470593205809,973899740488107474693,612468,11488774559616,187649984473771,4,25,43,569,9,27529213532835651545259729751524430639300973035816196098326553772152587890625,3255,21383602613828364,2,3,3,2,2850877693509864481,146,63205303218876,13,116,2,83621143489848422977,90,50445672272782096667406248628,30426054945480277365983787382745806500,135301852344706746049,99,8,89138673060348,83311209124804345037562846379881038241134671040860314654617977748077292641632790457335110,404,1111111111111111111111111111111111111111111111111,20,2450,16639279789182494873661,9,42037733184721,72811489710961,699427308155,600,3,70,144,3099044504245996706400,2,1368,4,24,976929766537173961860539903159455956,64,216,79,288752298802436114246747537242118266012906118363197861999022825783778866218465671911631578932471209777165803498066875419610588150652688419918989335602694190701589118637780111036243060538854352640307229677777695147559693833738463687530013825448428334732272646683849360000000,133471383694720,99,3,98,75000761566763827145224941186411618,5,58435841445947272053455474390625,126,-269325,42525,3024,1310354,0,1,69,2,5,8,1920,0,1,-218578429975461888,4,13,5,9,0,6,2,2,2,157
5,1,4,3658,32,4275826741501,2,11259024569838,22517998808028,28143753123,0,233,204226,12586269025,11258999068416,10545233702911509534,100,1125899906842624,425976989835141038353,27886995605342342839104615869259776,1978261657756160653623774456,185724268771078270438257767181908917499221852770,6053285248188621896314383785111649088103498225146815121,3,9828,1276,4866752642924153522,9998536053138104925695189921952774950339069576986649760326333504,30414093201713378043612608166064768844377641568960512000000000000,2,11188719610782480504630258070757734324011354208865721592720336801,23906104021463695675944970232802506562109352795956288572339180887929402783866828065001,186692799066534977615992898281061747432550509816834287947349938718378281122719555175454266925299155563954320693512714629647725501158308970496,72,45537549124,1275,10499640707,1125899906842623,717897987691852588770249,377206114457265653574973072119481598194645308256729821124493290170051,3552713678800500929355621337890625000000000000000000000000000000000000000000000000,2500,22100,1267650600228229401496703205376,6850001173973904748957636607981747909339510635183093671870187559786896636537470976,8881784197001252323389053344726562500000000000000000000000000000000000000000000000000,3725,42925,2903528346661097497054603834764435875077553006646158945080492319146997643370625023889353447129967354174648294748510553528692457632980625125,6060574415413720999542378222812650932,125000,6250000,72,-1740295368,1117743651746953270,1995015910118319790635433747742913123711612309013079035980385090523556363,1,15,180180,0,267,157,100891344545564193334812497256,212141771616845919130216540310379699,2837208756709314025578,647460,22517997465744,375299968947541,2,-25,21,571,5,2725392139750729502980713245400918633290796330545803413734328823443106201171875,2900,51501493576783437,2,2,4,2,6882627592338442563,155,126410606437752,14,117,1,218922995834555169026,72,199804427433372226016001220056,199293672373583488061784498821082334140,354224848179261915075,101,3,178277343463830,19078266889580195013601891820992757757219839668357012055907516904309700014933909014729740190,414,11111111111111111111111111111111111111111111111111,16,2550,49419934162239477797703,7,57424611447841,99462344632562,1254875530736,625,0,72,147,3099044504245996706400,1,744,12,25,6279637416419310146079010218077573160,65,220,82,51035701325314006420213168168351100383125879381180156868801989649661039395631326565780088892404166585831785525132346915937762296023715320125281923879857781769607579254738597327075216222508099349691594434101830762986128297279936693353154802663293547410060463701055094369703791200000000,266811455234912,101,4,100,424283543233691838260433080620759398,17,520469842636666622693081088000000,126,63273,22827,15120,1310354,1,1,70,3,6,7,2048,495057205241079648212477525,66,337945040343588276,5,13,9,5,21,6,8,11,1,163
1,1,6,4097,24,8897820358722,3,22076502318624,44152937528384,45537549124,1,239,239943,20365011074,22076468760335,29650945107763261531,103,2251799813685248,1222179262369751914558,212543585555177727038581866946379776,7684785670514316385230816156,3263983870004111524856951830191582524419255819477,196535694915671808914892880726989984967498805398829268992,4,10614,1327,11749380235262596085,505196616699593180342002521618930465247953555278076516348517981444,1551118753287382280224243016469303211063259720016986112000000000000,0,570624700149906505736143161608644450524579064652151801228737176850,3282241447579464845659190667144261053295353121076460820660635494960385420292139094376448,794923268363837296825215844059079951502839696539875280526305449941401347934632528787725778885236384823116116040368113556143473620707300450762752,98,73681302247,1326,14883573114,2251799813685247,2153693963075557766310747,21822047135945659826977501301945283625524114068699928528035879532258301,468747137675758738744019024172598167884497113646201736712532958586851034977780942451,2601,23426,5070602400912917605986812821504,877769301123692036678327370951121613855867654078253842008245429805792365673336274944,1219211305094648479473193481872927834667576992593770717189298225284399541977208231315051,3876,45526,12122937378929218210539295497856098807695880456925359878374031252051425324802983023259164661895562465602169682143385407744646483057903979627101,14581598453215019997540391326153984000,132651,6765201,14,850430336,2994664179967370611,146788177561136377730260697283316629866051820967153919629411814586229605373,2,15,180180,5,273,163,399608854866744452032002440112,1200796887336896148680723089518807003,8270140811590103129028,721392,44152937520670,750599937895083,4,26,46,599,9,275264606114823679801052037785492781962370429385126144787167211167753726318359375,3570,124115016908960463,2,3,2,1,16616132878186749607,158,247959266474052,14,121,3,573147844013817084101,84,791532924062974587678774064068,1306164582615216509992597891759417970640,927372692193078999176,102,8,356554686927660,4445236185272185438169240794291312557432222642727183809026451438704160103479600800432029464270,424,111111111111111111111111111111111111111111111111111,12,2652,146809908211050225267003,12,156886956080403,271736178976085,2251431395067,650,2,74,148,3099044504245996706400,4,1728,0,25,40402950169792165272295390336268227356,67,222,83,15222663055482954328896751815716893514260904854921964012807097512115423351974808583745556619584047258759800617545666392906939699519377198825954869764436175274244415614003520147133776872373311388995376466686547907834088943573080546591936943481889541357199590627417623579784775462094931878000000000,533360546236403,103,3,102,2401593774673792297361446179037614006,13,2980227913743310874726229193921875,84,-9450,5880,60480,455192,0,0,72,2,7,6,2160,0,1,-520271697765971968,6,13,7,9,0,6,3,3,2,167
5,2,2,4582,52,18534868985473,8,43303893547956,86607686432616,73681302247,0,241,281589,32951280099,43303842570870,83453838443384019701,104,4503599627370496,3508609802706585591648,1634780361427637211832917276278628352,29869166945772625950142417512,58205338024195872785464627063218599149503972126463,6506162486684608847715870634080822983483644236765385576565,3,11514,1379,28365513113449345692,26030241404752649721961503112329169891498838348499851613993258417372,80658175170943878571660636856403766975289505440883277824000000000000,1,29672484407795138298279444403649511427278111361911893663894333196201,459563172924956832688256726794428783368555719409163034801983601501447558663211760401059441,3518099302774480132955727650072746427146394056546029941974206008059819017892763499985629433255960303845173398006679743581640620702244711779077718016,54,119218851371,1378,21053676445,4503599627370495,6461081889226673298932241,1285795263136375545562501300195686138032638213021431594520237701888974953,63120027838066631647292128214312712563372175405316554243473759518468950390233444122624,2704,24804,20282409603651670423947251286016,114750924643298872630939322892833939023765804548627257148842142801002607756374039330816,170676555274132171974277914691501574771358362295975962674353045737940041855191232907575296,4030,48230,52630642496169907060022407358423666139200442518073843505404940449800003302063127338662338497391497609499419661748773660506383501215821938795634505,34782974253512490652111111930326416268,140608,7311616,54,-1596055698,8031081780535296591,11012069943086163504795579947992458193990796847590859607173763880168176185195,1,16,180180,8,283,167,1583065848125949175357548128136,6800738671816200263883634106524384509,24119587499879368045581,885720,86607683851185,1501199875790165,1,-26,1,601,5,28352254429826839019508359891905756542124154226667992913078222750278633810791015625,2810,299284329327592851,1,1,2,2,40114893348711941777,159,495918532948104,14,122,1,1500520536206896083277,54,3136262529306125724764953838760,8565425435995939036682228482499260153620,2427893228399975082453,105,1,713109368541588,1062411448280052319722448549835623701226301211611796930357321893850294264731624591303255041960530,434,1111111111111111111111111111111111111111111111111111,52,2756,436205201395400255875959,5,214311567528244,371198523608647,4039399293761,676,2,75,151,3099044504245996706400,1,336,8,26,260185768928313720578563136519408334208,68,224,85,7662564721668273746864833414708523059281601295722531423725149410425674636380892167513994988323148421987293338546485589399494427602046381648832195083932434853148365118794697418498919465731955642975133614275964265558002457653468998303677337548088574842550891182501392673712142144152652393973965035140000000000,1066196883114136,105,4,104,13601477343632400527767268213048769018,53,27064431817106664380040216576000000,36,870,750,181440,47840,-1,1,74,53,8,5,2304,-801165718135489957347924991853,1590,797652526220573580,7,13,9,7,-8,6,8,11,1,169
1,2,8,5120,18,38647382629145,4,84973644983780,169947155749832,119218851371,1,251,329931,53316291173,84973577874915,235105687101888719584,107,9007199254740992,10078062032127180323468,12687046810296879017839174357490376704,116157871455782434250553845880,1052928518014714166107781298021583534928402714242132,219523439106761591280258358007964245987752702449505540243456,4,12414,1432,68480406462161287469,1367188969208247415998970590424130014438332870712629916890494158002988,4274883284060025564298013753389399649690343788366813724672000000000000,1,1572641673613142329808810553393424105645739902181330364186399659398652,65594778611308134080157061806172605789626085889570601355761291541899118216862184597266366464,16171785887452159717110186706465251339772092481623917128707035197278214349579591086004226144662800376934587303929487648121879940556494332174486336438272,120,192900153618,1431,29720561230,9007199254740991,19383245667680019896796723,77136433624791542422918303067788152318537061857058106968273806178793355813,8671003262735034579023711826309977044689730554889868581169501915121652050249278498133197,2809,26235,81129638414606681695789005144064,15298460934457696092903454429602948504269642647140590771690783069855406080552770948038656,24356848165022712132477606520104725518533453128685640844505130879576720609150223301256150373,4187,51039,237407307193676634703461698760652651633454428419287776842645279528164787872297417395385346705721704571478255056084593759586258920375695854688654461561,82282309236048637946346570669250805760,148877,7890481,40,1758697920,21557771913572630901,842014110931079332783532220015836831045327371743757452358691609460390022991581,3,16,360360,2,285,169,6272525058612251449529907677520,38536889636442988510011627147957814133,70380687801729972163737,976500,169947155749830,3002399751580331,7,27,66,617,7,2976986715131818097048377788650104436923036193800139255873213388779256550133056640625,4100,722086038540594854,2,4,4,1,96845919575610633161,161,973469712824056,14,125,2,3928413764606871165730,108,12428892245768720464809261509160,56200126088515763642375073109736372959980,6356306993006846248183,106,20,1426218737083176,256041159035492609053110100510385311995538591998443060216114576417920917800321526504084465112487730,444,11111111111111111111111111111111111111111111111111111,18,2862,1296299845800770981294871,13,585510091136891,1014133226193379,7247276867411,702,0,76,156,164249358725037825439200,2,1296,8,26,1676993846770649234842381851731536416288,69,228,86,6509142317354295646409915831337630832075738781550168688866416004474810683647166535395845169252244466102607742491408785224750587364122893009061987492866747267066765303042870342801119895424487965235975056869532587388792365829289725327433044771161554797123955334063624644612750128975172815317629174160768255982850000000000,2131346383649578,107,5,106,77073779272885977020023254295915628266,3,157952079428395476360490147277859375,9,-45,45,362880,1013,0,0,75,2,9,4,2310,0,1,-1218002527825723392,8,13,8,9,0,6,1,1,2,173
15,1,4,5718,40,80660144452936,8,166800088109829,333599974893066,192900153618,0,257,386155,86267571272,166799986196480,662938933002209627441,109,18014398509481984,28963544938490115587690,99330405965961651244983790000257679360,451959718027953471447609509424,19317287589145618265728950069285503257349832850302011,7546659939008739098061432565889736744212240024711699858645581,4,13428,1486,165326326037771920630,73177675809416354021825467558669117190297926977573164659813539434623249,230843697339241380472092742683027581083278564571807941132288000000000000,0,84922650375109685809675769883244901704869954717791839666065581607527209,9540809681250034973565866501770328168700249765255186764678629884883775957860052585601806640625,77155782838093994905376802460595806757498056021116313197321330938331255608761145156539836404772101565447041628058815541548168678472159358567570089952935936,72,312119004989,1485,41871334614,18014398509481983,58149737003040059690390169,4709946652648844035682004844914021301665514703618151971107522154724874101523,1214718122431632112595501144558751959067149738695751876958542435961094781793744159208636416,2916,27720,324518553658426726783156020576256,2079176040809839271585776209199921015441179961931053308639068112389779344722942435075817472,3542118045010639240328481337533320712639808638036812473211109743262552383710557968252383789056,4347,53955,1111890094248282302497023358817578932825829534468708403452929407174064284980244814331727650672071012464829426226669534375777258933146494169710719722335885,193075525467822574167329529658775261720,157464,8503056,72,2582175960,57919180873148437753,65597557438735074090994025536102763729036609801731831726258639118200494570039243,1,16,360360,0,289,173,24857784491537440929618523018320,218485512042977398145305151653730733495,205473381836953330090977,979200,333599969907456,6004799503160661,2,-27,17,619,4,318537578519104536384176423385561174750764872736614900378433832599380450864237060546875,3172,1743130822668362889,2,2,4,1,233806732499933208099,166,1946939425648112,14,128,1,10284720757613717413913,72,49263609265046928387789436527216,368938646289542831658405169038432458575200,16641027750620563662096,108,3,2852437463539542,64266330917908644872330635228106713310880186591609208114244758680898150367880703152525200743234420230,454,111111111111111111111111111111111111111111111111111111,20,2970,3852976120787983994126457,8,799821658665135,1385331749802026,13002681389917,729,0,77,157,164249358725037825439200,1,960,0,27,10817905287614139803398626159587336172840,71,234,87,9331224425127160822471362997113977810257643517420392977003169494654866413721069894715523587779159156366823206066992198412062845492354457997990485565672797784841123924561684940585412023468060655347647333680690049167226434674467922310031594074061912319286278376645424219058014663340482572235208580945085235443102754796494000000000000,4260600070280660,109,4,108,436971024085954796290610303307461466990,11,1461479318123759876522171695104000000,1,1,1,362880,1,1,0,76,5,10,3,2520,29149963634884862421418123812691,798,1852604006634050072,9,13,9,8,1,6,20,45,2,179
2,2,8,6378,24,168496405966083,9,327534652572024,655069036708592,312119004989,1,263,451276,139583862445,327534518354199,1870953015095482429652,110,36028797018963968,83281891024323882188934,784430933721993118208299205304738021376,1759414616608818870992479875972,359334085968622831041960188598043661065388726959079837,264239411287900883270178745605712648488731058170551223831232512,5,14442,1541,399133058537705128729,3990020622756585547323357659282546576739433789536352563943665420207017062,12696403353658275925965100847566516959580321051449436762275840000000000000,0,4670745770631032719532167343578469593767847509478551181633606988413996494,1413648658336838689425757250322558119141468666297262325417185766401503043287576967313439143755776,381807444419614780189662392859619830441124071291644300207358125472693672789561939519311021421845843700709322527031932756005581575166224455132793052568372641792,120,505019158607,1540,58874385349,36028797018963967,174449211009120179071170507,292619712104570605474946344715618629945888031659478262707520281581304692729201,173469266931818817701197572759460512158186359368276122994156906997886835597455501556396484375,3025,29260,1298074214633706907132624082305024,287958010300235446074411738674360587979161299855385682547348189886961231000258903714748694528,524744532468751923546122657597368049278513737089035272057324643668607677682302892208099365234375,4510,56980,5403078659795293205619115494263476990474882718296420197408516010249814711845963278802717760330206627628886347827381068652979312079075986736179581399343212021,449497224123337477155078537760754122752,166375,9150625,8,-1414533120,155745431857549699124,5205049894621061289218474196429496131424689228776492639353576072201983803315390653,3,16,360360,9,297,179,98527218530093856775578873054432,1239326915845038050044360149141574744711,600161698382141668958313,1024128,655069036708398,12009599006321323,7,28,64,641,9,34720596058582394465875230149026168047833371128291024141249287753332469144201839599609375,4250,4210157426126929793,2,4,2,2,564459384575477049359,169,3824345300380220,14,130,4,26925748508234281076009,96,195295022443578894680165266232892,2423210784425567315944099994775276777059520,43566776258854844738105,111,20,5704874927079084,16516447045902521732188973253623425320896207954043566485360902980990824644545340710198976591011245999110,464,1111111111111111111111111111111111111111111111111111111,6,3080,11454090403374820987810053,11,2185153408467161,3784796725797431,23328724221849,756,0,78,163,164249358725037825439200,8,1728,0,27,69840235301173540668037456291763333807352,73,240,89,22574491195495806131020252163260820778964503501297912564549145029217615677864715233495209189767624880503615342411743608661843204000860428587492948733290885122530226982370617968828798242906063510024842339202052588878865568399781003634898029409766098868812352351111200618930889400487486517208072559292970015484245287784858274404813420000000000000,8517018874559019,111,3,110,2478653831690076100088720298283149489422,7,8687364368561751199826958100282265625,1,3628800,1,1,1,0,1,77,2,11,2,2592,0,1,-2807138079496716288,10,13,1,10,-1,6,3,3,3,181
13,2,4,7108,36,352290103749902,5,643371579062292,1286742755471400,505019158607,0,269,526823,225851433717,643371375338640,5284664207525664213829,112,72057594037927936,239588251950971630070883,6247603261849883936682407655318910386176,6852456927844873497549658464312,6775685320645824322581483068371419745979053216268760300,9420321896420241204202286237690583227209388852599646009394905945,3,15596,1597,963592443113182178088,221539122502367171521059647095949086262052846940195225310923132448987783056,710998587804863451854045647463724949736497978881168458687447040000000000000,0,261561763155337832293801371240394297250999460530798866171481991351183803665,213300521695988843524320705128984847022902559806761436438426943861538361158299673293936275523784001,1958398663290413156717011991725807974770028437591398543402412342038670128566552483950476964259280405845221831917016794290911384499992922792670554147395166332256256,80,817138163596,1596,82623976486,72057594037927935,523347633027360537213511521,18492246485240270421743489874039024658046992844456175806345410455991944811418001,25243726041729262311174236612902823556097654755308255811021174400026840058706731559168556138496,3136,30856,5192296858534827628530496329220096,40626526745254753428939861102009560932481609031158997218881020949847295659053890804404581302272,79164324866862966607842406018063254671922245312646690223362402918484170424104310169552592050323456,4676,60116,27223410855722270213715341445890954891150192452564467008366005911126658490094311265116229345791312467273661582061462389296672527429047120477605834230481160137265,1038483010587949794068925153685932435825,175616,9834496,80,2686677840,419149571193411829372,420520781550767894712366209445415465306816295045705598146805775889435782311291398955,1,16,360360,7,303,181,390590044887157789360330532465784,7033292023264506862542551780260402287369,1753816895177229449263803,1123980,1286742745883790,24019198012642645,2,-28,23,643,6,3853986162502645785712150546541904653309504195240303679678670940619904075006404195556640625,3620,10173859583519033930,2,2,4,2,1362725501650887306817,177,7648690600760440,15,136,1,70492524767089125814114,80,774327632846470705223111406467256,15923573648667567272266673527613832841413720,114059301025943970552219,113,3,11409749832904548,4343825573072363215565699965702960859395702691913457985649917484000586881515424606782330843435957697765930,474,11111111111111111111111111111111111111111111111111111111,18,3192,34056162405439687297817523,3,2984975067132296,5170128475599457,41855164920436,784,0,80,169,164249358725037825439200,1,192,0,28,451239121484868625949577538542723175266120,74,246,91,92163939279264005472070332661648145283296456255041190774952445828885902493687902268136313016571611451450210382811229709821588465830842003009720963705845101360683281749521258567277638156025427143101328313242211534710367635906046005811903791399554101148104428729676321019953333666524921565581857607786940601634373010729454209710080870619117669200000000000000,17034037749118038,113,2,112,14066584046529013725085103560520804574738,19,81842841814930553085241614925824000000,10,-10628640,1023,10,2036,1,1,78,3,12,1,2880,-2479392929313226753685415739663229,870,4237760460302936433,11,13,10,1,0,6,20,45,1,191
