glider_all_len100_snrinf_init0_obsxy,glider_all_len100_snr30_init0_obsxy,glider_all_len100_snr13_init0_obsxy,glider_all_len100_snrinf_init1_obsxy,glider_all_len100_snr30_init1_obsxy,glider_all_len100_snr13_init1_obsxy,glider_all_len100_snrinf_init2_obsxy,glider_all_len100_snr30_init2_obsxy,glider_all_len100_snr13_init2_obsxy,glider_all_len100_snrinf_init3_obsxy,glider_all_len100_snr30_init3_obsxy,glider_all_len100_snr13_init3_obsxy
46.45957708358765,47.52176547050476,46.5842182636261,59.76385235786438,55.859565019607544,42.7741014957428,53.607643842697144,31.36565065383911,15.433990716934204,14.551598072052002,16.700563669204712,17.414172887802124
0.3020177042606397,4.986173787408554,,1.5779952053550823,,2.0564704434614387,3.246762344650544,,,0.3509713463438039,1.1038896667542164,
(0.010243252522946903 - 0.000399465577287408*x_1)*(152.5844296356636 - 57.79098536630424*x_0) + 0.9500000000000001*sin(0.08387661156212516*x_0 - 1.06524153943309*x_1 + 19.783737115421547) - 0.36000000000000004,-3.2623521111996504e-9*x_1 + 1.0085148993080732e-8*tan(-1.0199784118914821*x_1 + (0.30390870403190436 - 0.012962157329120191*x_1)*(0.8510999754803276*x_0 - 2.4316199188532119)*(15.1626020757994*x_0 - 14.627574603376983)*(0.003860961527047767*x_1 + 37.455096008680951) + 19.404103409607345) - 0.48546081452360927,(-1.0546186593318559e-5*sin((75.98504566048719*x_0 - 235.69281361968935)*(-0.0017487389072519805*x_1 - 3.9940589436020056)) - 0.0022092625715313383)*(-tan(7.1959677559898789*x_1 - 127.2449056732441) + 171.7937035962553 + 3.1222393361633127/(0.28936203293533797*x_0 - 0.08730053562582011*x_1 + 27.26331754319153)),0.015052520804291838*x_1 + 0.9900000000000001*sin(0.016489237576943834*x_0 + 0.96766205170447521*x_1 - 9.005277403090187) - 0.2435514839519162,(-0.409021180246585 + 1/(0.064998541550435841*x_1 - 77.44285092453305*sin(0.042899367054375395*x_1 + (0.026702753834710907 - 0.083250687697049532*(0.17068145288152865*x_1 - 1)**2)*(-38.577681606222158*sqrt(1 - 0.20343770410787793*x_0) - 94.11083024895318) + 3.6838551284269935) + 6.8571393038862246))*(0.00020935249972964241*x_0 - 6.3808129551026)*(0.0006729549664471441*cos((0.016688125976641103 + 73.12649287238115/(0.21243466092106583*x_1 - 2.3325873136246243))*(-0.069616915033137264*x_0 - 60.55903499725599)) - 0.05977761849679603),(1.0192593228200018 - 3.582276779089304*(0.564692995114415*cos(0.00096063953389305177*x_0 + 0.59724933026183453) - 1)**2)*(137.20627577158218*x_0 - 57.94214689495089*sin(11.88002199977974*x_1 - 117.17536642187909) - 152.33625356471941),-0.14379765827915*x_0 + (6.8516512623284497 - 2.66662746049309*x_0)*(0.01792920169683067*x_0 - 0.018381846371286844) + 0.0548*arctan(-0.8390000000000001 + 4.37/(0.028935607628437739*x_1 - 0.41653982242168146)) - 0.9600000000000001*cos(1.0058568366075975*x_1 - 14.312860493706068) + 0.03528638206412797,3.760839690259654*Abs(1.130592413875946e-9*x_1 - 4.84092659233006e-7*cos(92093.56592299964*(0.3903674019892164*x_0 - 1)**3 - 83.50407594412889) + 0.001568412735498899) - 0.3294412960444754,-9.118784200088607*sin(1.3852493277182171e-5*tan(1.1906541602406201*x_0 - 1.1029117353927412*x_1 + 15.425008479648316) - 0.12432969048381493) - 1.377357190569117,(32.007672553502442*x_0 - 1.020293501952206)*(0.00045971465229743695*x_1 - 0.0054081646944423576) - 0.9900000000000001*cos(0.99604841331111337*x_1 - 13.884356837958441) - 0.3,(-1.941714788015889e-6*cos(1.730346766824996*x_1 - 24.28199141825853) - 0.0015657377577749118)*(1.0446046115957812*x_0 + 0.29247312106879747*sin(21.606285718090496*x_0 - 48.849549220229722) + 212.02402482445259 + 0.5599493425048787/(117.3711006836267*sqrt(0.2568611549272685 - 1/(0.001229103862831032*x_1 + 66.88283667759467)) + 5.170603012272417)),(-2.2992067408976511e-9*(0.072442731134866179*x_1 + cos(34.407850767212844*x_0 - 79.882639913658442) - 0.84646992013352328)**2 - 0.016682042559673364)*(3.4596649888454377e-6*sin(81.81826334691019*x_0 + 30.6430024926832*sqrt(1 - 0.0071652555017750043*exp(-0.02070071164730212/(4.710014300275287*arctan(2.19824107269075*x_1 - 30.414949114797822) + 34.2999955368152))) + 7.199608887070757*arctan(42.920822538136264 - 0.010580704157807045*x_0) - 269.32305400679744) + 26.06920215475565)
-0.003942200743419883*x_0 - (1.3749591443446138 - 0.07563214929974927*x_1)*(Abs(0.2029813999803429*x_0 - 0.53627912876386928) + 0.052600000000000007 + 0.0497/(0.0719038039117335*x_1 + 82.89621454586956)) + (7.74 - 0.42100000000000004*cos(11.1051430485899*x_1 - 208.10242013792391))*(0.73680311915015991*(0.030791474734715835*x_1 - 1)**2 + 0.0671) + 0.8504153384511992,-(5.0925687400796e-7*sin(0.5704300553316869*x_0 - 13.10148005422559*x_1 + 236.96343851290424) - 2.976848193095573e-8)*(0.856970959746108*sin(0.042435097520594769*x_1 + 63.661476928003687) - 5.315235494103447*cos(0.30303813028860455 + 67.67959060264187/(0.040024812559203763*x_1 - 0.71150344761076872)) - 6.767324506180834) + 1.80084615786202*Abs(2.313363983635228e-6*x_0 + 1.3954158318009514) + 0.1700102637293028 + 1.2014168974225397e-7/(8.866986988385759*x_0 - 16.063862502679916),(2428.696591755902 + 1/(0.12636585581481607*x_1 - 1.1311833427015248))*(-3.097777944859365e-6*sin((55.09525491304569*x_0 - 145.94939961510464)*(0.29263901822198735*x_1 + 89.710368744722591)) - 0.0005668591902317042)*(0.003850392674140896*sin(20.300195384490168*x_1 - 256.12781461269923) - 1.352018739500254),0.92339730430885479*x_0 - (0.07830000000000001 - 2.05/((0.009862667031583616 - 0.71233506332397362*x_0)*(0.2423044557845723 - 0.001073029697334518*x_1)))*(0.044520941457748357*x_0 - 0.048341416689473987) + (0.1421304642642976 - 0.0011590441019304714*x_1)*(0.062659102792386579*x_0 - 0.17169162348888933) + 72.8*Abs(0.0021267061536349465*x_1 - 0.02436305966120645) - 0.152192346152053,(7.7646955801779483*x_0 - 58.705653555369227)*(tan(0.063091013925825925*x_0 + 5.8040185733935349*x_1 - 55.92654087806943) + 276.4109607090759)*((0.9298005961586446 + 13.45146661818725/(0.45311978062522498*x_0 + 30.447750672842392))*(0.0024966485057447865*x_0 + 0.53861007453592659) - 6.9638912937532517e-5*(0.73075726501686378*x_0 - 1)**2 - 0.7387876162492671),(7.894582712914426e-6*sin(2687597.8030195929*(0.0043189523036247158 + 1/(-0.992 + 0.027503575232385073*exp(-76.5*arctan(-0.00166 + 1.1300000000000001/(-0.09281723256282342*x_0 - 0.17890423333515699)))))**2*(1 - 0.12080135864795808*x_1)**2 - 0.008672288897702761) + 0.0012586256264963032)*(-2.9056737777213503*x_0 - 22.724265947305792*cos(3.3338731810903012*x_1 - 107.48238387738678) + 791.80312275485246),(-0.0081302649924862211*(1 - 0.038928702242429621*x_1)**2 - 0.00715)*(6.8225449796978259*sqrt(1 - 0.1126869598501324*sqrt(1 - 0.7241025641025642*sin(4.13 - 0.0541/(0.00907381425976659*x_0 - 0.020450406513793392)))) - 0.9510000000000001)*(0.91011176126044*x_0 - 65.168651383197317*sqrt(0.00079569536130017986*x_1 + 1) - 2.0179277345830885) - 1.39845782203111*sqrt(arctan(0.22752508258174574 - 0.015835944645931658*x_0) - 0.00114325068870523) - 0.129,(2.852553725356177*cos(4.044139512714492*(0.4322881623476693*sin(8.708515689722216 - 90.30841012395487/(0.2808474983804327 + 44.06145905075574/(-425.77928558557944*sqrt(1.167193388919115e-40*exp(0.867713062613811*x_1) + 1) - 0.01822418481718467))) - 1)**2 - 4.716174787670228) + 2.811745218490924)*(0.1368632590873519*x_1 + 0.0002420817973492887*tan(12.187749605435111*x_0 - 31.240399550248076) - 233.77111811896646),(0.3563745038950407 - 69.01433891492566*sin((15.069934857670759 - 1.0084893604842943*x_1)*(-19.367166664428538*sin(2.3508457287646816 - 90.4757547764033/(-190.60836530582813*(1 - 0.33131262112339031*x_0)**2 - 8.340132049498921)) - 6.394169050490943)))*(-3.1830057609731625e-10*tan(8.86836788112815*cos(0.42170382172083806*x_1 - 6.1975544938291366) + 4.126006551653317) - 3.8001784028722845e-9) - 0.0004916090772475306*sin(0.0011216701845035475*x_1 - 0.016848118589845526) + 4.225792171947594,-0.11588180478678926*x_1 + 0.0154*Abs(40.009590691878053*x_0 + 4.7963408818148489*x_1 - 157.03967158396571) + 3.5844274350770674,-16.16506908987847*((0.009438523582096351 - 1.7850782558612257e-10*cos(115.80844467512333*(0.28957266312601816*x_0 - 0.0026049186977128691*x_1 - 1)**2 - 0.7409944367002086))*(0.00040199382275925048*x_0 - 92.158995411057107) - 1.1126612551719177e-7*Abs(1.258670595316719*x_1 - 11.94685223244787) - 0.046336471964928634)**3 - 7.208561047261548 + 11.225263760866651/(-3.002482393628679*sqrt(0.001111752536530698*(-0.1018613737512139 - exp(-0.01389417257863101*x_1))**2 + 1) - 0.9423384063955298),(3.5280959746191139*(-arctan(90.53632771109902 + 1.1706699869626838/((0.0798002476769723 - 5.790922903960782e-22*exp(0.00359/(0.3954068910959965*x_1 - 5.1505212100772406)))*(1.6559304162131235 - 0.1876906959265357*x_1))) - 0.1425983162339874)**3 - 0.4438013909987091)*(-0.000732903347894207*cos(42.961921341282823*x_0 - 94.658272922658674) - 0.22449567622339295 + 1/(1.6546728019324357e-11*exp(8.822433395094673*x_0) + 10.293058447278822))
,,,,,,,,,,,
