	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
11	179	89	454	0.019525049364804772	0.019525049364804772	-0.982*x1*(x1 + (-2*x1 - 227.124)*(x1 - x2 + 1.171)/(229.206*x1 + x2 + 210.992) - 2.964)	x2*(0.999*x1/(x1 - x1*(-x1*(x1 - 5.922) - 0.717*x2)*(-x1*(x1 + 1.567) + x2*(1.626*x1 - x1/x2))/(x2**2*(x2 + 3467.909)) + 0.998) - 0.075*x2 + 1.0) - x2	179	dso	allonger	predprey	inf	1
10	178	68	383	0.01955333728227221	0.01955333728227221	-0.982*x1*(x1 + (-2*x1 - 227.124)*(x1 - x2 + 1.171)/(229.206*x1 + x2 + 210.992) - 2.964)	x2*(0.997*x1/(x1 - x1*(-x1*(x1 - 2.699) + x2 - 1.288)/(x2*(x2 + 803.542)) + 0.996) - 0.075*x2 + 1.0) - x2	178	dso	allonger	predprey	inf	1
9	174	51	335	0.01956842228432982	0.01956842228432982	-0.982*x1*(x1 + (-2*x1 - 227.124)*(x1 - x2 + 1.171)/(229.206*x1 + x2 + 210.992) - 2.964)	x2*(1.001*x1/(x1 + 1.002 - 0.004/(x2 + 1.345)) - 0.075*x2)	174	dso	allonger	predprey	inf	1
8	173	47	312	0.019630452978785486	0.019630452978785486	-0.982*x1*(x1 + (-2*x1 - 227.124)*(x1 - x2 + 1.171)/(229.206*x1 + x2 + 210.992) - 2.964)	x2*(1.001*x1/(x1 + 1.001) - 0.075*x2)	173	dso	allonger	predprey	inf	1
7	171	44	284	0.01967670669217253	0.01967670669217253	-0.982*x1*(x1 + (-2*x1 - 227.124)*(x1 - x2 + 1.171)/(229.206*x1 + x2 + 210.992) - 2.964)	x2*(1.001*x1/(x1 + 1.001) - 0.075*x2)	171	dso	allonger	predprey	inf	1
6	143	41	247	0.0639036084097871	0.0639036084097871	x1*(-x1 + x1*(x2 + 0.024)/(x1 + 1) - 0.999*x2 + 3.981)	x2*(1.001*x1/(x1 + 1.001) - 0.075*x2)	143	dso	allonger	predprey	inf	1
5	141	38	219	0.06396863107324564	0.06396863107324564	x1*(-x1 + x1*(x2 + 0.024)/(x1 + 1) - 0.999*x2 + 3.981)	x2*(1.001*x1/(x1 + 1.001) - 0.075*x2)	141	dso	allonger	predprey	inf	1
4	139	35	191	0.5446493923735396	0.5446493923735396	x1*(-x1 + x1*(x2 + 0.024)/(x1 + 1) - 0.999*x2 + 3.981)	0.417*x1 + 3.57*x1/(x1 + 0.708) - 0.417*x2	139	dso	allonger	predprey	inf	1
3	32	15	105	1.0708854554439773	1.0708854554439773	-0.437*x1*(x2 - 5.643)	x1 + x2*(-0.03*x2 - 0.034)	32	dso	allonger	predprey	inf	1
2	31	11	73	1.3090282747334812	1.3090282747334812	-0.437*x1*(x2 - 5.643)	x1 - 0.246*x2	31	dso	allonger	predprey	inf	1
1	1	10	48	2.6497412220606806	2.6497412220606806	0.731 - x1	x1 - 0.246*x2	1	dso	allonger	predprey	inf	1
0	0	8	46	4.672136384370727	4.672136384370727	0.731 - x1	x1 - 1.211	0	dso	allonger	predprey	inf	1
