	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	exp_type	data_version	system	snr	init
0	9	12	5.1601673078176	5.653658414742476	1.296*y	-1.576*x	0.197*y	0	proged	numdif	all	lorenz	13	2
1	10	14	5.158334006959063	5.651468345022584	1.296*y	-1.576*x	0.283*x*y	1	proged	numdif	all	lorenz	13	2
2	11	17	4.712538468262544	5.114353118215334	1.964*y - 10.419	-1.576*x	0.197*y	2	proged	numdif	all	lorenz	13	2
3	13	20	4.7016897491442355	5.061331900395844	1.964*y - 10.419	-0.018*x**3	0.197*y	3	proged	numdif	all	lorenz	13	2
4	36	68	3.936591078806962	4.1162912671328415	-0.133*x*z + 3.93*y	-0.141*x**2 - 0.363*x*z + 4.729*x + 2.801*y + 1.576*z - 18.162	0.507*x*y - 1.232*z	4	proged	numdif	all	lorenz	13	2
5	18	33	4.6759751593852155	5.109053154904125	-0.135*x*z + 4.117*y + 0.462*z - 14.035	-1.576*x	0.197*y	5	proged	numdif	all	lorenz	13	2
6	20	36	4.2908382989772305	4.667749726705674	-0.135*x*z + 4.117*y + 0.462*z - 14.035	-1.576*x	0.21*y**2	6	proged	numdif	all	lorenz	13	2
7	22	39	4.101552620288898	4.461716863663851	-0.135*x*z + 4.117*y + 0.462*z - 14.035	-0.018*x**3	0.21*y**2	7	proged	numdif	all	lorenz	13	2
8	40	80	3.603985553866684	3.731422229543908	-0.135*x*z + 4.117*y + 0.462*z - 14.035	-0.141*x**2 - 0.363*x*z + 4.729*x + 2.801*y + 1.576*z - 18.162	0.507*x*y - 1.232*z	8	proged	numdif	all	lorenz	13	2
9	35	63	3.978151322177437	4.255972677533702	-0.128*x*z + 4.03*y - 3.238	-0.24*x*z + 3.64*y + 0.606*z**2/(z - 1.386)	0.507*x*y - 1.232*z	9	proged	numdif	all	lorenz	13	2
10	37	73	3.804081597385727	3.945513962472625	-0.128*x*z + 4.03*y - 3.238	-0.141*x**2 - 0.363*x*z + 4.729*x + 2.801*y + 1.576*z - 18.162	0.507*x*y - 1.232*z	10	proged	numdif	all	lorenz	13	2
11	28	51	4.0898937472254975	4.410945787611592	-0.128*x*z + 4.03*y - 3.238	-0.244*x*z + 3.793*y + 0.629*z	0.507*x*y - 1.232*z	11	proged	numdif	all	lorenz	13	2
