  complexity    length       TE    TE_inf  expr_x                                 expr_y                                             expr_z                               index_column  method    exp_type    data_version    system      snr    init
          11        16  6.44233   7.63742  0.597*y                                -0.029*x*z                                         0.178*x*y                                       0  proged    numdif      all             lorenz       13       3
           9        12  7.58067   9.26112  0.597*y                                0.16*z                                             -0.888*y                                        1  proged    numdif      all             lorenz       13       3
          10        14  7.51076   9.26921  0.597*y                                0.16*z                                             0.178*x*y                                       2  proged    numdif      all             lorenz       13       3
          26        47  4.98794   5.33031  -0.095*x*z + 2.984*y + 1.081*z - 30.0  0                                                  0.34*x*y - 2.796*y                              3  proged    numdif      all             lorenz       13       3
          25        45  5.08139   5.53975  -0.095*x*z + 2.984*y + 1.081*z - 30.0  0.001*x**4                                         0.34*x*y - 2.796*y                              4  proged    numdif      all             lorenz       13       3
          36        73  2.80055   2.71995  -0.095*x*z + 2.984*y + 1.081*z - 30.0  -0.242*x*z + 4.82*x + 1.675*z - 30.0               -0.011*x**2*y + 0.404*x*y - 22.08               5  proged    numdif      all             lorenz       13       3
          32        63  2.88859   3.01136  -0.095*x*z + 2.984*y + 1.081*z - 30.0  -0.242*x*z + 4.82*x + 1.675*z - 30.0               0.34*x*y - 2.796*y                              6  proged    numdif      all             lorenz       13       3
          42        84  2.78372   2.73755  -0.095*x*z + 2.984*y + 1.081*z - 30.0  -0.21*x*z + 3.42*x*z/(z - 2.373) + 1.733*z - 30.0  -0.011*x**2*y + 0.404*x*y - 22.08               7  proged    numdif      all             lorenz       13       3
          21        34  6.12652   7.17865  3.318*x*y/(x + 2.092) - 2.526*x        -0.029*x*z                                         0.178*x*y                                       8  proged    numdif      all             lorenz       13       3
