	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	exp_type	data_version	system	snr	init
0	16	28	7.337660862124158	7.337660862124158	0.529*y	-0.035*x*z	0.743*x*y - 3.061*z + 29.53	0	proged	numdif	all	lorenz	inf	0
1	19	35	6.884090433480642	6.884090433480642	0.529*y	-0.035*x*z	0.614*x*y - 1.434*y - 2.311*z + 30.0	1	proged	numdif	all	lorenz	inf	0
2	9	12	10.166968653423089	10.166968653423089	0.529*y	0.167*z	-1.287*y	2	proged	numdif	all	lorenz	inf	0
3	29	59	2.6457618321272838	2.6457618321272838	-7.786*x + 7.833*y - 0.321	-0.202*x*z + 3.646*y + 1.661*z - 30.0	0.743*x*y - 3.061*z + 29.53	3	proged	numdif	all	lorenz	inf	0
4	32	66	2.5250031368019528	2.5250031368019528	-7.786*x + 7.833*y - 0.321	-0.202*x*z + 3.646*y + 1.661*z - 30.0	0.614*x*y - 1.434*y - 2.311*z + 30.0	4	proged	numdif	all	lorenz	inf	0
5	34	69	2.486971532409846	2.486971532409846	-7.792*x + 0.086*y**2 + 8.69*y - 13.699	-0.202*x*z + 3.646*y + 1.661*z - 30.0	0.743*x*y - 3.061*z + 29.53	5	proged	numdif	all	lorenz	inf	0
6	37	76	2.3391460073880683	2.3391460073880683	-7.792*x + 0.086*y**2 + 8.69*y - 13.699	-0.202*x*z + 3.646*y + 1.661*z - 30.0	0.614*x*y - 1.434*y - 2.311*z + 30.0	6	proged	numdif	all	lorenz	inf	0
7	25	44	6.79378911468249	6.79378911468249	-7.813*x + 7.827*y	-0.035*x*z	-5.122*x*y/(x - 15.219) - 6.906*y + 3.345	7	proged	numdif	all	lorenz	inf	0
8	13	19	9.237094543014816	9.237094543014816	-7.813*x + 7.827*y	0.167*z	-1.287*y	8	proged	numdif	all	lorenz	inf	0
9	27	49	3.1538129810971665	3.1538129810971665	-7.813*x + 7.827*y	-0.202*x*z + 3.646*y + 1.661*z - 30.0	0.762*x*y - 2.045*z	9	proged	numdif	all	lorenz	inf	0
10	28	54	2.654964128493727	2.654964128493727	-7.813*x + 7.827*y	-0.202*x*z + 3.646*y + 1.661*z - 30.0	0.743*x*y - 3.061*z + 29.53	10	proged	numdif	all	lorenz	inf	0
11	31	61	2.5337298268522757	2.5337298268522757	-7.813*x + 7.827*y	-0.202*x*z + 3.646*y + 1.661*z - 30.0	0.614*x*y - 1.434*y - 2.311*z + 30.0	11	proged	numdif	all	lorenz	inf	0
12	26	44	6.661713238116489	6.661713238116489	-7.813*x + 7.827*y	-0.242*x*z + 4.711*y + 0.554*z	0.762*x*y - 2.045*z	12	proged	numdif	all	lorenz	inf	0
