  complexity    length       TE    TE_inf  expr_x                                   expr_y                                                          expr_z                 index_column  method    exp_type    data_version    system      snr    init
           9        12  5.16017   5.65366  1.296*y                                  -1.576*x                                                        0.197*y                           0  proged    numdif      all             lorenz       13       2
          10        14  5.15833   5.65147  1.296*y                                  -1.576*x                                                        0.283*x*y                         1  proged    numdif      all             lorenz       13       2
          11        17  4.71254   5.11435  1.964*y - 10.419                         -1.576*x                                                        0.197*y                           2  proged    numdif      all             lorenz       13       2
          13        20  4.70169   5.06133  1.964*y - 10.419                         -0.018*x**3                                                     0.197*y                           3  proged    numdif      all             lorenz       13       2
          36        68  3.93659   4.11629  -0.133*x*z + 3.93*y                      -0.141*x**2 - 0.363*x*z + 4.729*x + 2.801*y + 1.576*z - 18.162  0.507*x*y - 1.232*z               4  proged    numdif      all             lorenz       13       2
          18        33  4.67598   5.10905  -0.135*x*z + 4.117*y + 0.462*z - 14.035  -1.576*x                                                        0.197*y                           5  proged    numdif      all             lorenz       13       2
          20        36  4.29084   4.66775  -0.135*x*z + 4.117*y + 0.462*z - 14.035  -1.576*x                                                        0.21*y**2                         6  proged    numdif      all             lorenz       13       2
          22        39  4.10155   4.46172  -0.135*x*z + 4.117*y + 0.462*z - 14.035  -0.018*x**3                                                     0.21*y**2                         7  proged    numdif      all             lorenz       13       2
          40        80  3.60399   3.73142  -0.135*x*z + 4.117*y + 0.462*z - 14.035  -0.141*x**2 - 0.363*x*z + 4.729*x + 2.801*y + 1.576*z - 18.162  0.507*x*y - 1.232*z               8  proged    numdif      all             lorenz       13       2
          35        63  3.97815   4.25597  -0.128*x*z + 4.03*y - 3.238              -0.24*x*z + 3.64*y + 0.606*z**2/(z - 1.386)                     0.507*x*y - 1.232*z               9  proged    numdif      all             lorenz       13       2
          37        73  3.80408   3.94551  -0.128*x*z + 4.03*y - 3.238              -0.141*x**2 - 0.363*x*z + 4.729*x + 2.801*y + 1.576*z - 18.162  0.507*x*y - 1.232*z              10  proged    numdif      all             lorenz       13       2
          28        51  4.08989   4.41095  -0.128*x*z + 4.03*y - 3.238              -0.244*x*z + 3.793*y + 0.629*z                                  0.507*x*y - 1.232*z              11  proged    numdif      all             lorenz       13       2
