	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	exp_type	data_version	system	snr	init
0	17	29	7.355708565780326	7.431221933767654	0.643*y	-0.041*x*z	0.953*x**2 - 3.703*z + 30.0	0	proged	numdif	all	lorenz	30	1
1	9	12	10.047053405533092	10.18896910861898	0.643*y	-0.647*x	-0.684*y	1	proged	numdif	all	lorenz	30	1
2	10	14	9.325115025246177	9.448665923943157	0.643*y	-0.647*x	0.203*x*y	2	proged	numdif	all	lorenz	30	1
3	11	15	7.79544573834904	7.865058298899362	0.643*y	-0.647*x	0.194*y**2	3	proged	numdif	all	lorenz	30	1
4	13	18	7.523718624435041	7.583384028104776	0.643*y	-0.015*x**3	0.194*y**2	4	proged	numdif	all	lorenz	30	1
5	18	30	7.123971471394192	7.186300774548235	0.643*y	-0.015*x**3	0.953*x**2 - 3.703*z + 30.0	5	proged	numdif	all	lorenz	30	1
6	26	52	2.630795838265293	2.6400882955806786	-6.872*x + 6.82*y + 0.584	-0.747*x*z + 19.547*x + 4.499	0.577*x*y - 1.917*z + 10.999	6	proged	numdif	all	lorenz	30	1
7	30	57	2.111336906071776	2.107354691298019	-6.872*x + 6.82*y + 0.584	-0.625*x*z + 14.646*x*z/(z - 0.957) + 13.858	0.369*y**2 - 27.427	7	proged	numdif	all	lorenz	30	1
8	22	40	6.402463458794243	6.4197756058115045	-6.814*x + 6.823*y	-0.747*x*z + 19.547*x + 4.499	0.482*x*y - 30.0	8	proged	numdif	all	lorenz	30	1
9	23	41	5.221320118162	5.244974711362073	-6.814*x + 6.823*y	-0.747*x*z + 19.547*x + 4.499	0.369*y**2 - 27.427	9	proged	numdif	all	lorenz	30	1
10	25	47	2.650793469997418	2.6602440993378216	-6.814*x + 6.823*y	-0.747*x*z + 19.547*x + 4.499	0.577*x*y - 1.917*z + 10.999	10	proged	numdif	all	lorenz	30	1
11	33	63	1.9204324940028585	1.9054720562147645	-6.814*x + 6.823*y	-0.747*x*z + 19.547*x + 4.499	0.992*x*y - 22.702*x/(x + 15.819) - 2.81*z + 12.346	11	proged	numdif	all	lorenz	30	1
12	27	49	2.582274363966097	2.5891536424397468	-6.814*x + 6.823*y	-0.713*x*z + 18.028*x + 0.376*z	0.577*x*y - 1.917*z + 10.999	12	proged	numdif	all	lorenz	30	1
13	29	52	2.1296383189059185	2.1255801529623977	-6.814*x + 6.823*y	-0.625*x*z + 14.646*x*z/(z - 0.957) + 13.858	0.369*y**2 - 27.427	13	proged	numdif	all	lorenz	30	1
14	24	42	3.5690567001500977	3.592608164285923	-6.814*x + 6.823*y	-0.766*x*z + 20.551*x	0.577*x*y - 1.917*z + 10.999	14	proged	numdif	all	lorenz	30	1
15	28	54	2.2625471323626956	2.2696944971275133	-6.814*x + 6.823*y	-0.693*x*z + 17.621*x + 1.436*z - 30.0	0.577*x*y - 1.917*z + 10.999	15	proged	numdif	all	lorenz	30	1
16	46	91	1.515572593130242	1.4639789620076875	-0.007*x*y**2 - 6.701*x + 8.591*y - 10.828	-0.625*x*z + 14.646*x*z/(z - 0.957) + 13.858	0.992*x*y - 22.702*x/(x + 15.819) - 2.81*z + 12.346	16	proged	numdif	all	lorenz	30	1
17	34	62	1.8962982836349422	1.8831899714598763	-6.456*x - 0.07*y*z + 8.323*y	-0.625*x*z + 14.646*x*z/(z - 0.957) + 13.858	0.584*x*y - 1.533*z	17	proged	numdif	all	lorenz	30	1
18	36	67	1.5941052407331657	1.5573897286206604	-6.456*x - 0.07*y*z + 8.323*y	-0.766*x*z + 20.551*x	0.992*x*y - 22.702*x/(x + 15.819) - 2.81*z + 12.346	18	proged	numdif	all	lorenz	30	1
19	32	63	1.980877660703512	1.9755917412046986	-6.456*x - 0.07*y*z + 8.323*y	-0.693*x*z + 17.621*x + 1.436*z - 30.0	0.577*x*y - 1.917*z + 10.999	19	proged	numdif	all	lorenz	30	1
20	40	79	1.551267471770208	1.5207934474093459	-6.456*x - 0.07*y*z + 8.323*y	-0.693*x*z + 17.621*x + 1.436*z - 30.0	0.992*x*y - 22.702*x/(x + 15.819) - 2.81*z + 12.346	20	proged	numdif	all	lorenz	30	1
