	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	16	29	2.2787797767827587	2.299229678190177	0.025*x/(x - 0.905) - 2.83*y - 0.02	2.843*x	0	proged	numdif	allonger	stl	13	1
1	18	34	2.272032262208719	2.292162168494504	0.025*x/(x - 0.905) - 2.83*y - 0.02	2.844*x - 0.023	1	proged	numdif	allonger	stl	13	1
2	36	72	1.7750430140914069	1.7712636432953044	0.025*x/(x - 0.905) - 2.83*y - 0.02	-0.017*x**7*y**4/((0.655*x - 1)**3*(y - 0.905)) + 2.96*x + 0.037	2	proged	numdif	allonger	stl	13	1
3	6	8	2.6047421772657255	2.641137813673197	-2.845*y	2.843*x	3	proged	numdif	allonger	stl	13	1
4	8	13	2.6033625156967704	2.639728377985141	-2.845*y	2.844*x - 0.023	4	proged	numdif	allonger	stl	13	1
5	11	17	2.572132176044732	2.607035070832181	-2.845*y	-0.216*x*y + 2.846*x	5	proged	numdif	allonger	stl	13	1
6	26	51	1.8751116170805795	1.878667031293587	-2.845*y	-0.017*x**7*y**4/((0.655*x - 1)**3*(y - 0.905)) + 2.96*x + 0.037	6	proged	numdif	allonger	stl	13	1
7	12	19	2.5071888945294147	2.536571786634756	-2.78*x*y/(x + 0.004)	2.843*x	7	proged	numdif	allonger	stl	13	1
8	14	24	2.308962876806582	2.3306054315591953	-2.78*x*y/(x + 0.004)	2.844*x - 0.023	8	proged	numdif	allonger	stl	13	1
9	20	34	2.0681566129749758	2.0775002503438356	0.028*x**2/(x - 0.905) - 0.098*x - 2.83*y	2.843*x	9	proged	numdif	allonger	stl	13	1
10	22	39	2.0653637404502145	2.074566297372618	0.028*x**2/(x - 0.905) - 0.098*x - 2.83*y	2.844*x - 0.023	10	proged	numdif	allonger	stl	13	1
11	25	43	2.0558191563026758	2.064550004106141	0.028*x**2/(x - 0.905) - 0.098*x - 2.83*y	-0.216*x*y + 2.846*x	11	proged	numdif	allonger	stl	13	1
12	40	77	1.6887536449454967	1.6784719807948365	0.028*x**2/(x - 0.905) - 0.098*x - 2.83*y	-0.017*x**7*y**4/((0.655*x - 1)**3*(y - 0.905)) + 2.96*x + 0.037	12	proged	numdif	allonger	stl	13	1
