	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
7	367	50	235	9.817778976819563e-05	9.817778976819563e-05	0.05*x1*(-x1 + (0.008*sin(x2) + 0.004 + 0.008*(-x1 + x2 + 1.57 + 0.044/(x2 - 1.853))/x2)/x2) - 1.0*sin(x2)	x1 + cos(x2 + 3.142)/x1	367	dso	allonger	glider	inf	0
4	236	45	282	0.00015869890877394334	0.00015869890877394334	-0.05*x1**2 - 1.0*sin(x2)	1.0*x1 - 1.0*sin(0.438/(2*x1 + 0.083)) - 0.001 + (-1.0*cos(x2) + 0.223 - 0.013/x1)/x1	236	dso	allonger	glider	inf	0
6	347	44	192	0.00015889339760775275	0.00015889339760775275	-0.05*x1**2 - 1.0*sin(x2)	x1 + cos(x2 + 3.142)/x1	347	dso	allonger	glider	inf	0
5	307	34	178	0.0001594166768696184	0.0001594166768696184	-0.05*x1**2 - 1.0*sin(x2)	x1 + cos(x2 + 3.142)/x1	307	dso	allonger	glider	inf	0
3	228	25	136	0.00016106851647789536	0.00016106851647789536	-0.05*x1**2 - 1.0*sin(x2)	1.0*x1 + cos(x2 + 3.142)/x1	228	dso	allonger	glider	inf	0
2	227	23	117	0.00018383002934188407	0.00018383002934188407	-0.05*x1**2 - 1.0*sin(x2)	x1 + cos(x2 + 3.142)/x1	227	dso	allonger	glider	inf	0
1	147	19	110	0.49619819310672564	0.49619819310672564	-0.247*x1 - 1.0*sin(x2) + 0.216	x1 + cos(x2 + 3.142)/x1	147	dso	allonger	glider	inf	0
0	0	6	44	0.6608630052701904	0.6608630052701904	-0.153*x1	0.957*x1	0	dso	allonger	glider	inf	0
