	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
12	458	80	424	0.007693071195658213	0.007693071195658213	-x1*(-1.0*x1*x2/(x1 + 0.996) + x1 + 1.001*x2 - 4.0)	x2*(x1/(x1 + 1.0) - 0.075*x2)	458	dso	allonger	predprey	inf	3
11	314	57	344	0.007757757339028818	0.007757757339028818	(4.017*x2*(-0.25*x1*(1.004*x1 + 0.407) + 0.854*x1 - 0.25*x2) + 4.017*x2)/(0.042*x1 + x2 - 0.037 + x2/x1)	x2*(x1/(x1 + 1.0) - 0.075*x2)	314	dso	allonger	predprey	inf	3
10	313	56	321	0.007853658502423096	0.007853658502423096	(4.017*x2*(-0.25*x1*(1.004*x1 + 0.407) + 0.854*x1 - 0.25*x2) + 4.017*x2)/(0.042*x1 + x2 - 0.037 + x2/x1)	x2*(x1/(x1 + 1.0) - 0.075*x2)	313	dso	allonger	predprey	inf	3
9	312	52	306	0.007930185569538582	0.007930185569538582	(4.017*x2*(-0.25*x1*(1.004*x1 + 0.407) + 0.854*x1 - 0.25*x2) + 4.017*x2)/(0.042*x1 + x2 - 0.037 + x2/x1)	x2*(1.0*x1/(x1 + 1.0) - 0.075*x2)	312	dso	allonger	predprey	inf	3
8	295	37	232	0.07006529213308764	0.07006529213308764	-x1*(0.994*x1 + 1.006*x2/(x1 + 1.014) - 4.99) - x1 - 0.001	x2*(x1/(x1 + 1.0) - 0.075*x2)	295	dso	allonger	predprey	inf	3
7	177	24	152	1.0581547461890193	1.0581547461890193	-2.87*x1*(x2 - 5.662)/(-0.475*x1*(x2 - 8.135) + 0.525*x1 + x2)	x1 - 0.247*x2	177	dso	allonger	predprey	inf	3
6	49	13	96	1.059542393860439	1.059542393860439	-0.396*x1*(x2 - 5.583) + 0.05	x1 - 0.247*x2	49	dso	allonger	predprey	inf	3
5	34	12	95	1.1910057688897684	1.1910057688897684	-0.398*x1*(x2 - 5.655)	x1 - 0.393*x2 + 0.909	34	dso	allonger	predprey	inf	3
4	33	11	74	1.4110788414368503	1.4110788414368503	-0.398*x1*(x2 - 5.655)	x1 - 0.247*x2	33	dso	allonger	predprey	inf	3
3	17	10	67	2.0056576304681304	2.0056576304681304	2.53 - 0.513*x2	x1 - 0.247*x2	17	dso	allonger	predprey	inf	3
2	2	9	70	5.304569881335555	5.304569881335555	-0.108*x2	x1 - 0.393*x2 + 0.909	2	dso	allonger	predprey	inf	3
1	1	8	49	5.705562511200231	5.705562511200231	-0.108*x2	x1 - 0.247*x2	1	dso	allonger	predprey	inf	3
0	0	6	46	11.053854175125377	11.053854175125377	-0.108*x2	x1 - 1.211	0	dso	allonger	predprey	inf	3
