  index    complexity    length        TE     TE_inf  expr_x           expr_y                          index_column  method    data_version    system      snr    init
     36            14        81  0.14727   0.0704306  sin(x1) + 2.004  4.614 - sin(x1*(x2 - 1.401))              36  dso       all             cphase       30       1
     34             8        54  0.159358  0.0990535  sin(x1) + 2.004  sin(x2) + 4.839                           34  dso       all             cphase       30       1
     32             7        49  0.834462  0.792231   sin(x1) + 2.004  0.391*x1                                  32  dso       all             cphase       30       1
      0             6        44  3.48548   3.48458    0.146*x1         0.391*x1                                   0  dso       all             cphase       30       1
