	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
5	229	28	175	1.7025708925435126	1.4858770087543482	17.298*sin(1.016*x1*(0.754 - 2*x1)*(x1*(2.005*x1 + x2 - 1.089) - 1.493))	x2*(0.363 - x2)	229	dso	allonger	barmag	13	2
3	134	22	107	1.7152548754910661	1.6326411982873703	-10.16*cos(1.024*x1*(2*x1 - x2) - 2.437)	x2*(0.363 - x2)	134	dso	allonger	barmag	13	2
4	153	20	104	1.7841512038824654	2.2790108344292794	12.183*cos(x1*(0.87*x1*x2 + 1.807*x1))	x2*(0.363 - x2)	153	dso	allonger	barmag	13	2
1	1	10	51	1.9086422035469246	3.1344045959490243	0.015*x1	x2*(0.363 - x2)	1	dso	allonger	barmag	13	2
0	0	6	46	2.320313693297809	3.734724061688421	0.015*x1	-0.172*x2	0	dso	allonger	barmag	13	2
2	19	5	30	3.2491390606552875	7.832362729112751	sin(x1)	-0.172*x2	19	dso	allonger	barmag	13	2
