t,x,y,dx,dy
0.0,1.0,3.0,-3.845973480370335,-5.796864879807639
0.01,0.9615402651962967,2.9420313512019236,-3.703050992371215,-5.606579843360704
0.02,0.9259389801525757,2.887868403132786,-3.43215723119894,-5.243491463862426
0.03,0.8928971205723178,2.837161521924675,-3.1891895403331594,-4.913265285195023
0.04,0.8621551893459125,2.7896030974288855,-2.970507925779975,-4.6120078721754165
0.05,0.8334869620567184,2.7449213644811667,-2.773040678962735,-4.3363904368455275
0.06,0.8066943757666578,2.702875288691975,-2.5941818250624635,-4.083552825763248
0.07,0.7816033255554691,2.663250307965902,-2.431709436636603,-3.8510261015838987
0.08,0.7580601870339257,2.625854766660297,-2.283720112375609,-3.6366697020178584
0.09,0.7359289233079569,2.5905169139255446,-2.148576077655878,-3.4386201129129823
0.1,0.7150886654808082,2.5570823644020373,-2.024862210838907,-3.2552486984390727
0.11,0.6954316790911788,2.525411939956763,-1.9113509303431364,-3.0851268631913342
0.12,0.6768616468739455,2.4953798271382106,-1.806973345824675,-2.926997119895147
0.13,0.6592922121746853,2.46687199755886,-1.7107954325083052,-2.7797489425150923
0.14,0.6426457382237794,2.4397848482879088,-1.6219982570036429,-2.6423985186852628
0.15,0.6268522470346124,2.414024027185155,-1.5398614884281903,-2.514071695815412
0.16,0.6118485084552155,2.3895034143716005,-1.4637495877557472,-2.3939895562704594
0.17,0.5975772552794975,2.3661442360597458,-1.3931001912643182,-2.2814561670737366
0.18,0.5839865046299292,2.343874291030126,-1.3274142999720073,-2.1758481363209237
0.19,0.5710289692800573,2.3226272733333273,-1.2662479623544887,-2.0766056772315356
0.2,0.5586615453828394,2.302342177485495,-1.209205197004154,-1.9832249353751275
0.21,0.5468448653399742,2.2829627746258248,-1.1559319491895814,-1.8952513784896041
0.22,0.5355429063990478,2.264437149915703,-1.1061109128599922,-1.8122740834872975
0.23,0.5247226470827744,2.246717292956079,-1.0594570798100111,-1.733920783717302
0.24,0.5143537648028476,2.229758734241357,-1.0157139020897432,-1.6598535627383892
0.25,0.5044083690409795,2.213520221701311,-0.9746499732378955,-1.5897650995632118
0.26,0.49486076533808965,2.1979634322500927,-0.9360561500699582,-1.523375385948822
0.27,0.48568724603958036,2.1830527139823346,-0.8997430496914038,-1.4604288489169948
0.28,0.47686590434426157,2.168754855271753,-0.86553886701288,-1.4006918221135312
0.29,0.46837646869932276,2.155038877540064,-0.8332874669462392,-1.3439503184136115
0.3,0.4602001550053368,2.1418758489034806,-0.802846712585481,-1.2900080632904931
0.31,0.45231953444761314,2.129238716274254,-0.774086996752435,-1.2386847545636126
0.32,0.4447184150702881,2.1171021538122083,-0.7468899492102804,-1.1898145191231002
0.33,0.43738173546340753,2.105442425891792,-0.7211472960397314,-1.1432445414970793
0.34,0.43029546914949346,2.0942372629822668,-0.6967598511381901,-1.098833842682656
0.35000000000000003,0.4234465384406437,2.083465749038139,-0.6736366226612472,-1.0564521906181623
0.36,0.4168227366962685,2.0731082191699035,-0.6516940197913629,-1.0159791263368856
0.37,0.41041265804481647,2.0631461665114013,-0.6308551471950058,-0.9773030919129733
0.38,0.4042056337523684,2.053562157331644,-0.6110491762871678,-0.9403206481673587
0.39,0.3981916745190731,2.044339753548054,-0.5922107839660573,-0.9049357717320738
