,0,1,2,3
0,0.0,0.0,1.0,1.05
1,0.01,0.0951064683153691,1.0030370731422555,1.0228488452365339
2,0.02,0.18265110538752796,1.0305090626008617,0.9973330780603809
3,0.03,0.2655841974674393,1.0805921482205296,0.973427758444526
4,0.04,0.3464386517967081,1.1522069055917334,0.9511865906145971
5,0.05,0.4274353701759889,1.2449157852842847,0.9307344136567159
6,0.06,0.5105701234480153,1.3588463197329836,0.9122677306054889
7,0.07,0.5976859073846608,1.4946355003314489,0.8960617654153982
8,0.08,0.6905339921021291,1.6533916464954863,0.8824834412218896
9,0.09,0.7908262562366675,1.8366707791034413,0.8720103408182671
10,0.1,0.9002808926405408,2.0464650296327083,0.8652562473780416
11,0.11,1.020663157399557,2.2852009738643213,0.8630043420517234
12,0.12,1.153822484817082,2.5557459762507153,0.8662496050092143
13,0.13,1.3017269857202547,2.8614206574678747,0.8762524631915348
14,0.14,1.466496063519454,3.2060154285046694,0.894606276153705
15,0.15,1.6504315992499843,3.5938086272473386,0.9233218655708078
16,0.16,1.8560478477501323,4.0295830827854635,0.9649329764431916
17,0.17,2.08609982151039,4.518636825216013,1.0226272922112085
18,0.18,2.343609478290247,5.066782026229168,1.1004083649420164
19,0.19,2.6318884245346315,5.680323928341091,1.2032944689280356
20,0.2,2.954555036401438,6.366008282560595,1.3375607649681944
21,0.21,3.315542804563082,7.130921406615518,1.5110309709461485
22,0.22,3.719095230087211,7.982321115115693,1.733423477027414
23,0.23,4.169740621791585,8.927369201270569,2.016753739673903
24,0.24,4.67223754744782,9.972726744222905,2.3757886503674865
25,0.25,5.231478363501111,11.12396249997079,2.8285376700109564
26,0.26,5.852334144771049,12.384712953929892,3.3967474515792064
27,0.27,6.539419564558411,13.755522563866212,4.106338368420752
28,0.28,7.296751254768124,15.23228889817585,4.9876793576412
29,0.29,8.127268883147886,16.804247966188914,6.0755388438049565
30,0.3,9.032186517536458,18.451473263761322,7.408473949508821
31,0.31,10.010146063313021,20.141947031718445,9.027334162373277
32,0.32,11.05615967212852,21.82841757452619,10.97247888857491
33,0.33,12.160360788835463,23.445503619998266,13.279282820960853
34,0.34,13.306641359469133,24.907848278938882,15.971600698215346
35,0.35000000000000003,14.471340576479557,26.110515091280213,19.053183658015016
36,0.36,15.622264466048897,26.933121899251567,22.497682414073605
37,0.37,16.718433615419947,27.249172211715745,26.238862888014957
38,0.38,17.711029656537875,26.941330942702795,30.163825725575474
39,0.39,18.54596535608887,25.92174138872468,34.11287515124505
40,0.4,19.168262012723037,24.15401834934555,37.88944815564457
41,0.41000000000000003,19.527956276913436,21.671101596243712,41.28147115026089
42,0.42,19.586666691313262,18.58219316748296,44.091664207257814
43,0.43,19.323455282912477,15.06392739046409,46.16997625051006
44,0.44,18.738505789264558,11.335815235670289,47.43887056987375
45,0.45,17.85357459256162,7.625911900799643,47.9035716610565
46,0.46,16.70904775972571,4.136448554022305,47.64452103390106
47,0.47000000000000003,15.358393621578848,1.0186941456511254,46.79562857311116
48,0.48,13.861421348274728,-1.6379719005045517,45.5161523135112
49,0.49,12.277827895332738,-3.803271578719417,43.96444661953975
50,0.5,10.662118125330595,-5.49393442048651,42.27907442743975
51,0.51,9.060382255897235,-6.757866716021255,40.56898820660543
52,0.52,7.508877563130989,-7.65908743287356,38.91152261458558
53,0.53,6.034031742532827,-8.265946383851997,37.35556310786553
54,0.54,4.6533743839631105,-8.643325310044295,35.92722233609057
55,0.55,3.3769445981508097,-8.8483759513117,34.636033785262015
56,0.56,2.2088359176857897,-8.928872207043383,33.48050048079027
57,0.5700000000000001,1.1486635657423447,-8.923225653450638,32.45250883662243
58,0.58,0.19284203465298647,-8.861399750212906,31.540546227847344
59,0.59,-0.6643671815716645,-8.766196089047371,30.731877481332194
60,0.6,-1.4300343886755438,-8.654594191231899,30.0139099119686
61,0.61,-2.111941529294677,-8.538978172270294,29.374972879221833
62,0.62,-2.718129230851946,-8.428181235506925,28.80470053007433
63,0.63,-3.256576875690875,-8.328335080153325,28.294160954744946
64,0.64,-3.7349850685348502,-8.243539565067229,27.835833570838826
65,0.65,-4.160634899420742,-8.176379334561275,27.423503449396225
66,0.66,-4.540303530300155,-8.12831620875555,27.052116821445157
67,0.67,-4.880220229406361,-8.09998375770178,26.717624855573852
68,0.68,-5.186050810569,-8.09140637983323,26.41683127272886
69,0.6900000000000001,-5.462901492417868,-8.10216084834774,26.14725189825729
70,0.7000000000000001,-5.715335561739058,-8.131494350149318,25.906989587715046
71,0.71,-5.947398025304771,-8.178409764817346,25.694625174769286
72,0.72,-6.162644784956323,-8.24172633920944,25.509123520529347
73,0.73,-6.364173876298005,-8.320121932462774,25.349752947905095
74,0.74,-6.554657058082918,-8.412161529093932,25.21601602561988
75,0.75,-6.736370594349909,-8.516315637590706,25.107589632927397
76,0.76,-6.911224486136203,-8.630971413558404,25.02427236622882
77,0.77,-7.080789722183996,-8.754438793072497,24.965937568596694
78,0.78,-7.246323356593393,-8.884953532064653,24.93249052875587
79,0.79,-7.408791406051661,-9.020678773556588,24.92382868298575
80,0.8,-7.568889704350747,-9.159706568945257,24.939803949338817
81,0.81,-7.727062967122272,-9.3000606323895,24.980186622951788
82,0.8200000000000001,-7.883522411296734,-9.439701483879695,25.044630561675966
83,0.8300000000000001,-8.038262345182117,-9.57653501560688,25.132639690939367
84,0.84,-8.191076197504591,-9.708425379244945,25.24353615241767
85,0.85,-8.341572486734563,-9.833212922620417,25.37643070660176
86,0.86,-8.489191243664415,-9.948737689742908,25.53019626472458
87,0.87,-8.633221387735624,-10.052868728933506,25.703445656479886
88,0.88,-8.772819517871193,-10.14353912574852,25.894514918173602
89,0.89,-8.90703050863328,-10.21878629344764,26.101453489954263
90,0.9,-9.034810200428343,-10.276796625314688,26.322022717934708
91,0.91,-9.15505033798811,-10.31595316129285,26.553703946252238
92,0.92,-9.266605746742039,-10.33488447703062,26.793717239521964
93,0.93,-9.368323547394981,-10.332512606120586,27.039051390897754
94,0.9400000000000001,-9.459074004025055,-10.308097501417732,27.286505351268872
95,0.9500000000000001,-9.53778239287696,-10.261275375415355,27.532740583170526
96,0.96,-9.60346108334615,-10.192088274349436,27.774343138225998
97,0.97,-9.65524085699518,-10.101002465719844,28.007893534939644
98,0.98,-9.692400372674902,-9.988913665289909,28.230041842016753
99,0.99,-9.71439263203255,-9.857137784517178,28.437584823744626
100,1.0,-9.72086732194805,-9.707386703708814,28.6275416468319
101,1.01,-9.711688014732625,-9.541729506241468,28.797224536703318
102,1.02,-9.686943391625903,-9.362540562346398,28.944300936267403
103,1.03,-9.646951910357041,-9.172436735331207,29.066844162143347
104,1.04,-9.592259645687582,-8.974206709762868,29.16337024038195
105,1.05,-9.5236313690967,-8.770735936045504,29.232859474248134
106,1.06,-9.442035272753621,-8.564930901026749,29.27476226711957
107,1.07,-9.348622055833586,-8.359646354179374,29.288989699731722
108,1.08,-9.244699353055317,-8.157618761645322,29.275890250867267
109,1.09,-9.131702676688835,-7.9614086745788315,29.236214776512263
110,1.1,-9.011164152414088,-7.773353954110922,29.17107237057611
111,1.11,-8.88468035296768,-7.595534974285832,29.081879995256852
112,1.12,-8.753880476290627,-7.429752107532767,28.970308794639056
113,1.1300000000000001,-8.620395988508868,-7.277515055191507,28.838229819670158
114,1.1400000000000001,-8.485832672941156,-7.140042971329135,28.68766154246783
115,1.1500000000000001,-8.351745813345696,-7.018273873449773,28.5207210786145
116,1.16,-8.219619011870025,-6.912881549423993,28.33958052436933
117,1.17,-8.09084691703752,-6.824298048446152,28.14642930260823
118,1.18,-7.966721928881086,-6.752739863613391,27.943442937497995
119,1.19,-7.848424767459717,-6.698236045072253,27.732758271636023
120,1.2,-7.73701864389115,-6.660656692359262,27.51645481612697
121,1.21,-7.633446662353043,-6.639740530411922,27.296541688139918
122,1.22,-7.538532006772668,-6.635120547345804,27.0749494374044
123,1.23,-7.452980424262558,-6.646346940896691,26.853525982325433
124,1.24,-7.37738450432528,-6.67290686805738,26.63403585411684
125,1.25,-7.312229263148883,-6.714240708647821,26.418161968594212
126,1.26,-7.257898570493121,-6.769754733483791,26.207509195856613
127,1.27,-7.214681997466082,-6.838830210727325,26.003609065382125
128,1.28,-7.182781712325597,-6.920829092415352,25.807925018017002
129,1.29,-7.162319104438659,-7.0150965015810645,25.62185768929006
130,1.3,-7.153340870738421,-7.120960294443075,25.44674977535551
131,1.31,-7.15582435226658,-7.237728007999566,25.283890090686477
132,1.32,-7.169681959358154,-7.364681527011727,25.1345164743994
133,1.33,-7.194764572026585,-7.501069821457195,24.99981724021418
134,1.34,-7.230863847055578,-7.646100120955995,24.880930895235537
135,1.35,-7.2777134055325075,-7.798927910604638,24.778943877608956
136,1.36,-7.334988914725246,-7.958646156179157,24.69488608598965
137,1.37,-7.402307117154249,-8.12427419804444,24.629723998694164
138,1.3800000000000001,-7.479223898358405,-8.294746793201762,24.584351211702195
139,1.3900000000000001,-7.565231524060802,-8.468903833493192,24.559576267170574
140,1.4000000000000001,-7.659755217877734,-8.64548132321607,24.556107702559608
141,1.41,-7.762149292753597,-8.823104257857839,24.57453632963354
142,1.42,-7.8716930928511175,-9.000282101995762,24.615314856680097
143,1.43,-7.987587047006165,-9.175407611393323,24.678735099444385
144,1.44,-8.108949178655685,-9.346759772584353,24.764903188095484
145,1.45,-8.234812458127243,-9.512511631777295,24.873713368028053
146,1.46,-8.36412341818639,-9.67074374127989,25.004821207240653
147,1.47,-8.49574247867734,-9.819463852870888,25.15761725386537
148,1.48,-8.628446436138361,-9.956633321755628,25.331202420806918
149,1.49,-8.760933563898032,-10.080200442222589,25.52436659145112
150,1.5,-8.89183173179,-10.188140612424093,25.73557211710815
151,1.51,-9.019709887079223,-10.278502823204873,25.96294398535613
152,1.52,-9.143093135342339,-10.349461496781062,26.204268448010907
153,1.53,-9.26048152007545,-10.399372188837484,26.457001779504093
154,1.54,-9.370372423701648,-10.426829147963227,26.718290566942287
155,1.55,-9.471286305355576,-10.430722246364079,26.985004498647392
156,1.56,-9.561795261719977,-10.41029041088139,27.253782020548293
157,1.57,-9.640553660237988,-10.365168452027254,27.521088490945708
158,1.58,-9.70632986725193,-10.295424165036668,27.783285627221208
159,1.59,-9.758037897957195,-10.201582801872435,28.036710167466175
160,1.6,-9.794767672317349,-10.084636505535872,28.27775884678169
161,1.61,-9.815812491438386,-9.946037047713249,28.50297610140216
162,1.62,-9.820692368058156,-9.787671174490514,28.709140450061255
163,1.6300000000000001,-9.809171961275098,-9.611818967600541,28.893345331088916
164,1.6400000000000001,-9.781272078721884,-9.421096770473921,29.05307033734282
165,1.6500000000000001,-9.73727400818318,-9.218387296049197,29.186239293643975
166,1.6600000000000001,-9.677716304481736,-9.006760415707667,29.291262426351462
167,1.67,-9.603384057804199,-8.789388732927586,29.367060907708733
168,1.68,-9.515291073311667,-8.569462310127225,29.413073215930034
169,1.69,-9.414655764914603,-8.350106822258743,29.42924391878564
170,1.7,-9.302871877949855,-8.134308978544514,29.415996549560337
171,1.71,-9.181475382552138,-7.924852344699178,29.374193103693777
172,1.72,-9.052109007566587,-7.724265799954175,29.305083276258816
173,1.73,-8.916485910200752,-7.5347858775530785,29.210246855191834
174,1.74,-8.776353905605314,-7.358333264012287,29.091532689742703
175,1.75,-8.633461527836987,-7.196502857374913,28.95099740556255
176,1.76,-8.489526979607087,-7.050566071157298,28.790846596473973
177,1.77,-8.34621077602437,-6.921483554904521,28.61338065807987
178,1.78,-8.205092620321135,-6.809926194108811,28.42094680992014
179,1.79,-8.067652788043684,-6.716302139087014,28.215898242638346
180,1.8,-7.935258057114287,-6.6407876653054805,28.000560772617398
181,1.81,-7.809152016376577,-6.583359848273521,27.77720692065033
182,1.82,-7.6904494216289665,-6.5438293031612424,27.548036969579854
183,1.83,-7.580134148099469,-6.521871553485236,27.31516630093519
184,1.84,-7.479060210479291,-6.517055920977596,27.08061815455519
185,1.85,-7.387955281966364,-6.528871144017263,26.8463208834551
186,1.86,-7.30742613651236,-6.5567472166457055,26.614108770809025
187,1.87,-7.23796545704964,-6.6000731835707604,26.385725518268522
188,1.8800000000000001,-7.179959490244054,-6.658210824360462,26.162829587590497
189,1.8900000000000001,-7.133696079150223,-6.73050431278771,25.94700066605603
190,1.9000000000000001,-7.0993726636074275,-6.816286048990034,25.739746618587002
191,1.9100000000000001,-7.077103900036388,-6.914878938872084,25.542510377551228
192,1.92,-7.066928614110956,-7.025595444243448,25.35667629934967
193,1.93,-7.068815859364583,-7.1477337559786545,25.183575582197502
194,1.94,-7.082669910745622,-7.2805714582978025,25.024490391160864
195,1.95,-7.108334073919282,-7.423357061617031,24.88065637539989
196,1.96,-7.145593238780287,-7.575299790111864,24.753263290811006
197,1.97,-7.194175149763679,-7.7355580229196255,24.643453462000263
198,1.98,-7.253750407040186,-7.90322680856829,24.552317834682466
199,1.99,-7.323931252680022,-8.077324903323648,24.480889387679767
200,2.0,-7.404269235602302,-8.256781827193082,24.4301336978521
201,2.0100000000000002,-7.494251889748203,-8.440425486252185,24.400936486906897
202,2.02,-7.593298602423477,-8.626970975250671,24.39408803193215
203,2.0300000000000002,-7.7007558947990145,-8.815011246725215,24.410264397413087
204,2.04,-7.815892384326224,-9.003010406577436,24.450005550883528
205,2.05,-7.937893748808738,-9.189300463438284,24.513690561802797
206,2.06,-8.065858062817222,-9.37208240984478,24.60151025670663
207,2.07,-8.198791926728934,-9.549432534588188,24.713437913627526
208,2.08,-8.335607853572897,-9.719314842825469,24.84919882202194
209,2.09,-8.475123414557956,-9.87960037785437,25.00823980314979
210,2.1,-8.616062665034582,-10.028094080012233,25.189700066150383
211,2.11,-8.757060372239685,-10.162569570595851,25.392385046722097
212,2.12,-8.896669537554372,-10.280811903154264,25.614745111151368
213,2.13,-9.033372642403048,-10.380667880094581,25.85486117550926
214,2.14,-9.16559694267045,-10.460102999243729,26.110439351103853
215,2.15,-9.29173398799696,-10.517263496448548,26.37881664553854
216,2.16,-9.410163349390766,-10.550541325506257,26.656979491346483
217,2.17,-9.51928030529699,-10.558639319242495,26.941596419048604
218,2.18,-9.617526972473387,-10.540633272348481,27.22906553457853
219,2.19,-9.703426088744607,-10.496027349134359,27.515576620698493
220,2.2,-9.77561638087069,-10.424799118251418,27.79718670452084
221,2.21,-9.832888207170097,-10.327430708059076,28.069906891860473
222,2.22,-9.87421797788283,-10.204923091987341,28.329797260164035
223,2.23,-9.898799752152463,-10.058791349466828,28.573065735073527
224,2.24,-9.906072409739476,-9.891039859905206,28.79616626064609
225,2.25,-9.895740910706571,-9.704117688928994,28.99589130219412
226,2.2600000000000002,-9.867790388810759,-9.500855797772926,29.169453852896726
227,2.27,-9.822492163010212,-9.284389008991207,29.314554664003825
228,2.2800000000000002,-9.760401172800421,-9.058066754557151,29.429431345417374
229,2.29,-9.68234481322041,-8.825357396370002,29.512887201329526
230,2.3000000000000003,-9.58940362406472,-8.589751263247713,29.564299049297116
231,2.31,-9.48288473343679,-8.354667462675774,29.58360467597143
232,2.32,-9.364289330283343,-8.123369024240656,29.571271865348237
233,2.33,-9.23527571441747,-7.898890088116793,29.52825197483842
234,2.34,-9.097619627808806,-7.683977774868494,29.455921747271894
235,2.35,-8.953173602695934,-7.481050188297615,29.35601739586125
236,2.36,-8.803826978001986,-7.292170835690172,29.23056499309345
237,2.37,-8.651468053606688,-7.119038706065967,29.08181088140885
238,2.38,-8.49794959733468,-6.96299240437351,28.912155278275222
239,2.39,-8.345058620482204,-6.825026141007207,28.72409155847267
240,2.4,-8.194491022482923,-6.705815031206853,28.520152949031846
241,2.41,-8.047831398901012,-6.605747049724245,28.302867642996524
242,2.42,-7.906538029224593,-6.524959074611169,28.07472268471668
243,2.43,-7.771932825671102,-6.463374691260796,27.83813643881044
244,2.44,-7.645195839021907,-6.420741762364941,27.59543904444869
