  complexity    length       TE    TE_inf  expr_x              expr_y                       expr_z                                    index_column  method    exp_type    data_version    system      snr    init
           9        12  7.94059  10.4289   0.547*y             -0.518*x                     -1.054*y                                             0  proged    numdif      all             lorenz       13       0
          16        25  6.94184   8.58292  0.547*y             -0.518*x                     7.891                                                1  proged    numdif      all             lorenz       13       0
          19        33  5.79958   6.93481  0.547*y             -0.518*x                     -4.719*y + 4.167*z/(z - 14.872) + 30.0               2  proged    numdif      all             lorenz       13       0
          14        21  7.84438  10.0217   -2.806*x + 3.091*y  -0.026*x*z                   -1.054*y                                             3  proged    numdif      all             lorenz       13       0
          13        19  7.91455  10.3578   -2.806*x + 3.091*y  -0.518*x                     -1.054*y                                             4  proged    numdif      all             lorenz       13       0
          21        38  2.62666   2.64796  -2.806*x + 3.091*y  -0.148*x*z + 2.398*z - 30.0  30.0 - 3.795*y                                       5  proged    numdif      all             lorenz       13       0
          25        47  2.55066   2.57244  -2.806*x + 3.091*y  -0.148*x*z + 2.398*z - 30.0  0.137*x*y - 4.689*y + 30.0                           6  proged    numdif      all             lorenz       13       0
