	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	exp_type	data_version	system	snr	init
0	16	28	7.380061301206823	7.450208743999242	0.514*y	-0.034*x*z	0.73*x*y - 2.914*z + 26.962	0	proged	numdif	all	lorenz	30	0
1	18	31	5.838141063517083	5.864984255584535	0.514*y	-0.034*x*z	0.002*x*y**3 - 1.475*z + 30.0	1	proged	numdif	all	lorenz	30	0
2	9	12	10.129058541450334	10.227091289445369	0.514*y	0.166*z	-1.251*y	2	proged	numdif	all	lorenz	30	0
3	36	75	2.186851565205478	2.19385196619711	-6.843*x + 6.634*y + 0.666*z - 16.171	-0.188*x*y - 0.293*x*z + 5.036*x + 2.5*z - 30.0	0.73*x*y - 2.914*z + 26.962	3	proged	numdif	all	lorenz	30	0
4	39	82	1.9808689347211148	1.9901866569843527	-6.843*x + 6.634*y + 0.666*z - 16.171	-0.188*x*y - 0.293*x*z + 5.036*x + 2.5*z - 30.0	0.561*x*y - 1.862*y - 2.025*z + 30.0	4	proged	numdif	all	lorenz	30	0
5	44	92	1.795363198785867	1.8204562620797882	-6.843*x + 6.634*y + 0.666*z - 16.171	-0.188*x*y - 0.293*x*z + 5.036*x + 2.5*z - 30.0	0.029*x**3 + 0.895*x*y - 5.735*x - 1.388*z + 3.704	5	proged	numdif	all	lorenz	30	0
6	14	24	9.095572549799368	9.20547451061602	-7.381*x + 7.324*y + 0.348	0.166*z	-1.251*y	6	proged	numdif	all	lorenz	30	0
7	22	41	5.745297842988306	5.79302184085054	-7.381*x + 7.324*y + 0.348	-0.129*x*z + 2.187*z - 30.0	-0.017*y**3	7	proged	numdif	all	lorenz	30	0
8	24	46	3.329418659478579	3.3556887782487226	-7.381*x + 7.324*y + 0.348	-0.129*x*z + 2.187*z - 30.0	11.259 - 0.019*y**3	8	proged	numdif	all	lorenz	30	0
9	26	48	3.3133943584475665	3.340526009004847	-7.498*x + 7.185*y + 0.105*z	-0.129*x*z + 2.187*z - 30.0	11.259 - 0.019*y**3	9	proged	numdif	all	lorenz	30	0
10	13	19	9.106533383429671	9.21628122238988	-7.35*x + 7.329*y	0.166*z	-1.251*y	10	proged	numdif	all	lorenz	30	0
11	27	49	3.0420830567091937	3.081618495421113	-7.35*x + 7.329*y	-0.209*x*z + 3.49*y + 1.761*z - 30.0	0.752*x*y - 2.002*z	11	proged	numdif	all	lorenz	30	0
12	28	54	2.5964158289661423	2.616168922665787	-7.35*x + 7.329*y	-0.209*x*z + 3.49*y + 1.761*z - 30.0	0.73*x*y - 2.914*z + 26.962	12	proged	numdif	all	lorenz	30	0
13	31	61	2.415842316848355	2.4385795711526486	-7.35*x + 7.329*y	-0.209*x*z + 3.49*y + 1.761*z - 30.0	0.561*x*y - 1.862*y - 2.025*z + 30.0	13	proged	numdif	all	lorenz	30	0
14	21	36	5.760415316259716	5.808139080776954	-7.35*x + 7.329*y	-0.129*x*z + 2.187*z - 30.0	-0.017*y**3	14	proged	numdif	all	lorenz	30	0
15	23	41	3.332339927007044	3.3584287632530936	-7.35*x + 7.329*y	-0.129*x*z + 2.187*z - 30.0	11.259 - 0.019*y**3	15	proged	numdif	all	lorenz	30	0
16	35	70	2.194646429486033	2.209121830744947	-7.35*x + 7.329*y	-0.188*x*y - 0.293*x*z + 5.036*x + 2.5*z - 30.0	0.561*x*y - 1.862*y - 2.025*z + 30.0	16	proged	numdif	all	lorenz	30	0
17	43	91	1.9713613662643634	1.9807048840196264	-6.938*x + 0.032*y*z + 5.893*y + 0.86*z - 21.654	-0.188*x*y - 0.293*x*z + 5.036*x + 2.5*z - 30.0	0.561*x*y - 1.862*y - 2.025*z + 30.0	17	proged	numdif	all	lorenz	30	0
18	48	101	1.7662863148679349	1.790383317623192	-6.938*x + 0.032*y*z + 5.893*y + 0.86*z - 21.654	-0.188*x*y - 0.293*x*z + 5.036*x + 2.5*z - 30.0	0.029*x**3 + 0.895*x*y - 5.735*x - 1.388*z + 3.704	18	proged	numdif	all	lorenz	30	0
