  complexity    length        TE    TE_inf  expr_x                                            expr_y                                           expr_z                                                index_column  method    exp_type    data_version    system      snr    init
          16        28   7.38006   7.45021  0.514*y                                           -0.034*x*z                                       0.73*x*y - 2.914*z + 26.962                                      0  proged    numdif      all             lorenz       30       0
          18        31   5.83814   5.86498  0.514*y                                           -0.034*x*z                                       0.002*x*y**3 - 1.475*z + 30.0                                    1  proged    numdif      all             lorenz       30       0
           9        12  10.1291   10.2271   0.514*y                                           0.166*z                                          -1.251*y                                                         2  proged    numdif      all             lorenz       30       0
          36        75   2.18685   2.19385  -6.843*x + 6.634*y + 0.666*z - 16.171             -0.188*x*y - 0.293*x*z + 5.036*x + 2.5*z - 30.0  0.73*x*y - 2.914*z + 26.962                                      3  proged    numdif      all             lorenz       30       0
          39        82   1.98087   1.99019  -6.843*x + 6.634*y + 0.666*z - 16.171             -0.188*x*y - 0.293*x*z + 5.036*x + 2.5*z - 30.0  0.561*x*y - 1.862*y - 2.025*z + 30.0                             4  proged    numdif      all             lorenz       30       0
          44        92   1.79536   1.82046  -6.843*x + 6.634*y + 0.666*z - 16.171             -0.188*x*y - 0.293*x*z + 5.036*x + 2.5*z - 30.0  0.029*x**3 + 0.895*x*y - 5.735*x - 1.388*z + 3.704               5  proged    numdif      all             lorenz       30       0
          14        24   9.09557   9.20547  -7.381*x + 7.324*y + 0.348                        0.166*z                                          -1.251*y                                                         6  proged    numdif      all             lorenz       30       0
          22        41   5.7453    5.79302  -7.381*x + 7.324*y + 0.348                        -0.129*x*z + 2.187*z - 30.0                      -0.017*y**3                                                      7  proged    numdif      all             lorenz       30       0
          24        46   3.32942   3.35569  -7.381*x + 7.324*y + 0.348                        -0.129*x*z + 2.187*z - 30.0                      11.259 - 0.019*y**3                                              8  proged    numdif      all             lorenz       30       0
          26        48   3.31339   3.34053  -7.498*x + 7.185*y + 0.105*z                      -0.129*x*z + 2.187*z - 30.0                      11.259 - 0.019*y**3                                              9  proged    numdif      all             lorenz       30       0
          13        19   9.10653   9.21628  -7.35*x + 7.329*y                                 0.166*z                                          -1.251*y                                                        10  proged    numdif      all             lorenz       30       0
          27        49   3.04208   3.08162  -7.35*x + 7.329*y                                 -0.209*x*z + 3.49*y + 1.761*z - 30.0             0.752*x*y - 2.002*z                                             11  proged    numdif      all             lorenz       30       0
          28        54   2.59642   2.61617  -7.35*x + 7.329*y                                 -0.209*x*z + 3.49*y + 1.761*z - 30.0             0.73*x*y - 2.914*z + 26.962                                     12  proged    numdif      all             lorenz       30       0
          31        61   2.41584   2.43858  -7.35*x + 7.329*y                                 -0.209*x*z + 3.49*y + 1.761*z - 30.0             0.561*x*y - 1.862*y - 2.025*z + 30.0                            13  proged    numdif      all             lorenz       30       0
          21        36   5.76042   5.80814  -7.35*x + 7.329*y                                 -0.129*x*z + 2.187*z - 30.0                      -0.017*y**3                                                     14  proged    numdif      all             lorenz       30       0
          23        41   3.33234   3.35843  -7.35*x + 7.329*y                                 -0.129*x*z + 2.187*z - 30.0                      11.259 - 0.019*y**3                                             15  proged    numdif      all             lorenz       30       0
          35        70   2.19465   2.20912  -7.35*x + 7.329*y                                 -0.188*x*y - 0.293*x*z + 5.036*x + 2.5*z - 30.0  0.561*x*y - 1.862*y - 2.025*z + 30.0                            16  proged    numdif      all             lorenz       30       0
          43        91   1.97136   1.9807   -6.938*x + 0.032*y*z + 5.893*y + 0.86*z - 21.654  -0.188*x*y - 0.293*x*z + 5.036*x + 2.5*z - 30.0  0.561*x*y - 1.862*y - 2.025*z + 30.0                            17  proged    numdif      all             lorenz       30       0
          48       101   1.76629   1.79038  -6.938*x + 0.032*y*z + 5.893*y + 0.86*z - 21.654  -0.188*x*y - 0.293*x*z + 5.036*x + 2.5*z - 30.0  0.029*x**3 + 0.895*x*y - 5.735*x - 1.388*z + 3.704              18  proged    numdif      all             lorenz       30       0
