barmag_all_len100_snrinf_init0_obsxy,barmag_all_len100_snr30_init0_obsxy,barmag_all_len100_snr13_init0_obsxy,barmag_all_len100_snrinf_init1_obsxy,barmag_all_len100_snr30_init1_obsxy,barmag_all_len100_snr13_init1_obsxy,barmag_all_len100_snrinf_init2_obsxy,barmag_all_len100_snr30_init2_obsxy,barmag_all_len100_snr13_init2_obsxy,barmag_all_len100_snrinf_init3_obsxy,barmag_all_len100_snr30_init3_obsxy,barmag_all_len100_snr13_init3_obsxy
13.343917608261108,17.09132432937622,18.269611120224,12.186579942703247,20.604547262191772,18.791460752487183,14.710773944854736,19.5337815284729,17.512552499771118,13.232908725738525,11.667519330978394,18.278381824493408
0.11002407785831621,,,0.07986758221910517,,,0.1923026712349306,14.514799297117111,5.368220237627593,0.2864678268826864,3.418009088251655e+135,inf
0.27 - 0.3*arctan((0.03141467200582764*x_0 - 0.17413912411813485)*(0.002368283482682809*x_1 + 84.784766028063439)),0.1558125821934182 - 7.054072784455851e-5/(0.771882454324642*tan(14.337465937247662 - 8.55572646608215/(-4.976905616113067*sqrt(sqrt(1 - 0.1199878584206932*Abs(0.12638239481261462 + 2.4333783646489366/(0.208984977516671*x_0 - 10.396923957196583))) + 0.16559055496225265) - 8.06685589377776*sin(199.4679136725705*x_1 - 1285.78957070607) - 4.5178562707159845)) - 2.82813908834679),1.8162517502578516e-6*tan(1.2187912682985411 + 71.20824729827491/(16.43148748835027 - 3.011375104935089*x_0)) - 0.42937480351071408 - 0.01645898154595418/(3.6098317061442065*arctan(0.26621302367618198*x_1 - 1.7144727770179568) + 8.410240066666477),(0.042213706904029978 - 0.007004887212792678*x_0)*(-0.6793896634094099*x_0 + 1.8911202879379594*x_1 + (114.41277742024654*x_1 - 87.659635812976246)*(0.6900000000000001*arctan(1.8911202879379594*x_1 - 1.5124807572392768) - 0.00526) + 21.468074309958809),(3.641276725493596e-5*sin(183.36993718414582*sqrt(1 - 0.30323634298990771*cos(1552167.088983136*(sqrt((x_1 - 0.76287631952923079)**2 - 3.4685590620107124e-7) - 2.071189854905906e-6)**2 + 20.139191225928823)) + 1.5595106964677774) + 0.00039081080731001485)*(-2.1699442655735755*x_0 - 8.6697636943994112*x_1 + 63.05618061470209*sin((0.77962317964565402*x_1 - 38.325744042217842)*(152.73938516957824*x_1 - 116.70442677245344)*(-0.15119444154984249*sqrt(0.2998370365088067*x_1 + 1) - 0.7227897063493537)) + 179.48956194019559),(62.655110172605504*tan((16.927571038505306*x_1 - 9.9701187320008473)*(1.8448869283189093*x_1 - 31.3862736092703*(-0.02346416043785943*x_0 - 1)**2 - 30.872278654722567)) + 0.052221883614231)*(0.00011402216522523695*x_1 + 0.5552237470893388*(-0.013511972774069088 + 1/(68.055460575921899*sqrt(x_1 + 0.61903237234806679) - 8.897635940646392))**2 + 1.9746978339865511e-5),0.3837681*(arctan(-1.8199092878150956*x_0 + 10.715173672613963 - 0.0018599999999999999/(-0.131819060789256*x_1 + 0.62161077268099417*(x_1 - 0.48980427634086529)**2 - 9.35*sin(0.020036293465612747*x_0 - 0.11154467333151) - 0.47208446032218591)) + 0.1105666156202144)**2 + 0.009859999999999999,(0.853545295591821 - 0.005653011491545983*cos(0.34873202217362674*x_0 + (1.4661699863658018 - 0.20886666064726458*x_0)*(1030.8408466093059 - 185.9572076078324*x_0) - 3.692508478702322))*(7.152885269343074*x_1 + 34.26403913412307)*(1.1326513577088537e-5*cos(0.3406648733722447*x_1 + (6.180408860419686*x_1 - 1.412675705134696)*(-185100.0925937865*(-1 - 0.006897266756928608/(-7.244922498310981 + 0.016406368872788506/(0.92790517850016296*x_0 - 5.5536868942176014)))**2 - 9.910057568425733) + 0.035075668778817344) + 0.0064253954513790665),(3.821827416844793*x_1 - 57.224642008600429)*(sin((86.07184313986658*x_1 - 128.24643717836867)*(0.1563574857976099*cos(15.312909939231371 + 83.02644818643824/(0.09837933464323829*x_0 - 0.46411352944566685)) - 0.014795497871625839) + 9.595218793166895 - 5.710264429037285/(0.7567304254766667*x_0 - 4.239363488774349)) + 8.526054124931377)*(0.058120544562697206*(0.60909795819494808 - Abs(0.003569913217213056*x_1 + 0.3755995221060051))**2 + 6.115254081491207e-7*tan(25.21280672572772*x_0 - 141.2474623512679) - 0.0040793593697626969),5.1000000000000005*Abs(0.0495*arctan(2.363227790749231*x_0 - 0.031525273377526367*x_1 - 12.789194257834839) - 0.0459) + 0.00428,3.6066383294904947e-7*tan(1.950723492766057*x_0 - 104.72754799949903*x_1 + 30.961488723441847) + 0.16246884663160713,(0.8083508354145903*x_0 - 76.81742685883331)*(2.5555886766330165e-10*sin(65.57850822606104*x_1 - 8.9833326744910361) - 7.794470152993397e-5)*(0.4221943008318475*x_1 + 21.123746620397927*cos(0.020134299985093677*x_1 - (-0.06210222368572666*x_0 - 6.833101330402369)*(-0.005586862164581897*x_0 - 0.4692409124299711) + 5.3185779723184137) + 135.4379672285844)
(0.061431042358414803 - 0.01499123444538218*x_1)*(2.243905143273403*x_0 - 13.599794579866775)*(-12.95182048697408*x_0 - 1.501491728020901*x_1 + 85.936268522769071),(0.01667263749094928 - 5.318125104225637/(46.53637619227208 + 87.3020904933262/(3.222467788317835e-6*sin(305642.67928305615*(1 - 0.1552535214984418*x_1)**2 + 0.721001310487695) + 0.36550147566366503)))*(10.38545007771803*x_0 + 1.6685249298493484*x_1 + 0.005236418967560008*cos(178.5705534237942*x_0 - 1010.4435942862016) + 24.840134848293562*cos(0.42964185276644387*x_0 + 0.067981841086095968*x_1 + 5.1789453738722042) - 172.73925420624955),(-48.44128065567685*cos(17.204969710358169*x_0 - 94.600614340786638) - 0.01914788410660447)*(0.0015460288072689644*cos(6.673602130328666*x_0 + 6.27145942304111*x_1 - 78.91242373489897) + 0.00016262107345505907),0.3004505840667703*x_0 - 0.3406510080000002*(0.1376689189189189 - arctan(0.85553166227258842 - 1.7038993794321015*x_1))**2 - 1.8052288744379123,(7.179633427195515e-7*tan((101.56498178278764*x_0 - 585.69829647968193)*(0.083912776003031276*x_1 + 83.138032617386308)*(0.3930066101481028*(1 - 0.7412908131405638*sqrt(1 - 0.014697316844779048*x_0))**3 + 35.07362389970265)*(sin(1.8937046355881415*x_1 - 0.73253419945638022) - 0.02113814657162611)) + 0.007063427957125397)*(-0.058264426538250932*x_1 + cos(95.154427776570917*x_1 - 82.354589171761551) - 30.465438569277343),(0.00019718386799377194 - 9.955510054186084e-6*cos(0.24911704100136306*Abs(6.659253146550468*Abs(56.66366953420549*x_0 - 311.0231279537208) - 97.38781246360242) - 27.82497964806059))*(1.8448869283189093*x_1 - 227.2153550420301*sin(2.3195715132639469*(0.72365882493387257 - x_1)**2 + (52.39847012794252*x_0 - 289.8120996715848)*(-0.014755491678714606*sqrt((-5.60452473518829*x_0 - 41.42039461094181)*(4.4530847030918*x_0 - 107.6930993833379)) + 3.006198549666324 + 1/(0.0078308702078068741*x_1 - 0.0060577070647892502)) - 0.035799337638192145) - 1140.7048183814468),-0.018*(1 - 0.03*Abs(151.29887190861838*x_0 + 0.0144064547310662*x_1 - 862.25771796187212))**2 - 0.025,-0.0017028458453935279*x_1 + (0.053962177833926369*x_0 + 0.32649672097251944)*(2.211994394263035e-7*tan(564.6494584629601*x_1 - 262.41289267790335) - 0.009962874970390428) + 0.00043582165274770877*(0.13687204806080495*x_0 + 0.54433765615642088*x_1 - 1 - 0.0055439673368126942/(1.6200242172200753*x_1 - 0.75680270934514834))**2 - 0.068053791825497193,-7.109482375031116e-6*sin(26375.447706829793*(0.1822106619165292*x_0 - 0.159023778395119*x_1 - 1)**2 + 3.475893745828821) - 4.761630142279113e-6*cos(11.057127921823207 - 97.49758815257236/(3.5360009854497586 - 0.4472508348297335*x_0)) - 0.089011799113212254,(0.174499942354901*x_0 - 0.97351891476488511)*(-0.46*arctan(-2.243570687420156*x_0 + 11.145298668822455*x_1 + 8.140342727563923) - 0.77),-8.7676298134156663e-7*x_0 - 7.559013444005895e-7*sin(74.445157228710455*x_0 - 416.45142555519028) + 0.011258720643112485 - 0.00011803050651423773/(-20.397069659949622 - 77.5008175900205/(21.332057664301998*x_0 - 3.039977760056522*(0.048219255127683667*x_0 - 0.28906353942004834)*Abs(0.5438627847788939 - 0.6280112003266599/(12.299999425857765 - 0.048727521107912189*sqrt(0.0039534125036966846*x_0 - 0.020021305404001608*x_1 + 1))) - 120.2469777997651)),(-108.53837029439481 + 1/(1.255712841107554*x_0 + 10.112897995384921*cos(2055.2758799452756*(0.0051564922088601573*x_0 + 1)**2 + 0.1631473752926723) - 14.1504324087))*(8.303481673118158e-6 - 2.047349617190609e-8*sin((-255.22437124716781*sqrt(sqrt(0.68087497735731385 - x_1) + 0.073465154509360552) - 3.7631202897390916)*(0.3393336369808471*sin(0.7689937273747262*x_0 - 4.2181609410029858) - 98.5025647516594)))*(0.0883852706806961*x_1 + 0.15827795347741028*cos(0.11034608738365557*x_0 - 8.3987327247474258) + 31.361651867570953)
,,,,,,,,,,,
