	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
5	102	17	113	0.5956922855450193	0.5351145885159956	-0.153*x2 + 79.085/x1	0.214*x1 - 0.214*x2 + 9.008	102	dso	allonger	bacres	30	2
4	101	14	89	0.641981670286337	0.5882061696125889	-0.153*x2 + 79.085/x1	12.353 - 0.233*x2	101	dso	allonger	bacres	30	2
3	100	12	68	0.8643490166693646	0.8270910646806977	-0.153*x2 + 79.085/x1	x1 - 9.916	100	dso	allonger	bacres	30	2
2	41	10	84	2.375650857558814	2.373952183894631	6.03 - 0.129*x2	12.353 - 0.233*x2	41	dso	allonger	bacres	30	2
1	1	8	68	3.438522942207624	3.4433080238874076	-0.003*x2	12.353 - 0.233*x2	1	dso	allonger	bacres	30	2
0	0	6	47	10.235607358991167	10.308024363204785	-0.003*x2	x1 - 9.916	0	dso	allonger	bacres	30	2
