	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	exp_type	data_version	system	snr	init
0	9	12	10.159232426258079	15.988411840076601	0.499*y	-0.496*x	-0.569*y	0	proged	numdif	allonger	lorenz	13	0
1	10	14	10.01877434107658	15.707175892479714	0.499*y	-0.496*x	0.22*x*y	1	proged	numdif	allonger	lorenz	13	0
2	15	23	8.696035679323685	13.057316569597278	0.499*y	-0.496*x	0.028*x*y*z - 2.012*z	2	proged	numdif	allonger	lorenz	13	0
3	12	17	9.960759655065655	15.533490215111662	0.499*y	-0.014*x**3	0.22*x*y	3	proged	numdif	allonger	lorenz	13	0
4	17	26	6.727571639149471	8.711381896273444	-0.12*x*z + 3.403*y	-0.035*x*z	0.002*x**4	4	proged	numdif	allonger	lorenz	13	0
5	16	24	7.667850324069651	10.893897301958326	-0.12*x*z + 3.403*y	-0.496*x	0.002*x**4	5	proged	numdif	allonger	lorenz	13	0
6	34	65	2.95131485930878	3.0959493011139756	-0.12*x*z + 3.403*y	-0.372*x*z + 6.909*x + 2.086*z - 30.0	0.756*x*y - 30.0*z/(z + 10.048) - 30.0	6	proged	numdif	allonger	lorenz	13	0
7	37	72	2.711019219327584	2.577553194340461	-0.12*x*z + 3.403*y	-0.372*x*z + 6.909*x + 2.086*z - 30.0	0.804*x*y - 1.938*y - 30.0*z/(z + 10.05) - 19.831	7	proged	numdif	allonger	lorenz	13	0
8	14	21	9.24366021465563	13.332133187304082	-3.273*x + 3.457*y	-0.035*x*z	-0.569*y	8	proged	numdif	allonger	lorenz	13	0
9	13	19	9.90076528117783	15.446872950686592	-3.273*x + 3.457*y	-0.496*x	-0.569*y	9	proged	numdif	allonger	lorenz	13	0
10	21	36	4.340275819905434	6.2888451066279245	-3.273*x + 3.457*y	-0.e-3*x**3*z + 12.043	0.532*x*y - 30.0	10	proged	numdif	allonger	lorenz	13	0
11	29	52	3.054130083871608	3.674751526357021	-3.273*x + 3.457*y	-0.e-3*x**3*z + 12.043	0.756*x*y - 30.0*z/(z + 10.048) - 30.0	11	proged	numdif	allonger	lorenz	13	0
12	28	47	3.6946140985986924	5.038611929194236	-3.273*x + 3.457*y	-0.e-3*x**3*z + 12.043	0.443*x*y - 30.0*z/(z + 10.053)	12	proged	numdif	allonger	lorenz	13	0
13	24	43	4.312592147900245	5.524136426435912	-3.273*x + 3.457*y	1.83*z - 30.0	0.532*x*y - 30.0	13	proged	numdif	allonger	lorenz	13	0
14	18	31	5.844166480483656	7.161406987775001	-0.109*x*z + 3.96*y - 8.167	-0.035*x*z	0.002*x**4	14	proged	numdif	allonger	lorenz	13	0
15	20	34	5.113439949831518	6.267004057864957	-0.109*x*z + 3.96*y - 8.167	-0.e-3*x**3*z	0.002*x**4	15	proged	numdif	allonger	lorenz	13	0
16	35	70	2.745829687139898	2.7106859355183	-0.109*x*z + 3.96*y - 8.167	-0.372*x*z + 6.909*x + 2.086*z - 30.0	0.756*x*y - 30.0*z/(z + 10.048) - 30.0	16	proged	numdif	allonger	lorenz	13	0
17	38	77	2.61433727310137	2.45100910765081	-0.109*x*z + 3.96*y - 8.167	-0.372*x*z + 6.909*x + 2.086*z - 30.0	0.804*x*y - 1.938*y - 30.0*z/(z + 10.05) - 19.831	17	proged	numdif	allonger	lorenz	13	0
18	42	86	2.565553817198622	2.3138460564243153	-0.109*x*z + 3.96*y - 8.167	-0.039*x*y - 0.377*x*z + 7.12*x + 2.171*z - 30.0	0.804*x*y - 1.938*y - 30.0*z/(z + 10.05) - 19.831	18	proged	numdif	allonger	lorenz	13	0
19	19	32	5.7690363383738825	7.498027595124215	-0.003*x*z**2 + 3.621*y - 13.329	-0.496*x	0.002*x**4	19	proged	numdif	allonger	lorenz	13	0
