  complexity    length        TE    TE_inf  expr_x                            expr_y                                            expr_z                                               index_column  method    exp_type    data_version    system      snr    init
           9        12  10.1592   15.9884   0.499*y                           -0.496*x                                          -0.569*y                                                        0  proged    numdif      allonger        lorenz       13       0
          10        14  10.0188   15.7072   0.499*y                           -0.496*x                                          0.22*x*y                                                        1  proged    numdif      allonger        lorenz       13       0
          15        23   8.69604  13.0573   0.499*y                           -0.496*x                                          0.028*x*y*z - 2.012*z                                           2  proged    numdif      allonger        lorenz       13       0
          12        17   9.96076  15.5335   0.499*y                           -0.014*x**3                                       0.22*x*y                                                        3  proged    numdif      allonger        lorenz       13       0
          17        26   6.72757   8.71138  -0.12*x*z + 3.403*y               -0.035*x*z                                        0.002*x**4                                                      4  proged    numdif      allonger        lorenz       13       0
          16        24   7.66785  10.8939   -0.12*x*z + 3.403*y               -0.496*x                                          0.002*x**4                                                      5  proged    numdif      allonger        lorenz       13       0
          34        65   2.95131   3.09595  -0.12*x*z + 3.403*y               -0.372*x*z + 6.909*x + 2.086*z - 30.0             0.756*x*y - 30.0*z/(z + 10.048) - 30.0                          6  proged    numdif      allonger        lorenz       13       0
          37        72   2.71102   2.57755  -0.12*x*z + 3.403*y               -0.372*x*z + 6.909*x + 2.086*z - 30.0             0.804*x*y - 1.938*y - 30.0*z/(z + 10.05) - 19.831               7  proged    numdif      allonger        lorenz       13       0
          14        21   9.24366  13.3321   -3.273*x + 3.457*y                -0.035*x*z                                        -0.569*y                                                        8  proged    numdif      allonger        lorenz       13       0
          13        19   9.90077  15.4469   -3.273*x + 3.457*y                -0.496*x                                          -0.569*y                                                        9  proged    numdif      allonger        lorenz       13       0
          21        36   4.34028   6.28885  -3.273*x + 3.457*y                -0.e-3*x**3*z + 12.043                            0.532*x*y - 30.0                                               10  proged    numdif      allonger        lorenz       13       0
          29        52   3.05413   3.67475  -3.273*x + 3.457*y                -0.e-3*x**3*z + 12.043                            0.756*x*y - 30.0*z/(z + 10.048) - 30.0                         11  proged    numdif      allonger        lorenz       13       0
          28        47   3.69461   5.03861  -3.273*x + 3.457*y                -0.e-3*x**3*z + 12.043                            0.443*x*y - 30.0*z/(z + 10.053)                                12  proged    numdif      allonger        lorenz       13       0
          24        43   4.31259   5.52414  -3.273*x + 3.457*y                1.83*z - 30.0                                     0.532*x*y - 30.0                                               13  proged    numdif      allonger        lorenz       13       0
          18        31   5.84417   7.16141  -0.109*x*z + 3.96*y - 8.167       -0.035*x*z                                        0.002*x**4                                                     14  proged    numdif      allonger        lorenz       13       0
          20        34   5.11344   6.267    -0.109*x*z + 3.96*y - 8.167       -0.e-3*x**3*z                                     0.002*x**4                                                     15  proged    numdif      allonger        lorenz       13       0
          35        70   2.74583   2.71069  -0.109*x*z + 3.96*y - 8.167       -0.372*x*z + 6.909*x + 2.086*z - 30.0             0.756*x*y - 30.0*z/(z + 10.048) - 30.0                         16  proged    numdif      allonger        lorenz       13       0
          38        77   2.61434   2.45101  -0.109*x*z + 3.96*y - 8.167       -0.372*x*z + 6.909*x + 2.086*z - 30.0             0.804*x*y - 1.938*y - 30.0*z/(z + 10.05) - 19.831              17  proged    numdif      allonger        lorenz       13       0
          42        86   2.56555   2.31385  -0.109*x*z + 3.96*y - 8.167       -0.039*x*y - 0.377*x*z + 7.12*x + 2.171*z - 30.0  0.804*x*y - 1.938*y - 30.0*z/(z + 10.05) - 19.831              18  proged    numdif      allonger        lorenz       13       0
          19        32   5.76904   7.49803  -0.003*x*z**2 + 3.621*y - 13.329  -0.496*x                                          0.002*x**4                                                     19  proged    numdif      allonger        lorenz       13       0
