	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	exp_type	data_version	system	snr	init
0	9	12	6.472158873415552	6.472158873415552	1.425*y	-1.695*x	0.721*y	0	proged	numdif	allonger	lorenz	inf	1
1	40	83	1.0900989133090233	1.0900989133090233	-9.977*x + 9.977*y	-0.994*x*z + 27.767*x - 0.95*y + 0.089	0.997*x*y + 0.002*y - 2.66*z + 0.038	1	proged	numdif	allonger	lorenz	inf	1
2	18	31	4.1948723853489795	4.1948723853489795	-9.977*x + 9.977*y	0	0.45*x*y	2	proged	numdif	allonger	lorenz	inf	1
3	23	37	4.193988639771742	4.193988639771742	-9.974*x + 9.97*y*z/(z - 0.01)	0	0.45*x*y	3	proged	numdif	allonger	lorenz	inf	1
4	11	15	5.992864675965691	5.992864675965691	0.008*y**3	-1.695*x	0.721*y	4	proged	numdif	allonger	lorenz	inf	1
5	26	44	4.024366486305469	4.024366486305469	-9.977*x + 9.977*y	-0.952*x*z + 25.62*x	0.997*x*y - 2.658*z	5	proged	numdif	allonger	lorenz	inf	1
6	31	61	2.294442992066526	2.294442992066526	-9.977*x + 9.977*y	-0.994*x*z + 27.77*x - 0.951*y + 0.063	0.997*x*y - 2.659*z + 0.042	6	proged	numdif	allonger	lorenz	inf	1
7	35	70	2.2574431744268075	2.2574431744268075	-9.977*x + 9.977*y	-0.994*x*z + 27.77*x - 0.951*y + 0.063	0.997*x*y - 2.66*z + 0.04	7	proged	numdif	allonger	lorenz	inf	1
8	20	33	4.194857198866215	4.194857198866215	-9.977*x + 9.977*y	0	0.45*x*y	8	proged	numdif	allonger	lorenz	inf	1
9	22	40	4.194472010379453	4.194472010379453	-9.972*x - 0.e-3*y*z + 9.987*y - 0.002	0	0.45*x*y	9	proged	numdif	allonger	lorenz	inf	1
10	15	23	5.29957633010673	5.29957633010673	-9.977*x + 9.977*y	-0.103*x*z	0.45*x*y	10	proged	numdif	allonger	lorenz	inf	1
11	24	42	4.085584129239113	4.085584129239113	-9.977*x + 9.977*y	-0.949*x*z + 25.476*x + 0.812	0.997*x*y - 2.658*z	11	proged	numdif	allonger	lorenz	inf	1
12	27	49	2.9652973095642343	2.9652973095642343	-9.977*x + 9.977*y	-0.994*x*z + 27.77*x - 0.951*y + 0.063	0.997*x*y - 2.658*z	12	proged	numdif	allonger	lorenz	inf	1
13	28	54	2.2971880525471415	2.2971880525471415	-9.977*x + 9.977*y	-0.994*x*z + 27.77*x - 0.951*y + 0.063	0.997*x*y - 2.659*z + 0.042	13	proged	numdif	allonger	lorenz	inf	1
14	32	63	2.2591620643620796	2.2591620643620796	-9.977*x + 9.977*y	-0.994*x*z + 27.77*x - 0.951*y + 0.063	0.997*x*y - 2.66*z + 0.04	14	proged	numdif	allonger	lorenz	inf	1
15	16	24	4.690929365517837	4.690929365517837	-9.977*x + 9.977*y	-0.027*x**3	0.45*x*y	15	proged	numdif	allonger	lorenz	inf	1
16	39	78	1.0936314811994445	1.0936314811994445	-9.977*x + 9.977*y	-0.994*x*z + 27.767*x - 0.95*y + 0.089	0.997*x*y + 0.002*y - 2.66*z + 0.038	16	proged	numdif	allonger	lorenz	inf	1
17	17	26	4.194873568475781	4.194873568475781	-9.977*x + 9.977*y	0	0.45*x*y	17	proged	numdif	allonger	lorenz	inf	1
18	37	73	1.9993647843864588	1.9993647843864588	-9.977*x + 9.992*y - 0.047	-0.994*x*z + 27.77*x - 0.951*y + 0.063	0.997*x*y + 0.002*y - 2.658*z	18	proged	numdif	allonger	lorenz	inf	1
19	21	35	4.194511203283657	4.194511203283657	-9.972*x - 0.e-3*y*z + 9.987*y	0	0.45*x*y	19	proged	numdif	allonger	lorenz	inf	1
