  complexity    length       TE    TE_inf  expr_x                                  expr_y                                  expr_z                                  index_column  method    exp_type    data_version    system      snr    init
           9        12  6.47216   6.47216  1.425*y                                 -1.695*x                                0.721*y                                            0  proged    numdif      allonger        lorenz      inf       1
          40        83  1.0901    1.0901   -9.977*x + 9.977*y                      -0.994*x*z + 27.767*x - 0.95*y + 0.089  0.997*x*y + 0.002*y - 2.66*z + 0.038               1  proged    numdif      allonger        lorenz      inf       1
          18        31  4.19487   4.19487  -9.977*x + 9.977*y                      0                                       0.45*x*y                                           2  proged    numdif      allonger        lorenz      inf       1
          23        37  4.19399   4.19399  -9.974*x + 9.97*y*z/(z - 0.01)          0                                       0.45*x*y                                           3  proged    numdif      allonger        lorenz      inf       1
          11        15  5.99286   5.99286  0.008*y**3                              -1.695*x                                0.721*y                                            4  proged    numdif      allonger        lorenz      inf       1
          26        44  4.02437   4.02437  -9.977*x + 9.977*y                      -0.952*x*z + 25.62*x                    0.997*x*y - 2.658*z                                5  proged    numdif      allonger        lorenz      inf       1
          31        61  2.29444   2.29444  -9.977*x + 9.977*y                      -0.994*x*z + 27.77*x - 0.951*y + 0.063  0.997*x*y - 2.659*z + 0.042                        6  proged    numdif      allonger        lorenz      inf       1
          35        70  2.25744   2.25744  -9.977*x + 9.977*y                      -0.994*x*z + 27.77*x - 0.951*y + 0.063  0.997*x*y - 2.66*z + 0.04                          7  proged    numdif      allonger        lorenz      inf       1
          20        33  4.19486   4.19486  -9.977*x + 9.977*y                      0                                       0.45*x*y                                           8  proged    numdif      allonger        lorenz      inf       1
          22        40  4.19447   4.19447  -9.972*x - 0.e-3*y*z + 9.987*y - 0.002  0                                       0.45*x*y                                           9  proged    numdif      allonger        lorenz      inf       1
          15        23  5.29958   5.29958  -9.977*x + 9.977*y                      -0.103*x*z                              0.45*x*y                                          10  proged    numdif      allonger        lorenz      inf       1
          24        42  4.08558   4.08558  -9.977*x + 9.977*y                      -0.949*x*z + 25.476*x + 0.812           0.997*x*y - 2.658*z                               11  proged    numdif      allonger        lorenz      inf       1
          27        49  2.9653    2.9653   -9.977*x + 9.977*y                      -0.994*x*z + 27.77*x - 0.951*y + 0.063  0.997*x*y - 2.658*z                               12  proged    numdif      allonger        lorenz      inf       1
          28        54  2.29719   2.29719  -9.977*x + 9.977*y                      -0.994*x*z + 27.77*x - 0.951*y + 0.063  0.997*x*y - 2.659*z + 0.042                       13  proged    numdif      allonger        lorenz      inf       1
          32        63  2.25916   2.25916  -9.977*x + 9.977*y                      -0.994*x*z + 27.77*x - 0.951*y + 0.063  0.997*x*y - 2.66*z + 0.04                         14  proged    numdif      allonger        lorenz      inf       1
          16        24  4.69093   4.69093  -9.977*x + 9.977*y                      -0.027*x**3                             0.45*x*y                                          15  proged    numdif      allonger        lorenz      inf       1
          39        78  1.09363   1.09363  -9.977*x + 9.977*y                      -0.994*x*z + 27.767*x - 0.95*y + 0.089  0.997*x*y + 0.002*y - 2.66*z + 0.038              16  proged    numdif      allonger        lorenz      inf       1
          17        26  4.19487   4.19487  -9.977*x + 9.977*y                      0                                       0.45*x*y                                          17  proged    numdif      allonger        lorenz      inf       1
          37        73  1.99936   1.99936  -9.977*x + 9.992*y - 0.047              -0.994*x*z + 27.77*x - 0.951*y + 0.063  0.997*x*y + 0.002*y - 2.658*z                     18  proged    numdif      allonger        lorenz      inf       1
          21        35  4.19451   4.19451  -9.972*x - 0.e-3*y*z + 9.987*y          0                                       0.45*x*y                                          19  proged    numdif      allonger        lorenz      inf       1
