t,x,y,z,dx,dy,dz
0.0,-0.9853312050615619,-1.2897261621921063,-9.828432864208683,49.95679287798269,-408.36007264326156,1293.3082761310066
0.01,-0.485763276281735,-5.373326888624723,3.104649897101383,59.5782266542104,22.44197939800785,272.1927253891949
0.02,0.20623332802264605,-0.8408865742319493,-4.384578356424784,-84.03736130137229,242.52797464543062,-499.119676433949
0.03,-2.1665105023091806,-0.5227673957161101,-6.877743631577597,-164.39097934589367,-79.46943453697438,137.85182041449184
0.04,-3.081586258895227,-2.4302752649714368,-1.6275419481349471,87.29254405581867,-109.71293599738708,-128.83623680884634
0.05,-0.4206596211928073,-2.7170261156638515,-9.454468367754524,-90.03726594841217,-88.39295805392027,615.7724885691017
0.06,-4.882331577863471,-4.198134426049842,10.687907823247087,-24.494621549162222,-41.86719307829365,673.8565447507332
0.07,-0.9105520521760517,-3.5543699772297246,4.02266252726014,100.70967713694438,-24.17802823695352,-1276.0754556800907
0.08,-2.868138035124583,-4.6816949907889125,-14.833601290354727,-198.11731265371336,-124.41733102770225,-208.32898428242817
0.09,-4.872898305250319,-6.04271659778377,-0.14391715838842312,-96.72741383508867,-196.84466387452622,389.37862021095015
0.1,-4.802686311826356,-8.618588268279437,-7.046028886135724,-49.93505631750272,-127.41539636245447,-368.79360947284755
0.11,-5.871599431600374,-8.591024525032859,-7.519789347845375,115.68644900999867,58.230393395946535,537.6868971241802
0.12,-2.488957331626383,-7.453980400360506,3.7077090563478805,134.85758787622095,-218.42307567333233,537.7850310538576
0.13,-3.174447674075955,-12.959486038499506,3.2359112732317765,-165.8253709405407,-266.95102891288445,2.655438702413493
0.14,-5.805464750437197,-12.793000978618196,3.7608178303961504,0.5076857825193848,145.54983683615106,161.69944307694863
0.15,-3.164293958425567,-10.048489301776485,6.469900134770749,-142.21201024683555,-156.9977139781324,431.66130182237623
0.16,-8.649704955373908,-15.932955258180844,12.394043866843676,-205.68049570344363,-462.37416370622753,285.9805949104745
0.17,-7.27790387249444,-19.295972575901036,12.18951203298024,-62.744972105822505,-94.99079812514992,-123.77739270828991
0.18,-9.904604397490358,-17.832771220683842,9.918496012677878,-164.94018637542646,-38.69150201285976,195.6143348306373
0.19,-10.576707600002969,-20.06980261615823,16.101798729592986,100.75631900471689,-240.22209577659197,-75.3516603777422
0.2,-7.88947801739602,-22.63721313621568,8.411462805123033,-179.9246711834641,-253.11563117895676,-373.019411351555
0.21,-14.175201023672251,-25.132115239737367,8.641410502561886,-314.6904828806021,-395.2835631018857,204.92227776661824
0.22,-14.183287675008062,-30.542884398253396,12.509908360455398,89.84824281124988,15.209969780054955,433.766887182634
0.23,-12.378236167447254,-24.827915844136268,17.316748246214566,-152.44163792136146,-84.99110290207578,966.2314470574725
0.24,-17.23212043343529,-32.24270645629491,31.834537301604847,-258.8515557085148,-245.16806342332825,-19.66097045676456
0.25,-17.55526728161755,-29.731277112602832,16.923528837079274,-117.58337985871296,235.95852557134674,154.5546060081012
0.26,-19.58378803060955,-27.523535944867977,34.92562942176687,-204.6643176509315,68.87884128162476,751.8414961370453
0.27,-21.64855363463618,-28.353700286970337,31.96035875982018,85.41182001223628,187.4930923256169,-119.95035437375812
0.28,-17.875551630364825,-23.773674098355638,32.52662233429171,139.23125172121686,412.9014432492241,222.06644854834926
0.29,-18.863928600211842,-20.095671421985855,36.40168773078717,-275.6680167243976,148.30114150468833,597.3419984063895
0.3,-23.388911964852777,-20.80765126826187,44.4734623024195,-61.1026852104688,377.0567105048151,332.6488090213665
0.31,-20.08598230442122,-12.554537211889553,43.0546639112145,172.61061027657476,685.2401937211329,900.0084505970456
0.32,-19.936699759321282,-7.102847393839212,62.47363131436041,104.94592228879486,245.572300709183,370.2657377603373
0.33,-17.98706385864532,-7.643091197705893,50.45997866642124,-11.752306142554048,163.24858797440535,-645.581708327451
0.34,-20.171745882172363,-3.8378756343511045,49.56199714781139,79.61588036844009,442.02306721527896,74.0503200727833
0.35000000000000003,-16.39474625127652,1.1973701465996864,51.94098506787691,350.49861805008857,462.167100766888,334.5331996205534
0.36,-13.161773521170591,5.405466380986656,56.25266114022246,220.38381808944683,536.8801149041361,-22.92782313077666
0.37,-11.987069889487582,11.93497244468241,51.482428605261376,149.6778159745939,195.31687107654125,-1058.805146015913
0.38,-10.168217201678713,9.311803802517481,35.0765582199042,213.61644008505883,-94.70018707788128,-716.037396830982
0.39,-7.714741087786406,10.040968703124785,37.161680668641736,77.46343185498192,-39.09712209037366,-370.81671496586335
0.4,-8.618948564579075,8.529861360710008,27.660223920586933,157.57797576990043,79.12601016977972,142.9768651958877
0.41000000000000003,-4.563181572388397,11.623488906520379,40.02121797255949,307.56554659654216,298.14796160226075,416.4110610016385
0.42,-2.4676376326482314,14.492820592755223,35.9884451406197,57.988446896258615,-58.59920571657033,-454.72833869196165
0.43,-3.403412634463225,10.451504792188972,30.926651198720258,59.06710309204801,-292.2976909285238,374.87764108211826
0.44,-1.2862955708072712,8.646866774184746,43.48599796226207,265.764574359571,169.73147187174513,-39.158677915587425
0.45,1.9118788527281945,13.846134229623875,30.14347764040851,-95.36438895365566,59.11974192419089,-760.755770369367
0.46,-3.1935833498803845,9.829261612668564,28.270882554874728,-29.063847600633295,-301.52519540659085,-489.84736823930285
0.47000000000000003,1.3306019007155285,7.8156303214920575,20.346530275622452,388.78929142998913,157.18611688715293,292.545658137489
0.48,4.582202478719399,12.972983950411622,34.12179571762451,163.02036785131952,146.61138522143654,193.45100217634882
0.49,4.591009257741919,10.747858025920788,24.21555031914943,116.78393609803175,26.01636859024188,-521.5956571603689
0.5,6.917881200680034,13.49331132221646,23.68988257441713,40.83282517612554,114.81515922370092,471.79499742014775
0.51,5.40766576126443,13.044161210394806,33.651450267552384,-15.507653369291452,-251.6667980435889,-603.2681964492677
0.52,6.607728133294205,8.459975361344682,11.624518645431774,95.24226205399806,40.467025416944665,-139.64871474101875
0.53,7.312511002344391,13.8535017187337,30.85847597273201,57.47389833379199,-88.84431418011016,29.158684437263638
0.54,7.757206099970045,6.683089077742479,12.207692334177047,95.65776556212877,-193.24891426699836,122.67530642333853
0.55,9.225666313586967,9.988523433393732,33.31198210119878,37.871990123564636,297.32446480898165,412.4988585876043
0.56,8.514645902441337,12.629578373922111,20.457669505929132,-388.4919409549917,-157.62810071374446,476.33304990939394
0.5700000000000001,1.4558274944871323,6.835961419118843,42.83864309938666,-75.1402873589443,-110.08215309340139,-0.8869289376425726
0.58,7.011840155262451,10.427935312054084,20.43993092717628,138.57486333182956,135.7844723387813,-273.1703359344685
0.59,4.2273247611237235,9.55165086589447,37.37523638069729,20.187682311702204,-107.37390316576247,360.11021831611953
0.6,7.415593801496495,8.280457248738834,27.642135293498672,207.52540326287257,-47.015684270133825,-364.290994084557
0.61,8.377832826381175,8.611337180491793,30.08941649900615,-122.32789591630136,169.12462728830846,-129.00737584618813
0.62,4.969035883170468,11.662949794505003,25.06198777657491,-83.81082813765461,54.36408065904485,-218.18705299854813
0.63,6.7016162636280825,9.69861879367269,25.725675439035186,-17.683800730886468,-99.28234906820519,-19.612649688133388
0.64,4.615359868552739,9.6773028131409,24.66973478281224,54.68741299011488,-30.696244264053618,335.12308427013477
0.65,7.79536452343038,9.084693908391618,32.42813712443788,306.2624088533602,-82.99819806495465,162.78566425400845
0.66,10.740608045619943,8.017338851841807,27.92544806789241,164.09788371365735,-208.4905399694689,-142.82132434959235
0.67,11.077322197703527,4.91488310900224,29.571710637446035,-80.06368838925421,7.226319853381824,-321.1705520038175
0.68,9.139334277834859,8.161865248909443,21.502037027816062,-84.13299268637759,-80.73252511271365,-208.48918568995546
0.6900000000000001,9.394662343975975,3.300232606747967,25.401926923646926,-7.640566464890064,92.0396373234258,413.66948693691637
0.7000000000000001,8.986522948537058,10.002657995377959,29.77542676655439,-114.5498490749969,394.7942868599428,-283.0898453780762
0.71,7.103665362476037,11.196118343946823,19.740130016085402,-263.9715346659228,-205.79793352824998,-790.8744089836829
0.72,3.707092255218602,5.886699324812959,13.957938586880731,73.86050971624543,-53.043629079936046,575.8742898326741
0.73,8.580875556800946,10.135245762348102,31.257615812738884,128.79992152171752,119.66572083090448,518.8388065185138
0.74,6.283090685652953,8.280013741431048,24.334714717251007,25.41603822934997,-56.676659395429496,-931.2288637459798
0.75,9.089196321387945,9.001712574439512,12.633038537819287,-43.38509824811618,-96.62423790279142,78.51606637103252
0.76,5.415388720690629,6.34752898337522,25.905036044671657,38.06877540381341,-141.4183972708079,694.6754979461057
0.77,9.850571829464213,6.1733446290233545,26.526548496741402,110.04503237181366,70.07885440022821,243.11315063578522
0.78,7.616289368126902,7.749106071379784,30.767299057387362,-22.48567313194121,237.3072660280325,-5.429031077992619
0.79,9.40085836682539,10.919489949584005,26.41796787518155,119.51748559628999,-111.45600262645891,-306.1398329306021
0.8,10.006639080052702,5.519986018850606,24.64450239877532,-96.42346599141418,15.157668500171795,-189.67902493856545
0.81,7.4723890469971055,11.22264331958744,22.62438737641024,-266.99288826412186,210.1423406315537,303.40698647403457
0.8200000000000001,4.666781314770265,9.72283283148168,30.71264212825601,31.310876760294846,-35.16220221910569,598.0148458072013
0.8300000000000001,8.098606582203002,10.519399275205327,34.584684292554265,260.0216143677686,46.700294938312226,180.21419898738404
0.84,9.867213602125638,10.656838730247925,34.31692610800369,-230.21269278348657,-70.85385132495325,-424.70585392313694
0.85,3.494352726533271,9.102322248706262,26.090567214091525,-39.27647063848774,37.56769378594651,-55.43639928472608
0.86,9.081684189355883,11.408192605966855,33.20819812230917,277.80067763331704,117.14298664028347,566.9089563375935
0.87,9.050366279199611,11.445181981511931,37.4287463408434,-91.54701290346816,-288.6405693616595,-50.34355916808195
0.88,7.25074393128652,5.635381218733665,32.20132693894753,74.07453860180837,-42.08320431152268,-323.4496194161844
0.89,10.531857051235779,10.603517895281477,30.95975395251971,-45.72235397851632,66.18663603267834,-875.9286924413253
