bacres_all_len100_snrinf_init0_obsxy,bacres_all_len100_snr30_init0_obsxy,bacres_all_len100_snr13_init0_obsxy,bacres_all_len100_snrinf_init1_obsxy,bacres_all_len100_snr30_init1_obsxy,bacres_all_len100_snr13_init1_obsxy,bacres_all_len100_snrinf_init2_obsxy,bacres_all_len100_snr30_init2_obsxy,bacres_all_len100_snr13_init2_obsxy,bacres_all_len100_snrinf_init3_obsxy,bacres_all_len100_snr30_init3_obsxy,bacres_all_len100_snr13_init3_obsxy
13.044341564178467,16.77454137802124,15.27599048614502,13.32155990600586,15.956437110900879,16.362571239471436,15.309598445892334,20.668824195861816,17.40261435508728,11.056203126907349,16.010229110717773,16.214620351791382
0.2474341002176138,,2.1762861718114426,0.366733098169684,,,0.47642634952173424,,,0.15457975297226068,,5.9736356586843735
0.8400669308169996*(0.03951635028682724*x_0 + 0.03450190344652977*(0.93150133750629448 - 0.0158337713316539*x_1)*(3.88719086192104*x_1 - 155.03257835779529) - 1)**2 - 0.8,(-4.7845540170352784e-5*cos(2.199697839041611*x_1 - 1236.1614024430768*(1 - 0.072374931803980078*x_0)**2 + 8.61945726183081*sin(0.04024644795683881*x_1 - 5.620509476795587) - 138.46530444900565) - 0.004535978968780596)*(0.07780730629331938*x_1 + 0.4807120705100813*cos(-24.31013241428261*x_0 + 0.21552449176588712*sqrt(0.0048480963214930538*x_1 + 1) + 331.56658381883463) - 42.855682975017041),(7.091096935363184*arctan(35.900956159250654*sin(11.67850251791912*x_0 - 162.42158845917968) - 7.3740727703224636) + 0.1429713171525259)*(0.0034533607182506486*cos(0.262022841263305*x_0 - 4.154169155742194) - 8.599279393904505e-5)*(6.9088009605609475*cos(1.3148951064280407*tan(2.7850564074934872*x_0 + (0.0049079948310669392*x_1 - 42.461043383360041)*(0.7672438732246801*arctan(0.023161006401326522*arctan(-83.20039544465793 + 8.64842021965249/(0.015837136039949009*x_1 - 0.6920562301518778)) + 12.755104287680098) - 5.4195656799572065) - 39.055806788161317) - 5.511206760592564) - 0.7542482908650977),9.6697100428332672*(0.01368763671223055*x_1 - 1)**2*(0.025599808957222735*x_1 + 0.0040046337042664724*(0.025120690049323562*x_0 + 1.7355156581311063)*(3.071972255876617*x_0 + 0.13269022965439236*x_1 - 107.58997274247854) - 1)**2 - 0.8260000000000001,(-0.0010052073449151064*arctan((3284.5101213852213 - 42.27039485762614/(0.07815257791386322*x_1 - 81.494436684609633))*(3940.508080620147*x_0 - 51037.27746575675)) - 0.0005571948120264615)*(-189.4024788149878*x_0 - 120.61088583085701*sin(1.1911841090504508*x_1 - 45.031359051003902) + 2486.2446895304147),(1.6081058536039625 - 3.6309556373864824*arctan(0.0641493195438324*x_1 - 16.93089434580868))*(1.805164860766325e-10*cos(6.503801933179287*x_0 + 0.85393333626577009*x_1 - 115.6053358246035) - 0.0009166745600649349)*(-0.03872312800041045*x_1 + 0.013177837428778478*cos(4.946607007673171*x_1 + 4.741939856656127*sin(1.3231481547128581*x_1 - 47.691200373216804) - 189.9534685091058) - 246.52561868060161),27.51185391930027*(-0.013402836405755339*x_0 - 0.01599112286045036*x_1 + 1)**3 - 0.806,(-0.004581533547680719*sin(0.07318481537901854*x_1 - 3.1561447880875129) - 0.0010563540807776795)*(-11.323595014230444*x_1 - 60.896602530602365*sin(40.260553934400942*x_0 - 570.39549028215425) + 413.12434705627186 + 0.011273929896421824/(0.4513891186233505 - 0.03645045037149667*x_0) + 79.29440718970837/(0.12910323377903646 - 16.459104972006205*cos(52.05710328664673*cos(2.6621031011890186*Abs(3.1220489410544796*x_0 - 43.45040306133883) + 3.1465588271558507) - 0.011025152368640358))),(-7.4383518984631133e-9*x_0 - 2.8784972175174487e-5)*(10.5440488166125*sin(20.112036583817618*x_0 - 263.86072541657545) + 582.0200178464291)*(cos(3.235868542446189*x_1 + (6.141206534397522*x_1 - 234.58545803611108)*(1.4987831758182166*(-0.085549670931507148*x_0 - 1)**2 + 1.0515823132628013*Abs(6.1824633835836218*sqrt(0.0012929806946630497*x_1 + 1) - 89.46795717054744) + 1.1736506950559165) - 168.01966103659881) - 16.054795918209134),31.279193867735214*(-0.016509811278195194*x_0 - 0.014801752878946485*x_1 + 1)**3 - 0.8270000000000001,0.0292029530060786*x_0 - 0.1957116869424607*x_1 + 1.2477410439573535*(1 - 0.028907429757183166*x_1)**2 - 35.55743098943813*(-sqrt(0.807389533249082*log(0.001859826016170981*x_0 + 0.3731342772266346) + 1) - 0.1787795152018212)**2 + 24.296548799891841 - 4.8429815850890596e-5/(0.004438726331791678 - 0.005802308033943147*cos(499182864.8560639*(0.07220219588139967*x_0 - 1)**3 + 14.801788108162148)),(7.261886825051318e-6 - 1.5278321854171535e-8*x_1)*(31.507112522940375 - sin(17.744463145989922*cos(0.27665461040230998*x_1 - 12.027671779775533) + 5.195139019146842))*(0.0067341192405724863*x_0 + 14.393788430643303)*(0.056418660082302625*x_1 + 0.04386600540700948*arctan(330.6895563980949 - 23.14327359139384*x_0) + 24.294667783620604)
0.04283565116973245*x_0 + (0.31290012819986862 - 0.0311133606667*x_1)*(0.005669424419523411*x_0 - 0.1454203452715701)*(-0.06745186587284571*x_1 - 64.40980430222318) + 7.782201835725916,2.4872819354624894e-8*tan((-0.007984016236017353 + 1/(3.120210466575659*x_1 - 124.9762471891286))*(0.003409606767295013*x_0 + 0.2330234356550973)*(3.594813218938976*x_0 - 49.48139546874252)*(-1.2330963391927926*x_0 + 0.07780730629331938*x_1 + 2161536.7682521556*(0.072724008095590559*x_0 - 1)**3 + 15.692926028318475)) + 4.5238812836249185,1.5518356007325476e-6*sin(4.3817162386589692*x_1 - 178.87098696503767) + 8.075591470376314 - 0.00014088141952491848/(1.454771418737292 - 126.86784252742312*arctan(4.806412678595902 - 11.940222776722923*sin(1.678282863428999*x_0 - 9.0716694818109473))),-0.0314921736321084*x_0 + 0.0030362646667975665*x_1 + 6.42*sqrt((0.085209893439149863 - 0.000646279471493158*x_1)*(1.42039442928324*x_0 - 0.4417804116728593*x_1 + 8.2080649431047721)) - 0.28505654159882077,-8.362251163230496e-7*tan(1.3521967969986565*x_1 - 53.40040740968242) + 4.3790694548270404 - 2.459500354599036/(0.7105758170456871*sin(0.01599968234687676*x_0 + 1.359595328259178) + 6.986006457796009),(-0.0036217737084725032*x_0 + 1.1189605467328836e-6*cos(3.501675750422532*x_1 - 44.01460851493742) + 32.938613534520721)*(1.2787126420992212e-9*sin(26.477458253865394*x_0 - 345.45998517133065) + Abs(1.225283132118631e-5*x_0 + 0.43053703366016843) - 0.31940038335181626 + 1.638653729949383e-9/(0.94941672513795543*x_0 - 13.745393883257179)),(-0.009649987188605801*x_1 - (3.622375200911264 - 0.25724241577792296*x_0)*(0.00131*arctan(3.1077536786430472*x_0 - 0.002612919607991725*x_1 + 23.927641111532609) + 0.29500000000000004) - 2.121254829011135)*(0.07423067068158308*x_1 + (0.068341967784984914 - 0.014164913870644377*x_0)*(19.236598304049614 - 0.36336083407305138*x_0) - 2.834571315298962),-2.392738959719119e-9*x_1 + (3.9234849926811442e-9 - 1.0436205454546007e-10*x_1)*(90.92548880531571*sin(9.126329540485171*sin(4.1046891170686072*x_0 - 56.94746422530691) - 0.6584506051839847) + 0.0354317773095258) + 5.0995090004248882,(0.16419553076693247 - 1.804502938246033e-7*sin((0.1353551320389451 - 63.28968052303598*sin(0.06396258045754365*x_1 + 1.3775554123913358))*(-1.5436087186512522*(0.57727044881690068 - sin(0.041943850139352899*x_0 + 7.4817635980981147))**2 - 15.066992039981342)))*(15.295574431277403 - 1.0907169181295375*arctan(-0.0065196461370835917*x_1 - 58.458600086263116*sqrt(0.0012521101450066689*x_0 + 1) - 5.4169044340710273)) + 0.05918588034613676 - 4.448004800158276e-8/(2.188368872518195*sin(4.261045110302257*x_1 - 163.22029817668072) - 0.02167332314596193),8.3636352875171751*sqrt(0.070404217832260755*x_0 - 0.029747005232639061*x_1 + 1) - 3.0,(-1.0313357726365416e-7*cos(46.408771723922949*x_0 - 660.05100302015204) - 0.0006828061263000934)*(0.10190054095161841*x_0 + tan(2.985128992382441*x_1 - 113.50655873917815) - 6745.1799165521474),(-7.051291635427426e-10*tan(19.153266023106667*Abs(7.143683984034804*x_0 - 101.5144755370672) - 0.14570142900886537) - 0.16433460323274818)*(216.1679700532785*tan(1.1591509879887445e-9*x_0 - 1.6349376625768755e-8) + Abs(6.0817046136700168e-8*x_1 + 80.270253556044851) - 118.06242169328914 - 5.349023348667409e-9/(0.078081936690713414*x_0 - 0.47806320427965507))
,,,,,,,,,,,
