lv_all_len100_snrinf_init0_obsxy,lv_all_len100_snr30_init0_obsxy,lv_all_len100_snr13_init0_obsxy,lv_all_len100_snrinf_init1_obsxy,lv_all_len100_snr30_init1_obsxy,lv_all_len100_snr13_init1_obsxy,lv_all_len100_snrinf_init2_obsxy,lv_all_len100_snr30_init2_obsxy,lv_all_len100_snr13_init2_obsxy,lv_all_len100_snrinf_init3_obsxy,lv_all_len100_snr30_init3_obsxy,lv_all_len100_snr13_init3_obsxy
28.424276113510132,33.43302035331726,41.796651124954224,25.952698469161987,20.574456453323364,16.48738121986389,17.47003173828125,19.596837997436523,22.50484800338745,26.02135992050171,19.528031587600708,22.681549549102783
3.465344882996262,,inf,1.6478951174777348,,5.813003090922454,4.7505561019961,,,5.947543343867414,,
-4.2225936437420421*(0.05505909696735735 - x_0)**2*(0.02885749534400858*(0.7721888798639708*x_0 - 1)**2 + 1)**2 - 0.504*arctan(1.1450149817891727 - 0.5780049590689476*x_1) - 0.01567,-0.5968198493672024*x_0 - 0.13454861851337186*x_1 + (0.3568297765143071 - 5.167271423092661*x_0)*(0.581963944025811*x_0 - 0.033909126079923839) + 0.0775*cos(-527.7718620216627*x_0 + 0.049535312288505054*x_1 + 41.294318673723717) + 0.25266335068677644,(-0.7921779113296552 + 0.009112861211120326/(5.3356696070850414 - 112.92927950533847*x_0))*(-9.5213006222815063e-5*(x_0 - 2.5551072608849099e-5*(0.95742072315191316 - (-1 + 0.01290362233515182/(0.23106076061588313 - 0.57047923575190706*x_1))**2)**3 - 0.051400810353808174)**2 - 0.002747143361318323)*(6.217516868682659*x_0 + 32.623852461985436*sin(51.537238993155393*x_1 - 107.12279650964927) - 32.958965263397075),(0.0758 - 0.20365530538208998*sqrt(exp(0.080358483388053511*x_1) + 0.006857273420701344))*(81.8 + 1/(-320.7048137379084*x_0 - 0.04600388344295948*x_1 + 906.56890372532889))*(0.9760000000000001*Abs(0.9705709030634636*(0.13450631350128181 - x_1)**2 - 0.052000000000000005) - 0.029500000000000002),(0.8580000000000001*cos(21.28631246725235*x_1 + 0.5361725335049395) - 0.332)*(5.402617377475215*x_1 - 1.6600000000000001*cos(159262.1269520773*(0.2930021832071732*x_0 - x_1 - 0.70489500778853751)**2 + 0.00447) - 0.57490778337438081),(0.0009141673311090353*arctan(0.9404377164289728*tan(-45.802172146969508*x_0 + 156.7660874458785*x_1 + 12.130907667164576) + 1.411088436370346) + 0.011240568483025716)*(-2.6909577393080606*sin(123.8071842531728*x_0 + 21.354784728871988*x_1 - 8339.188323688353*(0.31843719748211494*x_0 - 1)**2 - 366.94275538489105) - 20.072188551952923),(-0.309 - 5.78/(1.6510331530377322*x_0 - 4.740002943558698))*(0.00416 - 2.94*Abs(0.090806823417075287*x_0 - 0.2694679118957284))*(-9.0070571751097124*(x_1 - 0.13897269455667067)**2 - 0.046000000000000006),-(0.0083 - 0.229*cos(44.761658722428218*x_0 - 128.2867611347645))*(15.391833161267267*x_0 + 33.073916814643558*x_1 - 49.800366755527435) - 0.9390000000000001*sin(88.962379284507613*x_1 + 54.75280299474113) - 0.030900000000000004,1.7347459603833518e-7*x_0 - 5.441183611368979e-7*sin(8.363151850763154 - 20.684168046637996/((0.410653333839861 - 50.45306204682426*(1 - 0.22096025853119373*x_0)**3)*(0.024343837027321866*x_1 + 0.054101525650458624))) - 1.0052244959452453e-7*tan(32.7942584353157*x_1 + 39.779500748083363 + 95.89657499859541/(9.2440518517264911*x_1 + (0.013923144582791676 - 0.03236592842460418/(1.1167761415797193*x_0 - 59.046141349800629))*(89.183080477353618 - 30.146818705424133*x_0) - 1.3467808766942879)) - 0.62487599255446806,-0.1282147316165824*x_0 - (0.05164861083998833 - 0.032034130125664278*x_1)*(3.7248988518214277*x_1 - 6.612629167440504)*(17.8475943626042*(0.28661316217192745 - x_0)**2 - 0.8320000000000001) + 2.569813038782173*(0.34768678466771295 - x_0)**3 - 0.0018795680598742354*sqrt(0.90572203331904591*x_1 - 1) - 0.1039087049444694,0.24468519151057254*x_1 + (0.016595717671940643*x_1 + 0.6906448895844062)*(-0.319*cos(204.2832812258727*x_0 - 58.96337564066739) - 0.028) - 2.1856029520996823*(-0.7456886434637318*x_0 - 0.50985173690704761*x_1 + 1)**2 - 0.5248080867510729,(-2.81*sin(1.2358391161896183*x_1 - 1.942041555365984 + 4.63/(1.8200870636076851*x_1 - 3.08636458816787)) - 0.009)*(-0.01742558281198159*x_0 - 1.6970720560500493*(0.3865274877178163 - x_0)**2 - 0.468*cos(64.613090758072821*x_1 - 109.645142879959) + 0.28952061055164375)
(0.02131984483401477*x_0 - 0.003580824264170292)*(0.4445967642215275*x_0 - 86.83129767672843)*(3.847971994431934*x_0 - 2.467721299201606*x_1 - (0.049466975070942653 - 0.02497098933715911*x_1)*(53.32040664346327*x_1 - 98.26654088677755) + 4.7890205888865244),-1.1295947570762882e-5*x_0 - 2.367073069375433e-6*sin(0.04349420746002423*x_1 - (-2.054393663915857*x_0 - 98.911281983271171)*(559.1235988043561*x_0 - 39.379076220884165) + 3.8286601233816757 + 0.0079121946795048998*exp(-14.791196268486209*x_0)) - 0.11092098331070845,(-8.048021763685181 + 2.0652192872270094e-6/(9.56492030358488*cos(502.064850694044*x_0 + 1.0148851487824302*(1 - 0.56075442761146439*x_1)**3 - 41.049419958775094) + 1.6175184451675382))*(0.006841234793525935 - 4.3963264072869887e-8*cos((184.224222738065 - 92.0829282097815*x_1)*(0.00786946336432208*x_0 - 0.10445191281084258*x_1 - 91.287943269558213))),(0.03228571950381628*x_0 - 0.061357252793757873)*(0.32359120827404097*x_1 + 0.0051162438414593596)*(179.3651083545349*x_0 - 323.5912082740409*x_1 - 532.75653714011426),-0.6969376416943028*x_1 - 12.06914886308971*(0.0161698113207547 - arctan(4.8100000000000005*cos(-144.0483790475421*x_0 + 70.77428764492531*x_1 + 399.386065931046) - 0.14))**3*(-Abs(0.3976326389821759*x_1 - 0.09583596485635444) - 0.07089783281733746)**3 + 0.003259884055295115,(-2.3173159985108973 + 1/(1.451551468785703*x_0 - 13.45449537263192))*(3.547483726155607e-7*sin(2884.241441293269*(1 - 0.011917843793242243*x_0)**2 - 0.08648029512715738) + 0.0012041523603894546)*(-70.87746408020968*sin(0.0002405571206166618*tan(41.37276523223866*x_1 - 4.2791048605083848) + 93.68938144173309) - 0.4438343032395654),(-0.002 - 0.0070999999999999995/(16.510331530377322*x_0 - 7.1923831688616258*(sqrt(sqrt(x_0 - 0.93729465917427135) - 0.025906176032677705) - 0.00027648386399612656)**3 - 47.33713943558698))*(1169.6307103106754*(x_1 + 0.059826255723580352)**2 + 0.40900000000000003),(-8.8402827222764779*(x_1 - 0.16094350353950419)**2 - 0.0824)*(0.35471821634075385*sqrt(0.00098798002813149379*x_0 + 0.30227638441651677*sin(0.23289276309455272*x_0 + 0.27262664619445884*x_1 + 2.257287867384723) + 1) - 0.00835) - 0.08070000000000001*cos(1.1941948065061109*x_0 - 148.15105905040987*x_1 + 16.660950670076627) + 0.0065,-1.2331423380123394*x_1 - 0.7050000000000001*sin(0.914*tan(13.959701769746491*x_0 + 37.19130114754571*x_1 - 45.072701393843238) - 0.48600000000000004) - 0.617*cos(104.19521400938781*x_0 - 298.86465224823214) + 0.19055613215135492,-3.087845884416364*(x_0 - 0.3027581437562296)**2*((0.26228490925213973*x_1 - 0.005228356490913737*sqrt(0.0385225509728452*x_0 + 1) - 1)**2 + 0.02627109957382638*cos(0.00722 - 0.67/(10.49857749116243*x_0 - 3.033880287850727)) + 0.5162271066256884)**2 + 0.156,-0.30862860258508769*x_1 - 0.6970000000000001*cos(0.032400000000000005 + 0.029200000000000004/(-0.00081*tan(-119.49655953983094*x_1 + 1.5392141205121225e-6*(sqrt(1 - 0.33235872451833427*x_0) - 0.026495867256135703)**2 + 220.8062307652898) - 0.00615)) - 1.3900000000000001*Abs(1.808260036715083*x_0 - 0.587996717042251) + 1.041713523318951,(-1.380305069706348e-6*tan((-0.45008382850897447*x_0 + 0.10917229271533625*Abs(1.824621826197082*x_0 - 0.8085735156676814) + 77.551237023582384)*(arctan(24.78203867070566 - 14.614432840273191*x_1) - 49.49798432508485 + 0.1355495149170316/(1.4516930013554072*x_1 + 73.424776830611062*sqrt(0.0040288224608391115*x_0 + 1) - 2.318121030915266))) - 0.00999948334263804)*(2.102000339201639*x_0 - 0.56621605311957876*x_1 + 23.135578366368633)
,,,,,,,,,,,
