stl_all_len100_snrinf_init0_obsxy,stl_all_len100_snr30_init0_obsxy,stl_all_len100_snr13_init0_obsxy,stl_all_len100_snrinf_init1_obsxy,stl_all_len100_snr30_init1_obsxy,stl_all_len100_snr13_init1_obsxy,stl_all_len100_snrinf_init2_obsxy,stl_all_len100_snr30_init2_obsxy,stl_all_len100_snr13_init2_obsxy,stl_all_len100_snrinf_init3_obsxy,stl_all_len100_snr30_init3_obsxy,stl_all_len100_snr13_init3_obsxy
18.363182306289673,18.93726658821106,17.880483388900757,14.054134368896484,14.323132276535034,15.74739408493042,22.714450120925903,19.979739665985107,14.894705533981323,24.956211805343628,18.727590560913086,17.967389345169067
,26.50022617913462,2.8455694568883105,28.936268847832753,,,,,inf,,8.160896253542429,2.132166914319541
-2.9350394028071391*x_1 + (0.0059299999999999995 - 0.003975300549360001*(0.08612836438923396*sin(0.0015925550122854879*x_1 + 0.0024291223280170654) + 1)**3)*(-0.0077599999999999995*tan(17.466779585828698*x_0 - 0.11318986037731569*x_1 + 3.1355231606765342) - 0.0488)*(43.82816686703037*x_1 + (0.088657138806857784*x_0 + 0.004053464531059413)*(-0.012595662369894315*x_1 - 48.700230331139774) + 0.80845572146139319) + 0.0043282715057385331,-4.4104888320000023e-7*(-0.32880434782608693 - 1/(0.020900000000000002*arctan(0.324 - 5.55/((-0.49336320379351514*x_1 - 0.37079053270914243)*(4.4137439746512168*(x_0 + 0.045938312923745124)**2 - 0.006549999999999999))) + 0.0032099999999999997))**3 + 2.16*arctan(-1.8995802499001652*x_1 - 0.03769616871969261) - 0.28700000000000003*cos(0.0108 + 0.8500000000000001/(0.0045052399921192223 - 0.050127812150143257*x_1)) - 0.033200000000000006,1.5*arctan(0.8926940664630168 - 13.03034014468704*x_1) + 3.0*sin(0.3*tan(126.06165785071004*x_0 + 3.326786371789779) - 0.01),-2.9587467726066715*x_1 + 0.001475470770561597 + 0.052300000000000006/(-112.57327006251098*x_1 + (0.070282826682123528*x_0 + 9.3377134426020021)*(0.999483892696383*x_0 + 11.355951898671319*x_1 + 0.26541442192479959) + 7.127795292651368),-2.9373110794262292*x_1 - 0.02342480892887444 - 0.0013599999999999999/(0.0763*arctan(0.006908782273958446*x_0 + (0.036391213422256973 - 0.0036962335592779824*x_1)*(0.158 - 42.300000000000004*sin(7.774153359608272*x_0 + 0.0111*arctan(1.4054119997254686*x_1 - 0.03468190960340936) - 97.58385871044883)) + 0.0448664011095099) + 0.051300000000000005),-2.8267488948076824*x_1 + (0.004281064407384783*x_0 + 0.019878199866065136)*(99.0*sin(128.4319322215435*x_0 - 2.9540040180459332) + 0.01) - 0.1993480614278221,(0.0010667420153618674 - 0.50993207599850054*x_1)*(1.3786024030263706*(-0.084851730573851499*x_1 + (-x_1 - 0.046117105443746631)**3 + 0.024118651068548755)**2 + 5.63432 + 1/(-91.5*sin(37.599063652069808*x_0 - 0.19767756723893897) - 5.34)),-(0.088638049342805641*x_1 - 0.0004757227483220853)*(-7.25*log(0.003834050521426343*x_1 + 0.009020353634786654) - tan(58.300000000000004*cos(1.0618370427136687*x_1 - 1.5789732475862046) - 97.4) + 2.4305) - 0.012600000000000002 - 0.728/(48.4*cos((0.8798821027137744*x_1 + 0.19356929177985262)*(0.0017790291787382954*(1 - 0.18852629829347126*x_0)**2 + arctan(60.1 - 2.56/(-62.087435418042903*x_0 - 98.882347578151234)) - 93.02380000000001)) + 9.75),-2.6407270857571102*x_1 + (0.013871303464324039*x_0 + 0.92504251092997054)*(0.572999988866271*tan(114.84671584323982*x_1 - 59.71897227874158) - 0.009329999571004376) - 1.1399999999954844*sin(963813348324.11731*(-x_1 - 0.041864555227936246)**2*(-(0.070611504984127264*x_1 - 1)**2 - 4.583807393910372e-7)**2 - 0.426999999875992) - 0.1325679699430104,(-19.0 + 66.2/(-0.0044399999999999995 + 91.10000000000001/(0.00518 + 7.58/(0.007456945621304893*x_0 + 60.2*sin(0.005191861888457024*(0.02671140444127646 - x_0)**3 - 0.00296) + 6.946527682115247))))*(0.16595805054494847*x_1 - 9.754179434131585e-5),-2.888716826317834*x_1 - 0.09910000000000001*tan(6.9100142585488273*x_1 + (0.77 - 25.51635680263964*(0.015846092421088528*x_0 + 1)**2)*(-0.07517367990125708*x_0 - 0.0019784801639396054) + (-1.324488645879292*x_0 - 0.0015589362217930482)*(0.67827580106934168*x_1 - 50.55956553610393) + 1.331930842318324) - 0.07260681621778911,-2.8609100584225933*x_1 + (0.001 - 0.030000000000000002*cos(-23.366141389991152*x_0 + 0.024877478768892113*x_1 + 0.85399994224768029))*(-0.012438739384446056*x_1 + (0.3064146834598485 - 1.0514763625496019*x_0)*(-97.395329380212615*x_1 - 5.672312892847185) - 60.00072571045886) + 0.23308659446298179
(0.79526776750629139*x_0 + 0.002360181838309059)*(1.03*arctan(0.12371914971474041*x_1 + 38.90285622347812*(x_1 + 0.019143029774095197)**2 + 37.7784330008538*sqrt(sin(2.34*arctan(0.0022892067184457307*x_0 - 50.10249533591584 - 69.3/(-5.41 - 0.0795/(-0.8530000000000001 - 0.168/(65.808058358904465*x_1 + 1.1941119841762661)))) + 0.788) + 0.539024390243902) - 70.160737604269749) + 5.25),(0.17140620413404768*(x_1 + 0.094210375544333065)**2 + 0.9390000000000001)*(1.5*Abs(0.0003*Abs(0.4986534470325586*x_0 + 0.01957789367852114) - 0.011200000000000002) + 0.0688)*(34.786699355321728*x_0 - tan(116.87695148691296*x_1 + 2.319361492058865) - 1.137151395901576),-(-0.47600000000000003 + 0.0018/(1.2733500793001014*x_0 + 0.0410948118362604))*(1.016133363281481*x_0 + 0.0207004598453358)*(0.8300000000000001*Abs(3.059719849420001*(1 - 0.7386722866174921/(1.1964221405576282*x_1 - 0.0632638653971968*(0.004774477419972146*x_0 + 1)**3 + 4.0658808175338506))**3 + 5.24) - 0.615) - 1.98*sin(8.884322825922981*x_1 - 0.5770186816793296 + 62.7/(6.1248138814334884*x_0 + 0.44026204493241256)) - 0.00745,2.94962063786422*x_0 + 0.0014580529755944324 - 0.0172/(-7.65*sin(0.378228866482111*x_0 + 65.655999811176614*x_1 - 12.625675138759037) - 0.028900000000000002),2.964959949193666*x_0 - 0.279*cos(221525.8277772687*(1 - 0.00062934264929575872*x_1)**2 + 1.41) - 0.061320858547087826 + 0.040600000000000004/(77.578742384845871*x_1 - 5.204441410108197),-(0.29400000000000004 - 0.86*cos(0.009803637492911152*x_0 + 0.090314627189105468*x_1 - 7.4161847517440917))*(1.427021469128261*x_0 - 5.84*cos(52.51439006392001*x_0 - 56.494081642934337) - 0.061550044644954816) + (6.221813605399218*x_0 - 0.157116194652003)*(0.152*sin(54.697591114528658*x_1 - 0.9526150113716425) + 0.437),5.43*sin(0.56169332894860395*x_0 + 0.001350548538198779 + 3.94/((0.0030517674113465249*x_1 - 95.1998202613205)*(1.1463129162216406*x_0 + 15.370957000000003*(-0.71809693192450203*((-x_1 - 0.051996474129156355)**3 - 0.0012513294081207645)**2 - 1)**2 - 6.9615560233914315))) + 0.005699999999999999,3.39*sin(0.99660643567707238*x_0 - 0.040436856217867645) + 0.36300000000000004*sin(5.1207318828541667*x_1 + 0.798*tan(0.61858330490301049*x_0 + 53.676707299968809*x_1 + 11.304741803843454) + 0.74650282069810818) + 0.089320000000000006,0.71183453285762592*x_0 - (-0.015570324813694947*x_1 - 0.7527430894488618)*(4.05*sin(78.0 - 75.9/(8.8314882343277733*x_1 + 0.3870803353944231)) - 0.09090000000000001)*(sin(0.23800000000000002*sin((0.005699999999999999 - 4.211251519453421e-17*exp(1.2456259850955957*x_1))*(0.052101957252887066*x_0 + 94.500159701225479)) + 81.4) - 0.0981) + 1.83*cos(0.0811 - 1.2743890557233147e+20*exp(-106.23386089225024*x_0)) - 0.059198107932422655,(0.23900000000000002 - 0.00073/(0.0040999999999999995*((0.060701426390617529 - 0.004588889613110703*x_0)*(-0.018500000000000003*tan(0.2561054512983737*x_0 + 104.17059172667536*x_1 + 6.680486466993977) - 0.0028) + 0.86625398033687815*(x_1 + 0.019307927643303923)**2 - 0.109)**3 - 0.00494))*(7.660099588551981*x_0 + 0.001368967745225502),1.921751148128796*x_0 - 0.057527851370861235*arctan(-3.826369817624357*tan(42.36045667879123*x_0 - 5.5149100335698159) - 1.5040005323310306) + 0.01287248680107516*Abs((724.97096675967111*sqrt((x_0 - 0.024220114158204096*(9.7980943158922324*x_1 + 0.5787114111403314)*(63.628237650709945*x_1 + 14.892362296031005) - 0.0002146608518954653)**2 + 0.0013871023818886361) + 75.09999441379895)*(0.081368938579968928*exp(0.074609084682762575*x_1) - 0.08146106034032777)) - 0.16685847096342626,-2.94*(0.00091127951420965491*x_0 - 0.72000555939233197)*sin(7.4910000000000002 + 3.49/(0.0081224968180432734*x_1 + 0.09630000000000001*arctan(-0.026626594529096386*(x_0 - 0.078402345319221868)**2 - 0.611) + 0.11867388892963337) - 9.620000000000001/((8.321516648194412*x_1 + 0.487840296975066)*(1.1683070694995576*x_0 + 3.0671725739335017 + 0.11800000000000001/(3.5218317484990901 - 0.30025491686138631*x_0)))) + 4.4*sin(0.5841535347497788*x_0 + 0.00065628696675082509) - 0.09590000000000001
,,,,,,,,,,,
