cphase_all_len100_snrinf_init0_obsxy,cphase_all_len100_snr30_init0_obsxy,cphase_all_len100_snr13_init0_obsxy,cphase_all_len100_snrinf_init1_obsxy,cphase_all_len100_snr30_init1_obsxy,cphase_all_len100_snr13_init1_obsxy,cphase_all_len100_snrinf_init2_obsxy,cphase_all_len100_snr30_init2_obsxy,cphase_all_len100_snr13_init2_obsxy,cphase_all_len100_snrinf_init3_obsxy,cphase_all_len100_snr30_init3_obsxy,cphase_all_len100_snr13_init3_obsxy
14.694968700408936,21.631282567977905,22.890035390853882,18.19689393043518,16.48625373840332,22.415638208389282,14.979133605957031,19.60834288597107,18.95700454711914,16.470587730407715,20.105547666549683,21.18436622619629
,,,,,,,,,,,
(30.501631728156983 - 14.53783926203937*(cos(0.0061827079049802 + 0.04000085022627533/(12017.638463912873*(0.074419159889931076*x_1 - 0.004674112428662284*x_2 - 1)**2 + 71.39999999976534)) - 0.03973655761158473)**2)*(-3.184047924344208e-8*x_0 + Abs(6.694506870134768e-10*cos(2.3980994033741594*x_0 - 16.8761920350415) - 0.0011751316787821438) + 0.097832930966077701),4.7016760793433708e-8*sqrt(Abs(7.739174793044586*cos((0.19583167066495558*x_1 - 2.8807040229244991)*(0.19905148252582774*x_1 - 2.1546166740663249)*(0.0020347773480344083*x_2 + 69.563206739746744)*(0.7435621402373309*Abs(1.3660588068049393*x_0 - 6.7630648640565824) - 0.04602608516922992)*(-0.058475581468887558*x_1 + 0.07716370328759516*x_2 + 31.92525612728401)) - 0.06674009143330115) + 0.017156297884447384) + 1.62207318924319 - 1.5369576270862987e-8/(-0.099232848893536049*x_1 - 9.767857303003504*sin(3.602421552346545*x_2 - 80.50377869696661) + 0.79589316211583631),(0.019815903038890872 - 3.1890673864219175e-11*cos(8.317119699933726*x_0 - 41.099980862446639))*(5.897814863917636e-7*cos(1078.7802050975152*(0.013816027113000835*x_1 - 1)**2*(0.041410647660980361*x_2 + 1)**2*(0.0089800735105769072*x_0 + 0.020622549241900868*x_2 + 1)**2 - 21.880060410836588) + 105.96635910913997),0.33133182735252364*cos(0.0014142479567018114*x_1 - 0.012338150312109456) + 0.42408963839614994*Abs(4.937117122067053*sin(1.4018511335503518e-6*cos(-1.121003119472315*x_2 + 27.53537151702585 + 0.2833919946613654/(0.12233431385687581 - 0.02471400279936885*x_0)) - 0.06991015372589125) + 0.45904683906215643) + 1.369888445280041,2.20549124437051 - 6.063166433254892*sin(0.0011540280489637435*tan(3.136473115361591*x_0 + 0.20659150696311103*x_1 + 0.6783786123310548*x_2 - 37.327689971451988) + 0.06924493448827941),1.225603485094916e-7*(cos(24.39021767020241*x_0 - 120.7374179306951) - 0.02091519676609321)**3 + 1.474001734456671 - 6.769032582251447e-8/((160.41716758367058 - 6.253979181294672*x_2)*(0.04257993308336496*x_1 + 0.41685410588759103)),3.910242278813274e-7*(4.9398835137420245e-5 - cos(-13.269898363503718*x_0 + 9.1639196912842198*sqrt(0.00013276577484239936*x_1 + 1) + 66.38099333235714))**2 + 7.365386454366266e-8*arctan(4.105905046921899*x_2 - 101.02680542268459) + 1.6925941469137211,7.3435834845693263e-6*x_0 - 0.0010425086769452727*(1 - 0.015018948379568566*sin(-27.58193458503977*x_0 - 0.17348726459159176*x_2 + (-7.954799865439234 - 0.5745335647818439/(2.4642193381635181 - 0.1014422058220815*x_2))*(0.71188418630744657 - 0.1438149871328175*x_0) + (70.73706185050197 - 0.14292379765342102*x_1)*(0.3690767288091592*x_0 - 7.4616406979093851) + 136.17900074582867))**3 + 1.6945862884233917,-65.15182311686304*sin(6.87203182273441e-8*tan(15.683602621403744*x_1 - 165.62586603219759) - 0.2954990624232129) - 1.094195888249779e-5*cos(1.186683162226855*x_0 - 0.54096420180900542*x_1 + 0.07294781035894855*x_2 + 0.79901537837217959) - 17.790292861550034,1.044084750172631e-6*Abs(3.9256213522067065*cos(92.67923696844404*cos(0.01528369686645069*x_2 + 0.042931774859537766) - 83.61881797382735) - 0.23546166912662672*Abs(0.0036412653973528983*x_0 + 0.0097168078999920967*x_1 - 3.7937563854018567) + 0.4258034898414082) + 1.6900864276554026,5.542635523205565e-6*sin(2.21871442222321*x_0 - 0.65778793367321155*x_1 + 63.833528706690592) + 3.4066536899483906e-6*cos(2.4400962612815892*x_2 - 51.032549382046706) + 1.588242803820627,(0.5743552564106661 - 42.1624300374866/(27.166878497433903 + 92.09419781342558/(1.1095213775719819 - 19.470296664720962/(-0.0031611520587374385*cos(15.63488502039448*x_0 - 63.330912123622554) - 23.99560824608994))))*(0.17829553621680305*x_1 - 0.0574812524053481*x_2 + 106.23527808749413)
-2.832289862555574*sqrt(0.4288895378076103 + 1/(-0.019933795087400859*x_0 - 0.00037346999152594802*x_1 - 90.101381418848224)) + 4.5851033210684615e-8*cos(7.474190478509587*x_2 - 161.42726764943787) + 6.316462916372315,-1.007291179666151e-5*x_0 + 5.6466450322371198e-6*x_1 + 8.035957599505348*sin((0.533132825701595 - 0.00014504007062891985/(71.1060572478296 - 0.49325393216512486*cos(0.04033128286526459 + 0.6882590865250805/(1.3701573051624926 - 0.07524422772013276*x_2))))*(2.0882976347213198e-6*tan(2.7867838287676835*x_1 - 29.598465364723985) + 94.19525545038078)) + 4.773450011782129,-1.535333814028054e-5*x_0 + 7.9105051568435385e-6*x_1 + 1.430613403396441e-6*cos(8.1084377179519261*x_2 - 171.42883660239725) + 2.7665887158973151 + 1.7112062195563595e-5/(2.8871106049457866 - 12.65137788539485*cos(4.2015272178360903*x_1 - 42.633753601012087)),4.489407472471627 - 4.375094859854385e-6*sin((0.9453656751899162 - 0.0034701479163904243*sin(0.0003241841304106791*x_2 + 0.2719919203245672*cos(0.00123972231115026*x_1 + 39.087897951454049) - 0.051981483214357062))*(5.57774184631996*x_0 - 27.608220388982141)),-0.27180779501197576*sqrt(0.00072627989405082675*x_2 + 1) + 0.51164283065758721*sqrt(-0.00038505275187667721*x_0 + 0.0012211228538137266*x_1 + 1) + 4.5213843211531285 - 4.4422252746165794e-7/(0.41909220064350233*cos(5.47846182060467*x_2 - 138.0175638732211) - 0.001737169531338955),(5.248522490580498 - 44.61635255193786/(8315759725.0706463*((1 - 0.051063561875816265*x_2)**2*(-Abs(0.0035899871506909272*x_1 - 2.4510368008505877) - 0.01829082030852239)**2 - 2.7491343925622553e-7)**2 - 4.064862751468277))*(2.248486770784597e-6*cos(-24.11134169952555*x_0 + 1.5697813637688313*x_2 + 77.145413468705592) + 0.9424812862832286),5.224470740199207e-6*x_2 - 0.00045506755746832666*(0.061463305065037829*x_1 - 1)**3 + 4.0348456964672645e-7*sin(-6.9983897368846466*x_0 + 0.1419562736615075*x_1 + (0.1170533164444309*x_1 - 1.7266616001049505)*(0.010915017404473454*sin(0.3464274833209975*x_0 + 7.3951895707697475) - 0.04983680128179008) + 23.318972076858554) + 4.4955677506891975,(-0.009006423166465195 + 2.3167564149153857e-9/((71.443438483703008 - 3.3568868294619288*x_2)*(-0.8645569763631218*sin(1.926875954029877*x_0 + 1.0721411166956853) - 0.8643668124471195)))*(0.20045666852547706*x_1 + 0.05976393230152898*sin(50.078394600049095*x_0 - 241.6614762150865) - 515.573113952216),8.4952489632902145e-5*(1 - 0.094822521763361119*x_1)**2 + 7.319211631825059e-6*sin(22.23996453306094*x_0 - 105.18395370698022) - 2.607724856195645e-6*cos(9.704340908354425*cos(25.38416310277149*x_0 - 126.45136199778478) + 26.472788902029272*cos(8.1700015788777809*x_1 - 86.160981873766437) + 10.36018775342824) - 3.813727239281149e-7*tan(0.42463344348463405 + 30.497461476176944/(6.5037280077554716 + 38.02129082636992/(0.5359515645605239*x_2 - 11.916906825030611))) + 3.952751341896523,(0.6914830028937884 - 9.000861158475585e-8*sin((-0.0017243552570460569*x_2 - 0.80770304314624466)*(-6.0462908033819261*x_1 - 2.0195575657605103*Abs(0.001160647105777435*x_0 + 8.8941540819495528) + 69.228752523921499)))*(6.493166410427874 - 0.014770572743576903*sqrt(0.00011332726030441268*x_2 + 2.4584819861908251e-7*(-0.19708064863733576*(1 - 0.054114637349356987*x_2)**3 - 1)**3 + 1)),-9.272709*(sin(31.17847349888978*x_0 + 0.06919810820108677*x_2 - 163.81066372223946) - 0.00099009900990099)**3 + 4.1 - 0.3/(0.79312781274261136*x_1 - 9.1935476175269456),(8.3220650069741278e-10 - 1.681225253934167e-10*x_0)*(2.7567151849313136 - 0.99272783578303932*x_0)*(114.73168762418818 - 10.0016445546124*x_1) - 4.6326986746279883e-7*cos(7.009747156636215*x_2 - 153.52834983243896) - 6.744398425988313e-9*tan(12.224295441478708*x_1 - 140.18532045216897) + 3.4573540619010437
,,,,,,,,,,,
