bacres_all_len100_snrinf_init0_obsxy,bacres_all_len100_snr30_init0_obsxy,bacres_all_len100_snr13_init0_obsxy
13.080657958984375,15.928930521011353,13.189625024795532
0.3440311543838125,,
0.8400669308169996*(0.03951635028682724*x_0 + 0.03450190344652977*(0.93150133750629448 - 0.0158337713316539*x_1)*(3.88719086192104*x_1 - 155.03257835779529) - 1)**2 - 0.8,(0.49903461383709785 + 8.13358255086105/(7.657612249671316 - 19.826841774270193/(1.450229244730287e-5*sin(0.89569214712684666*x_1 - 23.492875994377956) + 0.8356730760525839)))*(2.3641441586147445*cos(8.8109378473539504*x_1 + 0.45584613646533937*sqrt(1 - 0.060008773678897345*x_0) - 357.76697561005696) - 25.495157881622696),1.0750462019027153e-6*cos(5.2144937433609466*x_1 - 212.86673796189213) + 0.73219008727665909 + 6.495468196135627e-6/(-8.12649402930187*cos(0.9354634788527365 + 0.3569395072250465/(5.722141203298293*arctan((-0.2503163638344003 + 2.889922378266383/(-75.29120110350357*cos(17.3014215542991 + 0.653709840534815/(0.02538167106483589*x_0 - 0.3593008053624669)) - 0.026350089044521623))*(0.20697202548588413 - 0.0042739764443126297*x_1)) + 0.007855097145436866)) - 0.04194932710817926)
0.3836883193010794*x_0 + (1.1399305784439022 - 0.04764607188932807*x_0)*(12.03010047949491 - 0.301633343868007*x_1) - 1.014609225449693,-1.366272883715448e-6*x_0 - 3.441118733777968e-7*x_1 + 1.740054869851919e-7*tan(2455.4818666636385*(0.071476813575101822*x_0 - 1)**2 - 0.04295625241543769) + 4.5239133546674611,-2.43943265216137*x_0 + 37.060883612069942 - 11.5/(0.008459999999999999 - 0.139*tan(0.0644 + 4934888755835845.8*exp(-1.9101431730766592e-17*exp(-0.010466813857722627*x_1))))
,,
