  complexity    length        TE    TE_inf  expr_x                                       expr_y                                                                    index_column  method    exp_type    data_version    system      snr    init
          14        29  2.51215    2.51641  -5.0*cos(3.423*y)                            4.442 - 5.0*cos(4.306*y)                                                             0  proged    numdif      allonger        cphase       30       1
          12        24  6.22353    6.23211  -5.0*cos(3.423*y)                            -5.0*cos(4.306*y)                                                                    1  proged    numdif      allonger        cphase       30       1
          13        26  4.86171    4.86868  -5.0*cos(3.423*y)                            10.0*sin(2.694*t)                                                                    2  proged    numdif      allonger        cphase       30       1
          20        43  2.04773    2.04487  5.0*sin(-0.945*t + 1.316*y + 1.561) + 1.799  10.0*sin(2.694*t)                                                                    3  proged    numdif      allonger        cphase       30       1
          30        68  1.04023    1.02489  1.757 - 5.202*cos(3.424*y)                   -5.0*sin(4.312*y - 4.874) - 5.0*cos(3.455*t + 2.961*y - 0.849) + 4.507               4  proged    numdif      allonger        cphase       30       1
          31        71  0.984559   0.97986  1.757 - 5.202*cos(3.424*y)                   5.0*sin(2.693*t) - 5.0*cos(4.307*y) + 5.0*cos(2.239*t - 4.804) + 4.487               5  proged    numdif      allonger        cphase       30       1
          18        38  2.13784    2.13207  1.757 - 5.202*cos(3.424*y)                   4.439 - 10.0*cos(4.306*y)                                                            6  proged    numdif      allonger        cphase       30       1
          28        63  1.05984    1.04619  1.757 - 5.202*cos(3.424*y)                   -5.0*sin(3.454*t + 2.962*y + 0.725) - 5.0*cos(4.305*y) + 4.488                       7  proged    numdif      allonger        cphase       30       1
          27        58  1.4257     1.42185  1.757 - 5.202*cos(3.424*y)                   5.0*sin(2.693*t) - 5.0*cos(3.396*t + 3.08*y) + 4.475                                 8  proged    numdif      allonger        cphase       30       1
